meter_urn,status,train_sequences,validation_sequences,test_sequences,train_time_sec,device,missing_before_fill,observed_rows,fit_rows,mlflow_run_id,val.MAE,val.RMSE,val.MAPE,test.MAE,test.RMSE,test.MAPE
H1.Z16,completed,33168,8736,8735,4.467306613922119,cuda,1,52583,33264,fa4856fbd88d4ad9b379cc3b02cfb72a,555.1295166015625,1800.4298095703125,60.8966064453125,600.94482421875,1537.7418212890625,33.75348663330078
H1.Z11,completed,33168,8736,8735,4.1084253787994385,cuda,1,52583,33264,55a45069ec5445f5adad06bd79ecb5d9,1389.559326171875,2991.029296875,303.6144104003906,1221.8941650390625,2301.8642578125,174.1342010498047
H1.Z12,completed,33168,8736,8735,3.75369930267334,cuda,1,52583,33264,0461f4241a6b4d38925bc828fc6cfaba,1290.71533203125,2972.639404296875,233.8280029296875,1135.689208984375,2286.598388671875,127.67286682128906
H1.Z24,completed,33168,8736,8735,4.427398204803467,cuda,1,52583,33264,4078c4eb469b49c680334cc876c20726,1241.673583984375,2229.275634765625,64.82073974609375,414.33514404296875,804.9664306640625,105.72843933105469
H1.Z25,completed,33168,8736,8735,5.083462953567505,cuda,1,52583,33264,5849b16465224e04ba955edf506113ad,1182.82080078125,2107.861328125,78.95494842529297,486.89697265625,819.3234252929688,159.24618530273438
V.Z84,completed,20138,8736,8735,3.0410537719726562,cuda,13055,39529,33264,9a754330b32147ee914491405c9ba2c6,4661.8095703125,8240.775390625,30104.05859375,4193.01611328125,7170.49609375,31422.931640625
H1.Z310,completed,11978,8736,8735,1.704420566558838,cuda,21767,30817,33264,c4a73b99f3764d1ca41cef5772180d0b,4825.509765625,7179.4609375,33625.19140625,4508.3525390625,6443.888671875,34032.625
H2.Z311,completed,12002,8736,8735,1.9377899169921875,cuda,21743,30841,33264,5b070850deea4937b040381e31f5c017,15243.4052734375,22037.25,93251.53125,14240.2275390625,19823.626953125,89003.890625
H3.Z312,completed,11978,8736,8735,1.336122989654541,cuda,21767,30817,33264,ec8defe459aa45bf91a88c80878e0472,6761.0810546875,12135.85546875,44466.703125,6084.86669921875,10496.5078125,44224.99609375
H1.Z20,completed,33168,8736,8735,4.025892019271851,cuda,1,52583,33264,e898f7cfbad944419b5bf89199b344d0,12087.6806640625,23784.603515625,3025.159912109375,23045.974609375,38917.6328125,3509.18017578125
V.Z81,completed,33168,8736,8735,4.207659721374512,cuda,1,52583,33264,43385d14e5f84664af5781f0536b4385,12640.0263671875,18549.599609375,116.9946060180664,17656.265625,25215.6640625,160.35589599609375
V.Z82,completed,33168,8736,8735,4.031634092330933,cuda,1,52583,33264,4fd553f55d944ca58f91f0d03c1abb09,12639.53515625,18504.818359375,640.0003662109375,17555.93359375,24854.37109375,533.2208862304688
H2.Z351,completed,10656,8736,8735,1.3760342597961426,cuda,23723,28861,33264,be80345b09a94f00bcd63d57660a3792,15630.2822265625,20982.52734375,181.71702575683594,14164.9384765625,19314.728515625,86.68663787841797
H2.Z361,completed,10656,8736,8735,1.467848539352417,cuda,23723,28861,33264,be04a4f492614062a6fb70724779914e,15010.6220703125,19780.421875,98.5992431640625,13941.41015625,18605.224609375,114.99667358398438
H3.Z43,completed,32449,8736,8735,4.718092441558838,cuda,744,51840,33264,b3b368f9e1d04c69a5b541662e01e09c,743.28662109375,1058.7391357421875,160.7560577392578,817.9510498046875,1082.6622314453125,31.856918334960938
H3.Z44,completed,32449,8736,8735,4.702674627304077,cuda,744,51840,33264,6db839043e73462984e9d9996c3bd4de,430.2833251953125,783.8539428710938,135.36880493164062,460.8089294433594,866.7449951171875,124.15203094482422
H2.Z64,completed,33168,8736,8735,4.797600269317627,cuda,1,52583,33264,dd291cbead56440c84b12f6ea3ddb014,325.3084411621094,598.5430908203125,3.1148898601531982,275.64019775390625,489.33038330078125,2.8942534923553467
H2.Z65,completed,33168,8736,8735,4.23119592666626,cuda,1,52583,33264,0a1954164a10478e909b7baf26f850f8,873.772705078125,1126.1707763671875,8.796649932861328,833.5592651367188,1086.203857421875,9.124848365783691
