meter_urn,status,train_sequences,validation_sequences,test_sequences,train_time_sec,device,missing_before_fill,observed_rows,fit_rows,mlflow_run_id,val.MAE,val.RMSE,val.MAPE,test.MAE,test.RMSE,test.MAPE,reason
H1.Z23,completed,33168,8736,8735,4.660377502441406,cuda,1,52583,33264,bc2da413e86c49f5a09673f0e5d5dd9d,792.177001953125,2627.8544921875,7738.68408203125,597.1197509765625,1767.214111328125,43830.9375,
H1.Z24,completed,33168,8736,8735,4.27185845375061,cuda,1,52583,33264,3368a4126c8e4215b8719436fdfb5dd3,1236.072021484375,2221.607666015625,73.46600341796875,478.39300537109375,849.4321899414062,138.60794067382812,
H1.Z25,completed,33168,8736,8735,4.372138500213623,cuda,1,52583,33264,818063ef5e244cf0b72906103f144a0d,1147.5045166015625,2090.294677734375,56.11311721801758,381.76287841796875,776.7351684570312,103.23371887207031,
H1.Z26,completed,33168,8736,8735,4.274388551712036,cuda,1,52583,33264,e8be4f33a5424de59f216edbdec993e0,1380.7314453125,3295.078369140625,28.416385650634766,1515.73095703125,3537.995849609375,660.0657958984375,
H1.Z27,completed,33168,8736,8735,4.511797189712524,cuda,1,52583,33264,5778d9e00a0846999b55df67cc569c73,6162.61669921875,13066.8076171875,96.98233795166016,6555.439453125,13784.083984375,665.66845703125,
H1.Z28,completed,33168,8736,8735,4.004328727722168,cuda,1,52583,33264,628f38f29a804c368b919505ef592839,7160.3115234375,10610.9794921875,123.65248107910156,10565.6171875,15048.2666015625,387.987548828125,
H1.Z29,completed,33168,8736,8735,4.780903577804565,cuda,1,52583,33264,bac4a7db37294e9494b995a3df1f5b87,16088.3408203125,26582.63671875,115.90502166748047,25189.603515625,40558.4765625,679.6177368164062,
H1.Z310,completed,11978,8736,8735,1.776226282119751,cuda,21767,30817,33264,759b3478d48e4a8cbf4492203efc098f,5051.5732421875,7273.77099609375,41370.65625,4704.1240234375,6537.27001953125,41930.859375,
H1.ZE20,skipped,0,760,8735,,,43065,9519,33264,,,,,,,,insufficient_sequences
H2.K21,completed,33135,8736,8735,4.409394025802612,cuda,58,52526,33264,81a7cafcf91148fda3eaec9357f68c2c,3033.313720703125,6267.82373046875,82983.875,2657.790771484375,5104.6533203125,71858.7734375,
H2.T.Z30,completed,33168,8736,8735,4.457826375961304,cuda,1,52583,33264,08523cb1fac24c2f98c17cd36db99f2d,1648.4425048828125,2586.067138671875,10.783047676086426,1763.3411865234375,2799.573974609375,11.317317008972168,
H2.T.Z31,completed,33168,8736,8735,4.387094020843506,cuda,1,52583,33264,a789fe8ef93c4ce6899d8eccdc300b1a,1091.6944580078125,1828.5048828125,144.27244567871094,1485.8341064453125,2499.740966796875,80.23838806152344,
H2.T.Z32,completed,33168,8736,8735,4.633258581161499,cuda,1,52583,33264,c68d6312b6db471a8fb484ba50add788,757.59375,1041.45654296875,12.141480445861816,784.1897583007812,1044.3599853515625,12.318243026733398,
H2.T.Z33,completed,32449,8736,8735,4.22329568862915,cuda,744,51840,33264,1633bef042f9413794f63475f8e9d3f5,8335.421875,12552.61328125,120.75366973876953,9198.1708984375,12992.998046875,88.36859893798828,
H2.T.Z34,completed,33168,8736,8735,4.592557430267334,cuda,1,52583,33264,31e099a5e7444030b4dedb023e11168e,2889.249267578125,3782.548095703125,3.9191734790802,3248.035400390625,4556.39599609375,4.276965141296387,
H2.Z311,completed,12002,8736,8735,1.9161276817321777,cuda,21743,30841,33264,88578d81994042d4afbe3bb68a1b18b9,13715.345703125,20602.396484375,79924.59375,12570.8125,18149.111328125,74905.8359375,
H2.Z35,skipped,22512,0,0,,,29004,23580,33264,,,,,,,,insufficient_sequences
H2.Z351,completed,10656,8736,8735,1.6030158996582031,cuda,23723,28861,33264,fecf478188bc4b5a9378af190405600f,17979.6875,23979.072265625,181.75062561035156,17241.19140625,22704.8203125,89.7696533203125,
H2.Z36,skipped,22512,0,0,,,29004,23580,33264,,,,,,,,insufficient_sequences
H2.Z361,completed,10656,8736,8735,1.4029643535614014,cuda,23723,28861,33264,d6e86759bad046cd9915cb74f88b49e8,16356.0107421875,21029.28125,104.96041870117188,15306.6279296875,19861.849609375,125.20328521728516,
