feature_name,feature_family,resolution_code,source_relation,meter_set_rule,meter_urns,measurement,unit,aggregation,window,redundancy_policy,fit_period,transform_period,created_at,code_version
group__central_cooling__P__sum_primary__15min,aggregate,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='central_cooling', domain='electricity', role='consumption', exclude_redundant=True)",H1.Z11|H1.Z12|H1.Z16|H1.Z24|H1.Z25,P,,sum,15min,exclude_redundant,,"[2018-01-01, 2022-01-01)",2026-05-13T03:35:04.800158+00:00,
group__server_power__P__sum_primary__15min,aggregate,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='server_power', domain='electricity', role='consumption', exclude_redundant=True)",H2.Z61|H2.Z62|H2.Z63|H2.Z64|H2.Z65|H3.Z43|H3.Z44|H3.Z46|H3.Z71,P,,sum,15min,exclude_redundant,,"[2018-01-01, 2022-01-01)",2026-05-13T03:35:23.963048+00:00,
group__emission_lab__P__sum_primary__15min,aggregate,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='emission_lab', domain='electricity', role='consumption', exclude_redundant=True)",H1.Z10|H1.Z13|H1.Z14|H1.Z15|H1.Z17|H1.Z18|H1.Z19|H1.Z21|H1.Z22|H1.Z23|H1.Z26|H1.Z27|H1.Z28|H1.Z29,P,,sum,15min,exclude_redundant,,"[2018-01-01, 2022-01-01)",2026-05-13T03:35:52.651574+00:00,
group__pv__P__sum_primary__15min,aggregate,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='pv', domain='electricity', role='production', exclude_redundant=True)",H1.Z310|H2.Z311|H3.Z312|V.Z84,P,,sum,15min,exclude_redundant,,"[2018-01-01, 2022-01-01)",2026-05-13T03:35:58.137433+00:00,
group__chp__P__sum_primary__15min,aggregate,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='chp', domain='electricity', role='production', exclude_redundant=True)",H1.Z20,P,,sum,15min,exclude_redundant,,"[2018-01-01, 2022-01-01)",2026-05-13T03:36:00.632961+00:00,
weather__station__Ta__mean__15min,weather_external,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='weather_station', domain='weather', role='weather')",WeatherStation.Weather,Ta,,mean,15min,include_all,,"[2018-01-01, 2022-01-01)",2026-05-13T03:36:02.576160+00:00,
weather__station__Ta__rolling_mean__4tick,weather_external,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='weather_station', domain='weather', role='weather')",WeatherStation.Weather,Ta,,rolling_mean,4tick,include_all,,"[2018-01-01, 2022-01-01)",2026-05-13T03:36:02.578729+00:00,
weather__station__Igm__mean__15min,weather_external,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='weather_station', domain='weather', role='weather')",WeatherStation.Weather,Igm,,mean,15min,include_all,,"[2018-01-01, 2022-01-01)",2026-05-13T03:36:04.814732+00:00,
weather__station__Igm__rolling_mean__4tick,weather_external,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='weather_station', domain='weather', role='weather')",WeatherStation.Weather,Igm,,rolling_mean,4tick,include_all,,"[2018-01-01, 2022-01-01)",2026-05-13T03:36:04.817986+00:00,
weather__station__Ah__mean__15min,weather_external,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='weather_station', domain='weather', role='weather')",WeatherStation.Weather,Ah,,mean,15min,include_all,,"[2018-01-01, 2022-01-01)",2026-05-13T03:36:07.064244+00:00,
weather__station__Ah__rolling_mean__4tick,weather_external,15min,ems.cr_measurement_15min,"kg.get_feature_meter_set(group='weather_station', domain='weather', role='weather')",WeatherStation.Weather,Ah,,rolling_mean,4tick,include_all,,"[2018-01-01, 2022-01-01)",2026-05-13T03:36:07.067388+00:00,
