feature_name,total_rows,missing_rows,missing_rate,min,max,mean
group__central_cooling__P__sum_primary__15min,140256,0,0.0,159.82097193918793,232183.592,19213.012274934466
group__central_cooling__P__sum_primary__15min__rolling_mean__1h,140256,0,0.0,370.84069553439474,165507.66916666663,19213.012398414397
group__central_cooling__P__sum_primary__15min__rolling_std__1h,140256,1,7e-06,0.10522797222368317,98175.49185378922,4627.145381062671
group__central_cooling__P__sum_primary__15min__rolling_mean__6h,140256,0,0.0,604.1535670157327,141143.8758369496,19213.01270791496
group__central_cooling__P__sum_primary__15min__rolling_std__6h,140256,1,7e-06,1.3387888390463574,65746.98089559203,6700.064382934655
group__central_cooling__P__sum_primary__15min__rolling_mean__24h,140256,0,0.0,1073.110937059992,93061.6530378529,19213.019239026587
group__central_cooling__P__sum_primary__15min__rolling_std__24h,140256,1,7e-06,1.3387888390463574,50160.66189358821,10172.14252907457
group__central_cooling__P__sum_primary__15min__lag_1tick,140256,1,7e-06,159.82097193918793,232183.592,19213.140611675462
group__central_cooling__P__sum_primary__15min__lag_4tick,140256,4,2.9e-05,159.82097193918793,232183.592,19213.525658442486
group__central_cooling__P__sum_primary__15min__lag_96tick,140256,96,0.000684,159.82097193918793,232183.592,19225.351012910975
group__central_cooling__P__sum_primary__15min__diff_1tick,140256,1,7e-06,-149096.4562533153,140955.03399999999,-0.00010021270780597068
group__server_power__P__sum_primary__15min,140256,0,0.0,137.46004789385162,133627.91733333335,88366.02020909826
group__server_power__P__sum_primary__15min__rolling_mean__1h,140256,0,0.0,154.711886969396,128250.58333333333,88366.14539437376
group__server_power__P__sum_primary__15min__rolling_std__1h,140256,1,7e-06,4.643696444030364,44053.82939276497,3377.5382167729626
group__server_power__P__sum_primary__15min__rolling_mean__6h,140256,0,0.0,11898.154372540559,126399.88541060075,88366.85359168908
group__server_power__P__sum_primary__15min__rolling_std__6h,140256,1,7e-06,59.21925011533673,37482.33191933917,3433.6447897453722
group__server_power__P__sum_primary__15min__rolling_mean__24h,140256,0,0.0,25349.50017931194,125477.6833847263,88369.42864914176
group__server_power__P__sum_primary__15min__rolling_std__24h,140256,1,7e-06,59.21925011533673,37270.10600396491,3719.836702265294
group__server_power__P__sum_primary__15min__lag_1tick,140256,1,7e-06,137.46004789385162,133627.91733333335,88366.05761614168
group__server_power__P__sum_primary__15min__lag_4tick,140256,4,2.9e-05,137.46004789385162,133627.91733333335,88366.07404706256
group__server_power__P__sum_primary__15min__lag_96tick,140256,96,0.000684,137.46004789385162,133627.91733333335,88366.70145593098
group__server_power__P__sum_primary__15min__diff_1tick,140256,1,7e-06,-70082.75214726829,61477.9506324094,-0.10005297493850518
group__emission_lab__P__sum_primary__15min,140256,0,0.0,-374129.38276869635,1129257.9519866582,125813.2989507854
group__emission_lab__P__sum_primary__15min__rolling_mean__1h,140256,0,0.0,-325690.58488271665,1061260.235683688,125811.74293122473
group__emission_lab__P__sum_primary__15min__rolling_std__1h,140256,1,7e-06,109.97835216833762,452988.1890800789,39995.972033623395
group__emission_lab__P__sum_primary__15min__rolling_mean__6h,140256,0,0.0,-292079.75965632097,845632.441165302,125806.21743435242
