meter_urn,period_type,period_label,row_count,measurement_count,measurement_columns,joined_weather_columns,usable_column_count,usable_columns,start_ts,end_ts,mean_null_ratio_usable,pair_count,top_pair,top_corr,top_abs_corr,error
H1.Z10,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.007799,496,W~W_in,1.0,1.0,
H1.Z16,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",30,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.007972,435,W~W_in,1.0,1.0,
H1.Z13,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.007988,496,W~W_in,1.0,1.0,
H2.Z64,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",31,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.00901,465,W~W_in,1.0,1.0,
H4.Z50,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",31,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.061139,465,W~W_in,1.0,1.0,
H2.Z68,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",30,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.007858,435,W~W_in,1.0,1.0,
V.Z84,6year,all,39529,16,"I1,I2,I3,P,P1,P2,P3,PF1,PF2,PF3,U1,U2,U3,W,W_in,W_out","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",26,"I1,I2,I3,P,P1,P2,P3,PF1,PF2,PF3,U1,U2,U3,W,W_in,W_out,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2019-06-28 22:00:00+00:00,2023-12-31 22:00:00+00:00,0.00586,325,W~W_out,-1.0,1.0,
H1.Z20,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.007369,496,W~W_out,-1.0,1.0,
H2.T.Z33,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.017406,496,W~W_in,0.999208,0.999208,
H2.Z35,6year,all,52585,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.356553,496,W~W_in,0.999989,0.999989,
