meter_urn,meter_type,energy_type,thermal_mode,group_name,description,anomaly_target,redundant_pair,role_summary,note
H1.Z20,전기,생산,-,chp,CHP 전기 생산 메인,P,H1.ZE20,CHP 발전 전력 계통,"H1 prefix는 physical location / sub-distribution group 의미, 이중화 계량기 쌍 존재"
H1.ZE20,전기,생산,-,chp,CHP 전기 생산 redundant,P,H1.Z20,CHP 발전 전력 계통,"H1 prefix는 physical location / sub-distribution group 의미, 이중화 계량기 쌍 존재"
V.Z84,전기,생산,-,pv,PV Parking Lot,P,V.ZE84,태양광 발전 전력 계통,"V prefix는 physical location / sub-distribution group 의미, 2019-06 설치 시작, 이중화 계량기 쌍 존재"
V.ZE84,전기,생산,-,pv,PV Parking Lot redundant,P,V.Z84,태양광 발전 전력 계통,"V prefix는 physical location / sub-distribution group 의미, 2022-11 redundant 설치, 이중화 계량기 쌍 존재"
H1.Z310,전기,생산,-,pv,PV Emission Lab,P,,태양광 발전 전력 계통,"H1 prefix는 physical location / sub-distribution group 의미, 2020-06 설치 시작"
H2.Z311,전기,생산,-,pv,PV Office Building,P,,태양광 발전 전력 계통,"H2 prefix는 physical location / sub-distribution group 의미, 2020-06 설치 시작"
H3.Z312,전기,생산,-,pv,PV Design Studio,P,,태양광 발전 전력 계통,"H3 prefix는 physical location / sub-distribution group 의미, 2020-06 설치 시작"
H1.Z16,전기,소비,-,cooling_central,CM1,P,,중앙 냉각기 전력 계통,
H1.Z11,전기,소비,-,cooling_central,CM2-1,P,,중앙 냉각기 전력 계통,
H1.Z12,전기,소비,-,cooling_central,CM2-2,P,,중앙 냉각기 전력 계통,
H1.Z24,전기,소비,-,cooling_central,CM3-1,P,,중앙 냉각기 전력 계통,
H1.Z25,전기,소비,-,cooling_central,CM3-2,P,,중앙 냉각기 전력 계통,
H3.Z45,전기,소비,-,cooling_local,Design Studio 로컬 냉각기,P,,로컬 냉각기 전력 계통,
H2.Z66,전기,소비,-,cooling_local,Workshop 로컬 냉각기1 메인,P,H2.ZE66,로컬 냉각기 전력 계통,이중화 계량기 쌍 존재
H2.ZE66,전기,소비,-,cooling_local,Workshop 로컬 냉각기1 redundant,P,H2.Z66,로컬 냉각기 전력 계통,이중화 계량기 쌍 존재
H2.Z67,전기,소비,-,cooling_local,Workshop 로컬 냉각기2 메인,P,H2.ZE67,로컬 냉각기 전력 계통,이중화 계량기 쌍 존재
H2.ZE67,전기,소비,-,cooling_local,Workshop 로컬 냉각기2 redundant,P,H2.Z67,로컬 냉각기 전력 계통,이중화 계량기 쌍 존재
V.K21,열량,중립,냉방,cooling_thermal,중앙 냉수 공급 메인,P,,냉방 열량 계통,
H1.K11,열량,중립,냉방,cooling_thermal,HVAC 3&5,P,,냉방 열량 계통,
H1.K12,열량,중립,냉방,cooling_thermal,Emission lab HVAC 1/2,P,,냉방 열량 계통,
H1.K14,열량,중립,냉방,cooling_thermal,Emission lab cooling to office,P,,냉방 열량 계통,
H1.K15,열량,중립,냉방,cooling_thermal,HVAC 3,P,,냉방 열량 계통,
H1.K16,열량,중립,냉방,cooling_thermal,Server O1,P,,냉방 열량 계통,
H2.K21,열량,중립,냉방,cooling_thermal,Office 냉방,P,,냉방 열량 계통,
H1.W11,열량,중립,난방,heating_thermal,총 난방,P,,난방 열량 계통,
H1.W12,열량,중립,난방,heating_thermal,CHP 열 생산,P,,난방 열량 계통,"H1 prefix는 physical location / sub-distribution group 의미, CHP thermal side metering"
WeatherStation.Weather,기상,중립,-,weather,기상관측소,,,기상 데이터 계측,공통 이상탐지 파이프라인 제외 대상
V.Z81,전기,소비,-,transformer,Parking lot transformer 2,P,,변압기/상위 전력 공급 계통,
V.Z82,전기,소비,-,transformer,Parking lot transformer 1,P,,변압기/상위 전력 공급 계통,
H2.Z35,전기,소비,-,transformer,Transformer,P,H2.Z351,변압기/상위 전력 공급 계통,이중화 계량기 쌍 존재
H2.Z351,전기,소비,-,transformer,Transformer redundant,P,H2.Z35,변압기/상위 전력 공급 계통,이중화 계량기 쌍 존재
H2.Z36,전기,소비,-,transformer,Transformer,P,H2.Z361,변압기/상위 전력 공급 계통,이중화 계량기 쌍 존재
H2.Z361,전기,소비,-,transformer,Transformer redundant,P,H2.Z36,변압기/상위 전력 공급 계통,이중화 계량기 쌍 존재
H1.Z15,전기,소비,-,distribution,Distribution,,,배전/분전 계통,공통 이상탐지 파이프라인 제외 대상
H1.Z28,전기,소비,-,distribution,Distribution,,,배전/분전 계통,공통 이상탐지 파이프라인 제외 대상
H2.T.Z31,전기,소비,-,hvac,HVAC office 50/51,P,,공조 설비 전력 계통,
H2.T.Z32,전기,소비,-,distribution,Distribution,P,,배전/분전 계통,
H2.T.Z33,전기,소비,-,distribution,Distribution,P,,배전/분전 계통,
H2.T.Z34,전기,소비,-,distribution,Distribution,P,,배전/분전 계통,
H2.T.Z30,전기,소비,-,distribution,Distribution,P,,배전/분전 계통,
H1.Z13,전기,소비,-,hvac,Cooling 1 / HVAC 1.1,P,,공조 설비 전력 계통,
H1.Z14,전기,소비,-,hvac,Cooling 1 / HVAC 1.2,P,,공조 설비 전력 계통,
H1.Z10,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z17,전기,소비,-,test,Test,,,테스트/실험 전력 계통,공통 이상탐지 파이프라인 제외 대상
H1.Z18,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z19,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z21,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z22,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z23,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z26,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z27,전기,소비,-,test,Test,P,,테스트/실험 전력 계통,
H1.Z29,전기,소비,-,test,Test,,,테스트/실험 전력 계통,공통 이상탐지 파이프라인 제외 대상
H2.Z61,전기,소비,-,server,Server,P,,서버/IT 부하 전력 계통,
H2.Z62,전기,소비,-,server,Server,P,,서버/IT 부하 전력 계통,
H2.Z63,전기,소비,-,server,Server,P,,서버/IT 부하 전력 계통,
H2.Z64,전기,소비,-,server,Server,P,H2.ZE64,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H2.ZE64,전기,소비,-,server,Server redundant,P,H2.Z64,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H2.Z65,전기,소비,-,server,Server,P,H2.ZE65,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H2.ZE65,전기,소비,-,server,Server redundant,P,H2.Z65,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H3.Z71,전기,소비,-,server,Server O4 power supply,P,,서버/IT 부하 전력 계통,
H3.Z46,전기,소비,-,server,Server,P,,서버/IT 부하 전력 계통,
H3.Z43,전기,소비,-,server,Server,P,H3.ZE43,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H3.ZE43,전기,소비,-,server,Server redundant,P,H3.Z43,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H3.Z44,전기,소비,-,server,Server,P,H3.ZE44,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H3.ZE44,전기,소비,-,server,Server redundant,P,H3.Z44,서버/IT 부하 전력 계통,이중화 계량기 쌍 존재
H2.Z68,전기,소비,-,ventilation,Ventilation,P,,환기 설비 전력 계통,
H2.Z69,전기,소비,-,ventilation,Ventilation,P,,환기 설비 전력 계통,
H2.Z70,전기,소비,-,ventilation,Ventilation,P,,환기 설비 전력 계통,
H3.Z42,전기,소비,-,ventilation,Ventilation,P,,환기 설비 전력 계통,
H3.Z40,전기,소비,-,design_dis,Design distribution,P,H3.ZE40,디자인 구역 배전 계통,이중화 계량기 쌍 존재
H3.ZE40,전기,소비,-,design_dis,Design distribution redundant,P,H3.Z40,디자인 구역 배전 계통,이중화 계량기 쌍 존재
H3.Z41,전기,소비,-,design_dis,Design distribution,P,H3.ZE41,디자인 구역 배전 계통,이중화 계량기 쌍 존재
H3.ZE41,전기,소비,-,design_dis,Design distribution redundant,P,H3.Z41,디자인 구역 배전 계통,이중화 계량기 쌍 존재
H4.Z50,전기,소비,-,office_dis,Office distribution,P,H4.ZE50,오피스 구역 배전 계통,이중화 계량기 쌍 존재
H4.ZE50,전기,소비,-,office_dis,Office distribution redundant,P,H4.Z50,오피스 구역 배전 계통,이중화 계량기 쌍 존재
H4.Z51,전기,소비,-,office_dis,Office distribution,P,H4.ZE51,오피스 구역 배전 계통,이중화 계량기 쌍 존재
H4.ZE51,전기,소비,-,office_dis,Office distribution redundant,P,H4.Z51,오피스 구역 배전 계통,이중화 계량기 쌍 존재
H3.Z47,전기,소비,-,simulation,Driving simulator general,P,,시뮬레이션 구역 전력 계통,
H3.Z48,전기,소비,-,simulation,Driving simulator control,P,,시뮬레이션 구역 전력 계통,
H3.Z49,전기,소비,-,simulation,Driving simulator HVAC,P,,시뮬레이션 구역 전력 계통,
H2.ZE74,전기,소비,-,robolab,Robolab,P,,로보랩 전력 계통,
