meter_urn,status,train_sequences,validation_sequences,test_sequences,train_time_sec,device,missing_before_fill,observed_rows,fit_rows,mlflow_run_id,val.MAE,val.RMSE,val.MAPE,test.MAE,test.RMSE,test.MAPE,reason
H3.Z44,completed,32449,8736,8735,4.7979419231414795,cuda,744,51840,33264,05db8f302e1c4e688dcd712bf527465e,434.4229431152344,790.4684448242188,131.8398895263672,420.7737121582031,797.2222290039062,119.44169616699219,
H3.Z45,completed,32449,8736,8735,4.378307104110718,cuda,744,51840,33264,92e01471dd0d464fb2f0a9922eea9560,777.8310546875,1852.2913818359375,111.45214080810547,708.1980590820312,1843.177490234375,111.92179870605469,
H3.Z46,completed,33168,8736,8735,4.209074974060059,cuda,1,52583,33264,3192939a351a4464a2e9827897ae4323,415.95159912109375,814.7656860351562,6.588463306427002,419.3104553222656,754.8690795898438,10.243356704711914,
H3.Z47,completed,11858,8736,8735,1.6263630390167236,cuda,21887,30697,33264,4a988e6d0e6e40729d89dc8d0c3d57db,574.8629760742188,1019.35595703125,13.256370544433594,581.5231323242188,1018.0650024414062,55.224735260009766,
H3.Z48,completed,11858,8736,8735,1.6049246788024902,cuda,21887,30697,33264,aef361debc9f4f82bf5a28bc39046eaa,532.1243286132812,1295.5706787109375,22693.95703125,494.55517578125,1242.270751953125,23390.798828125,
H3.Z49,completed,11858,8736,8735,1.5924389362335205,cuda,21887,30697,33264,b09c8eab69a14722b9457370d79cef82,214.7097625732422,459.5698547363281,302.36529541015625,209.1916046142578,433.9524841308594,322.85552978515625,
H3.Z71,completed,33168,8736,8735,4.390445947647095,cuda,1,52583,33264,a211e1901d994ca2a5e5487d866f8669,134.8479461669922,173.75442504882812,1.8360340595245361,184.9241485595703,339.1338195800781,2.7720470428466797,
H3.ZE40,skipped,0,6927,8735,,,36898,15686,33264,,,,,,,,insufficient_sequences
H3.ZE41,skipped,0,6927,8735,,,36898,15686,33264,,,,,,,,insufficient_sequences
H3.ZE43,skipped,0,6927,8735,,,36898,15686,33264,,,,,,,,insufficient_sequences
H3.ZE44,skipped,0,6927,8735,,,36898,15686,33264,,,,,,,,insufficient_sequences
H4.Z50,completed,33168,8736,4142,4.533994197845459,cuda,4594,47990,33264,f4ea8b1272744feba55ee7a96f001d61,844.042236328125,1903.9266357421875,20.466360092163086,896.516357421875,2174.040283203125,20.58310317993164,
H4.Z51,completed,33168,8736,4142,4.5614988803863525,cuda,4594,47990,33264,0d6d33fd5ed540dd90a2e1585d4730de,315.7201843261719,464.7395935058594,7.912339210510254,315.0289306640625,495.62933349609375,7.802710056304932,
H4.ZE50,skipped,0,6829,8735,,,36996,15588,33264,,,,,,,,insufficient_sequences
H4.ZE51,skipped,0,6829,8735,,,36996,15588,33264,,,,,,,,insufficient_sequences
V.K21,completed,33168,8736,8735,4.234790802001953,cuda,1,52583,33264,681ea4acf24b4b91be0c897a9650ddf5,9334.9609375,21012.287109375,20673.658203125,6159.18994140625,13838.423828125,9584.2373046875,
V.Z81,completed,33168,8736,8735,4.292612552642822,cuda,1,52583,33264,bc56046fe83c4215bb3091af9dc5de3b,12225.1259765625,17877.708984375,111.74401092529297,16995.0859375,24620.43359375,165.8189239501953,
V.Z82,completed,33168,8736,8735,4.324477195739746,cuda,1,52583,33264,ecb213d7ce12420ab1ef24079de64771,12358.1259765625,18195.486328125,611.0801391601562,17180.470703125,24642.31640625,555.564453125,
V.Z84,completed,20138,8736,8735,2.8820793628692627,cuda,13055,39529,33264,78dd24a94b504e2ba556ffbc5d7cb180,4994.12255859375,8666.4755859375,35310.36328125,4393.68408203125,7418.796875,38621.84765625,
V.ZE84,skipped,0,921,8735,,,42904,9680,33264,,,,,,,,insufficient_sequences
