year,month,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f
2022,11,-3.1801980837913013,-2.3389994784474797,-2.1331621334338826,-810.6419218757718,-183.27550753970007,-311.53401518701037,-315.8323950832104,0.5583918700969794,0.9216329205351144,0.916995582531231,0.9170522080499844,229.12126160912567,228.7616005531804,229.48539740852598,-239653.03076190475,-84894.77253108918,-78636.207096959,-76122.05228461981,865.4113520449308,240518.5862857143,50.002079542331295
2022,12,-135.35497625988077,-125.90976109776614,-120.99177185196598,-86798.76628395477,-30772.7871835643,-28630.05418969173,-27395.91077410068,-0.3511026256969045,-0.20623139470958124,-0.21088023216298452,-0.20330683084631057,230.39908058097896,230.12574845373985,230.9480667014617,-263647.6454876202,-93391.21254854798,-86567.39338630895,-83689.03991526987,907.020481584876,264554.8164722532,50.00072191346543
2023,1,-193.63775200993717,-179.31550536783888,-172.7019923275634,-123715.00999343481,-43913.04250243505,-40748.23282854539,-39053.68484257345,-0.6790746941792027,-0.6569484595989213,-0.6539029704016177,-0.6748832722746904,230.74910952868993,230.47727178577688,231.3787635590984,-348407.8563004178,-123491.5622473412,-114474.46157619076,-110441.83304650687,1097.5885954172577,349505.6417148,49.99975918190789
2023,2,-125.52556550281732,-116.72952469618386,-112.39327694244841,-80378.99470259182,-28447.641836413164,-26539.081993121094,-25392.283832882447,-0.2436634538667978,-0.07656736291836391,-0.07274991097576637,-0.07541651891753506,230.56653385788226,230.27507523447343,231.07145527447202,-433048.5655684891,-153482.42009483572,-142390.26580956453,-137175.87809704582,1323.9086689047124,434372.60342014965,49.99977432062293
2023,3,-96.83633202024055,-90.57108038315887,-87.14776835416573,-62417.80264283789,-22052.72742707978,-20651.52785089489,-19713.537592786954,-0.03268244815505872,0.21584894362820564,0.22344292442193434,0.2338548090956665,230.38965051439305,230.0632870639807,230.77189275566946,-478126.95270621823,-169413.08549050693,-157296.33550841096,-151417.53037128036,1414.8858911989155,479542.0073169012,50.000072850432346
2023,4,-140.18934758588108,-130.58998025866103,-125.36254891330482,-87707.08489869317,-30728.853055911517,-29086.4322219973,-27891.916005915788,-0.2436862883057898,-0.21171054738827585,-0.2026150911594663,-0.26380747609722666,230.26233028416814,230.0173867991615,230.61813041671036,-530488.3594828018,-187836.29726488792,-174643.77974010003,-168008.28731905977,1766.0850981254107,532254.3681991415,50.001063926762406
2023,5,-80.06375993449761,-74.60740292642664,-71.48149328589164,-46999.59203975677,-16354.040301943898,-15688.392758581056,-14957.063506910965,0.15627258765170499,0.3376351553139533,0.35618271312829436,0.3302777699158574,230.24544325217823,229.88695680044222,230.40829616254436,-582523.7240713391,-205992.49266087404,-191960.07231817726,-184571.16954291964,2384.914281305183,584915.4865311377,49.99972334527247
2023,6,-6.611030212784648,-6.114583530540863,-5.929370014450642,-3915.086673071862,-1358.598810304959,-1300.0367911172234,-1256.4280331045713,0.49712044712109194,0.8972653896038564,0.9274805857448958,0.9359152104965336,229.69865650352727,229.45544877122637,229.86692778405333,-595161.5192272733,-210385.0196955347,-196174.67810784164,-188601.8364740799,2599.6132634411865,597769.7843325844,50.00038320677121
2023,7,-17.219257721787756,-15.81242396742801,-15.24121849715212,-10558.901168902852,-3677.258985658566,-3505.648998422369,-3375.993829797159,0.45713210165640317,0.8138530588685079,0.8513696319633306,0.8535893788691895,230.02967716507516,229.83553678617517,230.35524907778205,-601044.9406436844,-212432.95095322398,-198125.6216912429,-190486.37064938675,2730.718187983922,603784.3157290907,50.00007420835619
2023,8,-23.789216354754707,-21.980793913826364,-21.22240710968204,-14702.343767383876,-5109.468225554577,-4888.541445754222,-4704.337295707584,0.4330607556170731,0.7655232696208385,0.807506226827001,0.8080212335110672,229.59286630160588,229.268058466663,229.7600004786746,-610728.6630844316,-215797.71514435083,-201346.6924143543,-193584.2536440537,2897.7826940948607,613635.1239175993,50.000242905842505
2023,9,-35.80634527237647,-33.126352012034914,-31.811331423854554,-22246.8592942822,-7740.932431964158,-7410.490669684007,-7095.40333657009,0.3898252222240003,0.6777928020930543,0.7198248928169793,0.7136849240413476,229.66825598468265,229.29874171651258,229.81249639320765,-622774.8938004511,-219985.43264204104,-205355.92650408932,-197433.53519120673,3089.036102061411,625872.6413952509,50.000707324860045
2023,10,-148.82499114108916,-138.6903498372825,-133.6618392165981,-92682.98059051951,-32606.657123422683,-30663.49872332527,-29412.921158652527,-0.24376342145339555,-0.15615100848487792,-0.137498962683679,-0.16639214099472358,230.26126293185516,229.91097955120452,230.65476126424758,-662754.5649563173,-234002.2587394082,-218600.3740396034,-210151.93330212965,3392.3540569439056,666156.0467364406,49.99991545748596
2023,11,-211.66660337300553,-198.0795899117108,-190.3564288379445,-136002.91690467816,-47996.34022695189,-45013.71580738679,-42992.888000615414,-0.6095245158440186,-0.5838300432704032,-0.5755971865018342,-0.5972743688549332,230.55343852887074,230.15427434337718,231.0218409064738,-750278.9594159813,-264861.1176266949,-247560.07594641004,-237857.7675398307,3705.528461137207,753993.6396119355,49.99960042813372
2023,12,-249.0721185107834,-232.40181689035103,-224.1056069839616,-160543.18351683483,-56760.812641726705,-52975.936864979565,-50806.37803869191,-0.7979371272213326,-0.7983151925936524,-0.794197996192997,-0.8025254184800944,230.53355362131333,230.2152019827769,231.14374118735086,-855806.2768007377,-302123.814423001,-282451.4108508868,-271231.0522549016,3956.9756529304136,859773.1831237914,49.999924459709035
