year,month,P,Tdiff,Trl,Tvl,V,W,qv
2018,1,11664.930606473059,-1801.355116566517,11.220739918583693,9.901610296934706,49074621.19480675,87215.15601783061,10.230664714591793
2018,2,10368.060455079507,-1900.9984582946042,11.628224355654728,9.798399442059978,55778806.09387198,96231.99404761905,7.378578251784269
2018,3,15919.350346024647,-2280.282904574831,11.832828499264274,9.646846978493572,60518975.52714221,104306.05652759084,6.984827132251107
2018,4,37730.64450171853,-2246.8445149888844,11.665914064891338,9.475138407406122,68005874.38163248,122496.94444444444,14.977209980218868
2018,5,17413.788138030006,-2579.2579516046267,12.188396546966267,9.695765878439447,75932901.43369175,144102.55376344087,5.132818427166024
2018,6,5967.442839688015,-1861.021624544517,11.882269965277779,10.046376340226084,78750309.5362697,153453.05555555556,2.3108352444413223
2018,7,2814.6396803814096,-1281.5371650303946,11.040860215053764,9.828685035842295,80287765.03633146,156374.3777312799,1.7942375436831364
2018,8,26510.603955207436,-2353.807117242982,12.080622735161938,9.709465707785718,83841712.41662231,167032.3924731183,8.089971527500891
2018,9,2396.5360049159103,-1361.3886067246358,11.439432630244351,9.921631352154922,87537498.34447156,178540.27777777778,1.4503011939714605
2018,10,26627.902697251848,-2116.404100799387,12.117080170169068,9.972024840569217,93592015.71981119,193471.7219056253,10.578938148590284
2018,11,10095.006811705378,-71.80254957012022,11.11409669746312,10.826355452674898,98327910.98484299,203812.72331421546,5.056535495419799
2018,12,3091.4190752759764,1969.9336590286264,11.655040322580646,13.70070564516129,101154008.32213262,209136.4247311828,1.6062266038406763
2019,1,11353.01714939457,-796.821198986822,11.864885752688172,11.227251344086023,102010032.49566661,211141.53225806452,4.537386135046299
2019,2,7360.572560161546,-2274.534230283999,14.022544642857142,11.776996527777778,105961571.34684817,220539.88095238095,4.340151000740096
2019,3,11114.463027914107,-2000.454335483508,11.270625841184389,9.300437137804078,109503107.08838044,226230.28263795425,5.565700611399259
2019,4,7641.711036793385,-1988.459766356849,12.167291666666667,10.19305570083682,113614520.18518518,235007.36111111112,3.4651208058751517
2019,5,16324.911325752848,2439.3047626915745,9.582150530754399,12.039237322680526,115912996.15618412,240690.59139784946,5.930497169868473
2019,6,8826.374794432879,4224.832883795453,12.919348643587767,17.13771055131241,119512346.49098743,251615.45319661422,2.4536952469548288
2019,7,9478.58394119057,5459.747029681982,11.74616392128906,17.222607287370327,121783455.80325338,259541.14147129035,2.8792698661191305
2019,8,35903.19992011541,2734.0211688791287,11.107056207885332,13.818427696382962,126669419.71814258,276178.4679066893,10.50473872624519
2019,9,19639.596830921375,-2661.8984109703497,14.847770599657121,12.153890371078806,133168605.74360968,296913.414339889,7.103120534385647
2019,10,24822.000424074333,-2972.5176704096916,12.690213169391955,9.618927297570423,137801871.12007964,309435.9731543624,9.440881090329727
2019,11,47238.02896921758,-1619.4792366844108,10.838640649411026,9.260511726682388,151634952.88902295,339752.6388888889,25.20284763218366
2019,12,14507.262552889011,-2754.4715284636914,12.729596183977499,10.045082891551482,165324046.20300218,364004.85984553373,7.957952014405473
2020,1,4876.338740099876,-2325.4621243992283,15.290116413026082,12.948409061049455,167447478.37686035,367594.6504353393,4.049129676029972
2020,2,6918.849565799332,-1924.668981870571,13.131076812066663,11.168995609873003,173201112.73579377,372824.4252873563,7.178112176149006
2020,3,1590.0320506516216,467.35745759730685,12.956095415923723,13.430773330472112,174791953.80694944,375861.10363391653,0.39878106739691815
2020,4,19257.806571453053,1000.4905570826772,12.434003803985982,13.445347695359171,177890061.81352457,383438.9583333333,8.02946287632136
2020,5,2720.8754232787774,3034.435002533028,13.697557940468778,16.73004071342704,182275332.91688702,391605.376344086,3.628805124182014
2020,6,40.520833333333336,5808.358045639244,14.220912671886731,19.97383044459749,183381979.07359678,392191.52777777775,0.01539274691358025
2020,7,4849.281488871637,207.9124706232198,17.554188039510592,17.808825465242673,183476122.58064517,392445.0268817204,2.1011919634237834
2020,8,51620.28468136329,-3209.6457340771635,15.300727076374859,12.094657021467695,192538719.0840852,415514.24731182796,17.921051352278496
2020,9,44921.24417039896,-3169.548600682531,12.411273138592302,9.277789290593462,203724934.143898,449688.75,15.716299618200553
2020,10,26348.760773095684,-4468.961240558556,13.206856808136918,8.773165548098433,214390285.10067114,477923.8926174497,11.246313153346216
2020,11,10463.458921523981,1924.9337449779812,10.395208952937189,12.150555299774915,220514999.7222222,490902.77777777775,6.444090141612202
2020,12,1495.4898913530467,3924.267987080534,10.015938620071685,13.647188620071685,223302586.69354838,495081.0483870968,0.9836695401617739
2021,1,22248.7334192667,-846.1921473337305,11.048231038535778,10.118212276058504,228722453.33597746,503298.5215053763,15.204236007229916
2021,2,24929.684010775196,-3483.8509442064333,12.874901139315792,9.334374867094636,241284323.4753123,522829.46428571426,15.029338954942768
2021,3,19024.69117378471,-3870.0688833375757,13.403151612401919,9.576704834142,249242509.54482272,536182.0995962315,11.448115454340208
2021,4,5224.990323315118,-4971.353007464879,15.078923977043322,10.319803860344598,254743314.30555555,545498.75,2.9759879383087733
2021,5,4276.237679211469,-5066.391317313727,14.919220430107526,10.092204301075268,256187993.2795699,548287.0967741936,2.268015628892779
2021,6,27552.320916097135,-3129.719782694943,13.530601714916404,10.456666244457445,260636511.23861566,557882.9166666666,12.251136430504243
2021,7,30702.021822647206,-3693.8952012627674,13.342013202893057,9.709856584265003,269305689.6152829,578020.5645161291,12.299693574525705
2021,8,11435.81743198778,-2856.098377782396,15.954356534394247,13.053370951010573,276621361.5591398,597313.9784946237,3.8796684587813632
2021,9,25288.37270878297,149.9110936311959,14.061180277317805,14.20711804003031,279674574.7222222,605974.7222222222,9.906224097259967
2021,10,22715.00226744586,130.31293146621016,9.292248322147652,9.449653475915973,288786395.70029706,628249.5302013423,9.79312321401602
2021,11,7543.759050546448,-3882.4874185688773,14.793402777777779,10.933217576937968,293972931.8055556,640378.6111111111,2.989609327565271
2021,12,15345.534915777522,-2128.4568643394236,16.82665660170832,14.715791632525173,298642501.4762912,647972.9838709678,9.34415985643697
2022,1,7777.4667283624185,-4757.369538080884,16.510742454308453,11.674081773598656,302248547.983871,655494.2204301076,2.6794924442310992
2022,2,29922.131854996096,-3478.2257154603644,11.74854849128647,8.222247608322341,307353398.21184623,671060.119047619,9.66272640325462
2022,3,26755.61530706012,-1771.303332311649,12.433355779961657,10.645905985309321,313767738.0020264,689507.806191117,10.002749090618599
2022,4,13135.760214910948,1654.7110720991607,12.710335161797335,14.380891247734061,319428260.6807833,705129.8611111111,4.732856958424923
2022,5,15365.719177830659,-1696.2773756536812,15.521953264423148,13.844689284991915,322401034.6708091,715245.4301075268,3.7146507212527187
2022,6,47292.57323922283,-1904.8192615922248,10.787141296221028,8.864131574522453,328822799.56883985,737344.3055555555,14.322845493477734
2022,7,39378.22099452038,-1000.0569347076082,11.194657117767203,10.181216787967445,339898973.6316764,775106.9892473118,11.52075520414523
2022,8,16739.720679828428,-936.0209963375389,13.205880007230373,12.260674331954085,343354234.25436276,787078.2258064516,4.7979031211852785
2022,9,9383.94658119658,983.2413723411684,16.322442416590142,17.352337962962963,347427205.4166667,800999.4444444445,2.9448659188034196
2022,10,45441.05248102102,-2067.4062089705503,8.669317673378076,6.589295302013422,354604905.23489934,823081.7449664429,14.556540058958651
2022,11,14871.142361111111,-362.09375,11.410474537037036,11.036377314814814,362496430.8333333,846639.0277777778,5.64514351851852
2022,12,67.8774641577061,1037.2068559054446,12.982997311827958,14.056081989247312,363374421.7741935,848800.0,0.010271057347670254
2023,1,0.5577956989247311,738.3445355486028,17.210349462365592,17.938799283154122,363378188.5752688,848800.0,0.00031362007168458776
2023,2,0.0,-692.2214781746032,21.55248015873016,20.859337797619048,363378298.0654762,848800.0,5.208333333333334e-05
2023,3,0.017945266935845673,410.5279273216689,17.312774786899954,17.743887393449977,363378433.243607,848800.0,0.0002983400628084342
2023,4,0.0,535.2770833333333,16.28304398148148,16.774745370370372,363378500.0,848800.0,0.0
2023,5,0.0,423.7504480286738,19.152811379928313,19.592036290322582,363378500.0,848800.0,0.0
2023,6,0.0,343.55983837332366,23.352627314814814,23.685416666666665,363378500.0,848800.0,0.0
2023,7,0.0,157.56065441890706,23.1166395942736,23.25789009739235,363378500.0,848800.0,0.0
2023,8,0.0,18.780521953405017,22.109767025089607,22.12496639784946,363378500.0,848800.0,0.0
2023,9,0.0,-112.14552357632199,21.366157407407407,21.261367614001283,363378572.0833333,848800.0,0.0
2023,10,0.0,138.71129753914988,17.052729306487695,17.173601789709174,363378600.0,848800.0,0.0
2023,11,0.0,499.4636639349391,14.010902777777778,14.50542824074074,363378600.0,848800.0,0.0
2023,12,0.0,653.7240957966765,12.306122220393535,12.962645609318997,363378600.0,848800.0,0.0
