year,month,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f
2018,1,4.18209845171072,3.9748027003950246,2.603646879529735,1911.4932017692495,711.9001185699213,645.7144707250017,414.9724217975297,0.9849162846378318,0.9179390296983226,0.6323442741734201,-0.425705767344661,1303.1486140740744,227.51756611723872,227.4680336963656,227.75562631961128,13096.106073994784,8632.54718825538,8633.335900678845,0.792388449812895,12586.363555431612,0.0,50.00893373447551
2018,2,7.569082845313181,7.372813316035909,4.998208481084795,3424.304697800766,1254.3575715114273,1222.5322949495082,914.355932988036,0.9704901010745902,0.8994857372140773,0.6375527407851698,-0.3280282353454749,2486.6511890363186,227.8795205298086,227.7207696271333,228.10496951551406,14690.005479910717,10157.223551053572,10138.4284375,-18.79800045833342,14690.005479910713,0.0,49.99505410228934
2018,3,4.046733489180831,4.101740351269795,2.573883732647763,1938.2009342222977,697.6832491684098,703.9532061754247,505.85920152541297,0.9787985766140901,0.8993517163470617,0.7206656801454417,0.06344646047867826,1327.413375679321,228.2828905786031,228.12381030216582,228.59057815011784,16628.541676507994,11544.518416628562,11527.058007578933,-17.461633814098338,16628.54167650799,0.0,50.01111143775479
2018,4,5.087699881081596,5.236275291326414,3.320290283234206,2482.8903931122272,894.5321497815181,901.5885990012191,681.32148747455,0.9772206499636051,0.8999450091907029,0.7337360133479032,-0.024710679101252485,1593.4650570627725,228.6708031303156,228.569595119791,228.91146368309705,17890.92999228892,12354.623544439815,12339.407780092592,-15.216056013888977,17890.92999228892,0.0,50.038067291412546
2018,5,1.9935015397652711,2.071376560337351,1.1051645550369247,947.0715500125615,354.8968521432779,356.3791850477942,232.94879504911012,0.9875756338413124,0.8991767954430674,0.7826987527115062,0.05234360985678167,551.1202789140411,229.15105247977317,228.90499491206305,229.3036821644361,19425.920203741964,13330.72252666801,13315.817510080644,-14.9053929314517,19425.920203741964,0.0,50.05189107939261
2018,6,2.962130170903456,3.0930094238561687,1.586605471495309,1480.0924940679288,538.2580736752944,542.829944008197,344.4160377448251,0.980512308546526,0.8873241696513476,0.7828643217788959,0.09413412083419516,913.0906529491515,229.38746368872478,229.09478062320045,229.44402039834887,20252.408755106182,13823.722826847223,13808.828118055555,-14.895583791666756,20252.408755106182,0.0,50.06646521675841
2018,7,5.914499947676464,6.235388732370725,3.4050166383516998,3031.6478783017187,1063.5372345538985,1100.9877621702476,750.4135101240228,0.966911235613432,0.8821562437977055,0.781955565142152,0.14915110731392975,1899.11317166293,229.13821894078552,229.0051044655675,229.38560089531572,21641.69660863751,14700.475479973045,14685.58988542869,-14.888417125000087,21641.69660863751,0.0,50.07389103481258
2018,8,7.830181858077658,8.222202137213582,5.000372814336906,4016.7535305265437,1395.4636419718402,1450.3910674555495,1097.714481978379,0.9587267441334124,0.8761428079903084,0.7811256641526804,0.24219292744553175,2555.4294245718825,228.8174188982393,228.69522535434504,229.13423615874729,24861.32770257483,16724.74958199955,16709.864551971325,-14.888417125000087,24861.32770257483,0.0,50.074538958498124
2018,9,1.9475189781668047,1.973113621145991,0.9316062879003458,925.2686027805424,362.67783638418916,345.6176752562916,176.51889201975354,0.985961782109617,0.9074537692553323,0.7484239111062839,-0.07985461363807406,542.9762437478769,229.62490553064563,229.45287757199864,230.06424573120395,26439.828598353768,17724.595698375,17709.784086805557,-14.812806013888977,26439.828598353764,0.0,50.06401255937293
2018,10,10.254208190200737,10.41772702098474,7.065085662150248,5087.33137491848,1764.732072908111,1821.3365645655517,1456.8642054064296,0.9458130347698167,0.8683851441035171,0.6983459752290755,0.05711790926495689,3549.8073509367077,229.1889559473638,228.97258994394247,229.8233176623976,28228.512124850415,18917.77263509911,18903.906486430486,-13.870833232382639,28228.512124850415,0.0,50.05265706783461
