meter_urn,measurement,year,total_rows,null_rows,null_pct
H1.K11,P,2018,8703,0,0.00
H1.K11,P,2019,8760,0,0.00
H1.K11,P,2020,8784,0,0.00
H1.K11,P,2021,8760,0,0.00
H1.K11,P,2022,8760,0,0.00
H1.K11,P,2023,8759,0,0.00
H1.K11,Tdiff,2017,1,0,0.00
H1.K11,Tdiff,2018,8760,0,0.00
H1.K11,Tdiff,2019,8760,0,0.00
H1.K11,Tdiff,2020,8784,0,0.00
H1.K11,Tdiff,2021,8760,0,0.00
H1.K11,Tdiff,2022,8760,0,0.00
H1.K11,Tdiff,2023,8759,0,0.00
H1.K11,Trl,2018,8721,0,0.00
H1.K11,Trl,2019,8760,0,0.00
H1.K11,Trl,2020,8784,0,0.00
H1.K11,Trl,2021,8760,0,0.00
H1.K11,Trl,2022,8760,0,0.00
H1.K11,Trl,2023,8759,0,0.00
H1.K11,Tvl,2018,8715,0,0.00
H1.K11,Tvl,2019,8760,0,0.00
H1.K11,Tvl,2020,8784,0,0.00
H1.K11,Tvl,2021,8760,0,0.00
H1.K11,Tvl,2022,8760,0,0.00
H1.K11,Tvl,2023,8759,0,0.00
H1.K11,V,2018,8702,0,0.00
H1.K11,V,2019,8760,0,0.00
H1.K11,V,2020,8784,0,0.00
H1.K11,V,2021,8760,0,0.00
H1.K11,V,2022,8760,0,0.00
H1.K11,V,2023,8759,0,0.00
H1.K11,W,2018,8676,0,0.00
H1.K11,W,2019,8760,0,0.00
H1.K11,W,2020,8784,0,0.00
H1.K11,W,2021,8760,0,0.00
H1.K11,W,2022,8760,0,0.00
H1.K11,W,2023,8759,0,0.00
H1.K11,qv,2018,8703,0,0.00
H1.K11,qv,2019,8760,0,0.00
H1.K11,qv,2020,8784,0,0.00
H1.K11,qv,2021,8760,0,0.00
H1.K11,qv,2022,8760,0,0.00
H1.K11,qv,2023,8759,0,0.00
H1.K12,P,2018,8703,0,0.00
H1.K12,P,2019,8760,0,0.00
H1.K12,P,2020,8784,0,0.00
H1.K12,P,2021,8760,0,0.00
H1.K12,P,2022,8760,0,0.00
H1.K12,P,2023,8759,0,0.00
H1.K12,Tdiff,2017,1,0,0.00
H1.K12,Tdiff,2018,8760,0,0.00
H1.K12,Tdiff,2019,8760,0,0.00
H1.K12,Tdiff,2020,8784,0,0.00
H1.K12,Tdiff,2021,8760,0,0.00
H1.K12,Tdiff,2022,8760,0,0.00
H1.K12,Tdiff,2023,8759,0,0.00
H1.K12,Trl,2018,8703,0,0.00
H1.K12,Trl,2019,8760,0,0.00
H1.K12,Trl,2020,8784,0,0.00
H1.K12,Trl,2021,8760,0,0.00
H1.K12,Trl,2022,8760,0,0.00
H1.K12,Trl,2023,8759,0,0.00
H1.K12,Tvl,2018,8706,0,0.00
H1.K12,Tvl,2019,8760,0,0.00
H1.K12,Tvl,2020,8784,0,0.00
H1.K12,Tvl,2021,8760,0,0.00
H1.K12,Tvl,2022,8760,0,0.00
H1.K12,Tvl,2023,8759,0,0.00
H1.K12,V,2018,8702,0,0.00
H1.K12,V,2019,8760,0,0.00
H1.K12,V,2020,8784,0,0.00
H1.K12,V,2021,8760,0,0.00
H1.K12,V,2022,8760,0,0.00
H1.K12,V,2023,8759,0,0.00
H1.K12,W,2018,8690,0,0.00
H1.K12,W,2019,8760,0,0.00
H1.K12,W,2020,8784,0,0.00
H1.K12,W,2021,8760,0,0.00
H1.K12,W,2022,8760,0,0.00
H1.K12,W,2023,8759,0,0.00
H1.K12,qv,2018,8703,0,0.00
H1.K12,qv,2019,8760,0,0.00
H1.K12,qv,2020,8784,0,0.00
H1.K12,qv,2021,8760,0,0.00
H1.K12,qv,2022,8760,0,0.00
H1.K12,qv,2023,8759,0,0.00
H1.K14,P,2018,8702,0,0.00
H1.K14,P,2019,8760,0,0.00
H1.K14,P,2020,8784,0,0.00
H1.K14,P,2021,8760,0,0.00
H1.K14,P,2022,8760,0,0.00
H1.K14,P,2023,8759,0,0.00
H1.K14,Tdiff,2017,1,0,0.00
H1.K14,Tdiff,2018,8760,0,0.00
H1.K14,Tdiff,2019,8760,0,0.00
H1.K14,Tdiff,2020,8784,0,0.00
H1.K14,Tdiff,2021,8760,0,0.00
H1.K14,Tdiff,2022,8760,0,0.00
H1.K14,Tdiff,2023,8759,0,0.00
H1.K14,Trl,2018,8755,0,0.00
H1.K14,Trl,2019,8760,0,0.00
H1.K14,Trl,2020,8784,0,0.00
H1.K14,Trl,2021,8760,0,0.00
H1.K14,Trl,2022,8760,0,0.00
H1.K14,Trl,2023,8759,0,0.00
H1.K14,Tvl,2018,8703,0,0.00
H1.K14,Tvl,2019,8760,0,0.00
H1.K14,Tvl,2020,8784,0,0.00
H1.K14,Tvl,2021,8760,0,0.00
H1.K14,Tvl,2022,8760,0,0.00
H1.K14,Tvl,2023,8759,0,0.00
H1.K14,V,2018,8702,0,0.00
H1.K14,V,2019,8760,0,0.00
H1.K14,V,2020,8784,0,0.00
H1.K14,V,2021,8760,0,0.00
H1.K14,V,2022,8760,0,0.00
H1.K14,V,2023,8759,0,0.00
H1.K14,W,2018,8699,0,0.00
H1.K14,W,2019,8760,0,0.00
H1.K14,W,2020,8784,0,0.00
H1.K14,W,2021,8760,0,0.00
H1.K14,W,2022,8760,0,0.00
H1.K14,W,2023,8759,0,0.00
H1.K14,qv,2018,8703,0,0.00
H1.K14,qv,2019,8760,0,0.00
H1.K14,qv,2020,8784,0,0.00
H1.K14,qv,2021,8760,0,0.00
H1.K14,qv,2022,8760,0,0.00
H1.K14,qv,2023,8759,0,0.00
H1.K15,P,2018,8703,0,0.00
H1.K15,P,2019,8760,0,0.00
H1.K15,P,2020,8784,0,0.00
H1.K15,P,2021,8760,0,0.00
H1.K15,P,2022,8760,0,0.00
H1.K15,P,2023,8759,0,0.00
H1.K15,Tdiff,2017,1,0,0.00
H1.K15,Tdiff,2018,8760,0,0.00
H1.K15,Tdiff,2019,8760,0,0.00
H1.K15,Tdiff,2020,8784,0,0.00
H1.K15,Tdiff,2021,8760,0,0.00
H1.K15,Tdiff,2022,8760,0,0.00
H1.K15,Tdiff,2023,8759,0,0.00
H1.K15,Trl,2017,1,0,0.00
H1.K15,Trl,2018,8760,0,0.00
H1.K15,Trl,2019,8760,0,0.00
H1.K15,Trl,2020,8784,0,0.00
H1.K15,Trl,2021,8760,0,0.00
H1.K15,Trl,2022,8760,0,0.00
H1.K15,Trl,2023,8759,0,0.00
H1.K15,Tvl,2018,8759,0,0.00
H1.K15,Tvl,2019,8760,0,0.00
H1.K15,Tvl,2020,8784,0,0.00
H1.K15,Tvl,2021,8760,0,0.00
H1.K15,Tvl,2022,8760,0,0.00
H1.K15,Tvl,2023,8759,0,0.00
H1.K15,V,2018,8702,0,0.00
H1.K15,V,2019,8760,0,0.00
H1.K15,V,2020,8784,0,0.00
H1.K15,V,2021,8760,0,0.00
H1.K15,V,2022,8760,0,0.00
H1.K15,V,2023,8759,0,0.00
H1.K15,W,2018,8701,0,0.00
H1.K15,W,2019,8760,0,0.00
H1.K15,W,2020,8784,0,0.00
