meter_urn,resolution_code,total_rows,measurement_count,min_ts,max_ts,null_rows,null_pct,span_days
H1.K11,1h,367742,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.K12,1h,367729,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.K14,1h,367786,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.K15,1h,367851,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.K16,1h,312737,7,2018-11-26 10:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,1861.5
H1.W11,1h,368087,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.W12,1h,368087,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z10,1h,1156123,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z11,1h,1155621,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z12,1h,1155902,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z13,1h,1155806,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z14,1h,1155806,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z15,1h,1104250,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z16,1h,1155286,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z17,1h,1081976,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z18,1h,1155804,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z19,1h,1155804,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z20,1h,1156848,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z21,1h,1156705,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z22,1h,1156243,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H1.Z23,1h,1155170,22,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z24,1h,1154758,22,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z25,1h,1155799,22,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z26,1h,1104006,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z27,1h,1100196,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z28,1h,1104250,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z29,1h,1104250,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H1.Z310,1h,647118,21,2020-06-25 22:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,1284.0
H1.ZE20,1h,199885,21,2022-11-30 08:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,396.5833333333333
H2.K21,1h,367729,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H2.T.Z30,1h,1141698,22,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H2.T.Z31,1h,1141716,22,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H2.T.Z32,1h,1141670,22,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H2.T.Z33,1h,1139941,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H2.T.Z34,1h,1141806,22,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
H2.Z311,1h,647637,21,2020-06-24 22:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,1285.0
H2.Z35,1h,569269,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z351,1h,605199,21,2020-09-15 10:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,1202.5
H2.Z36,1h,572944,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z361,1h,605199,21,2020-09-15 10:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,1202.5
H2.Z61,1h,1141810,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z62,1h,1148788,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z63,1h,1156804,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z64,1h,1147040,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z65,1h,1156578,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z66,1h,1141808,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z67,1h,1141697,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z68,1h,1141810,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z69,1h,1141810,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.Z70,1h,1149189,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H2.ZE64,1h,323242,21,2022-03-22 14:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,649.3333333333334
H2.ZE65,1h,312662,21,2022-03-22 14:00:00+00:00,2023-12-09 21:00:00+00:00,0,0.00,627.2916666666666
H2.ZE66,1h,326071,21,2022-03-22 14:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,649.3333333333334
H2.ZE67,1h,325946,21,2022-03-22 14:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,649.3333333333334
H2.ZE74,1h,320980,21,2022-03-18 14:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,653.3333333333334
H3.Z312,1h,647130,21,2020-06-25 22:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,1284.0
H3.Z40,1h,1139744,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z41,1h,1138062,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z42,1h,1136557,22,2018-01-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2159.9583333333335
H3.Z43,1h,1138061,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z44,1h,1138060,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z45,1h,1138058,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z46,1h,1141823,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H3.Z47,1h,713988,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z48,1h,719110,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z49,1h,713988,22,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0
H3.Z71,1h,1156790,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H3.ZE40,1h,324218,21,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,653.5416666666666
H3.ZE41,1h,314217,21,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,653.5416666666666
H3.ZE43,1h,314217,21,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,653.5416666666666
H3.ZE44,1h,329233,21,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,653.5416666666666
H4.Z50,1h,1057469,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H4.Z51,1h,1049950,22,2017-12-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.00,2191.0416666666665
H4.ZE50,1h,311755,20,2022-03-22 11:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,649.4583333333334
H4.ZE51,1h,311756,21,2022-03-22 11:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,649.4583333333334
V.K21,1h,367947,7,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
V.Z81,1h,1104250,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
V.Z82,1h,1103855,21,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,2190.9583333333335
V.Z84,1h,632461,16,2019-06-28 22:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,1647.0
V.ZE84,1h,202536,21,2022-11-23 15:00:00+00:00,2023-12-31 22:00:00+00:00,0,0.00,403.2916666666667
WeatherStation.Weather,1h,526080,10,2017-12-30 23:00:00+00:00,2023-12-31 22:00:00+00:00,12340,2.35,2191.9583333333335
