candidate,kind,validation_rows,validation_mae,validation_rmse,validation_mape,validation_smape,validation_bias,validation_non_gateway_rows,validation_non_gateway_mae,validation_non_gateway_rmse,validation_non_gateway_mape,validation_non_gateway_smape,validation_non_gateway_bias,test_rows,test_mae,test_rmse,test_mape,test_smape,test_bias,test_non_gateway_rows,test_non_gateway_mae,test_non_gateway_rmse,test_non_gateway_mape,test_non_gateway_smape,test_non_gateway_bias,target_id,feature_count,fit_seconds,selection_priority
hgb_iter_320_lr_0.06,learned,8760,3559.088191589645,6886.408573844552,24.16774651415393,19.547032610258533,-185.2395599552393,7104,3102.398297055356,6248.366554693145,24.93268434248742,19.99675910948011,38.18843321815291,8759,2769.047423248951,4811.97000037606,34.974926361427585,24.536140822321077,420.92917787552614,8759,2769.047423248951,4811.97000037606,34.974926361427585,24.536140822321077,420.92917787552614,T1_group__central_cooling__P,53,1.7807672023773193,3
hgb_iter_320_lr_0.03,learned,8760,3559.2943927678125,6950.723865039736,23.416707559667223,19.293950821396447,-177.12532376070274,7104,3102.5125070706627,6319.95503114502,23.960410095016208,19.69559022247647,-13.519426571683267,8759,2749.7789295349626,4797.743987759043,34.16802437044501,24.62629229118756,404.80706440145485,8759,2749.7789295349626,4797.743987759043,34.16802437044501,24.62629229118756,404.80706440145485,T1_group__central_cooling__P,53,1.9153873920440674,3
extra_trees_n_360_depth_none_leaf_3,learned,8760,3612.339146741795,7026.067041003671,26.21527321465738,20.413131143824096,-149.94956933868258,7104,3117.4539204689136,6362.818203945329,26.506725625714882,20.59622917643568,18.258044577964757,8759,2752.6863054801756,4727.262131869665,38.13869398559488,25.62396160148715,449.5473397279328,8759,2752.6863054801756,4727.262131869665,38.13869398559488,25.62396160148715,449.5473397279328,T1_group__central_cooling__P,53,17.27025055885315,4
hgb_iter_180_lr_0.06,learned,8760,3573.7507798290835,6948.481444020866,24.014310514878588,19.573633796870837,-168.47368158949618,7104,3120.0849965977695,6320.853104132323,24.659486818146483,20.015330844244577,16.318276288119517,8759,2772.158504092982,4824.814571670042,34.36154050165388,24.573815368778526,389.89231252603156,8759,2772.158504092982,4824.814571670042,34.36154050165388,24.573815368778526,389.89231252603156,T1_group__central_cooling__P,53,1.1138010025024414,3
extra_trees_n_360_depth_16_leaf_2,learned,8760,3619.990084184381,6997.713930835176,26.529280721461607,20.53577500103581,-125.79806503824986,7104,3134.849492772348,6339.073157897411,26.895068549986416,20.778984472274857,43.59280351925465,8759,2764.3966902035145,4765.6075538890655,38.742196555684195,25.52713316170541,468.5648989087056,8759,2764.3966902035145,4765.6075538890655,38.742196555684195,25.52713316170541,468.5648989087056,T1_group__central_cooling__P,53,13.04590368270874,4
hgb_iter_180_lr_0.03,learned,8760,3613.281617322766,7120.523105754796,24.189597071145773,19.649071351407894,-231.12324265475502,7104,3141.368389382711,6458.948808401994,24.797788843363637,20.06307479629068,-52.673006599438935,8759,2775.3290890627577,4805.888441142163,36.16010682171937,25.691355469948785,393.8547042965539,8759,2775.3290890627577,4805.888441142163,36.16010682171937,25.691355469948785,393.8547042965539,T1_group__central_cooling__P,53,1.2256834506988525,3
extra_trees_n_360_depth_24_leaf_2,learned,8760,3648.435451640962,6985.165124691927,27.40286539787523,20.803747426939033,-97.94000443645287,7104,3155.722735949589,6325.58873649588,27.783912720918924,21.009104957132006,74.26064098425609,8759,2803.588863057131,4776.169358526577,40.93914283178663,26.126783893810686,520.6984682328874,8759,2803.588863057131,4776.169358526577,40.93914283178663,26.126783893810686,520.6984682328874,T1_group__central_cooling__P,53,18.978152990341187,4
mlp_128x64,learned,8760,3663.3111613870324,7031.904533816367,26.231416849130873,20.79279537849193,-248.24201439058038,7104,3205.8518219485254,6378.4889902087625,26.74802298119075,21.212026583005272,-30.084033308758798,8759,2833.0448696106714,4835.1809902795485,35.635022608295145,26.664687750328913,281.71482238957987,8759,2833.0448696106714,4835.1809902795485,35.635022608295145,26.664687750328913,281.71482238957987,T1_group__central_cooling__P,53,142.47638750076294,6
mlp_96x48,learned,8760,3692.7223731333847,7080.919614921801,25.38699809621474,20.606040747286205,-202.94569150670426,7104,3222.716287768185,6419.849081194761,25.482389842643734,20.829844681029815,-31.81242963899322,8759,2824.5969815097874,4843.205951990876,34.45083338081037,26.199087263684273,255.05384306740015,8759,2824.5969815097874,4843.205951990876,34.45083338081037,26.199087263684273,255.05384306740015,T1_group__central_cooling__P,53,103.09400939941406,6
random_forest_n_240_depth_18_leaf_3,learned,8760,3825.2051588671707,7391.2351136959,28.20095034438635,21.314504844556414,10.553830005263364,7104,3294.0753472092883,6691.404010331495,28.205020037182027,21.462524204492063,121.28535144067477,8759,2938.512518900775,5172.934837167947,46.97742837441402,26.039245083015494,554.5252589779099,8759,2938.512518900775,5172.934837167947,46.97742837441402,26.039245083015494,554.5252589779099,T1_group__central_cooling__P,53,57.63513708114624,5
