day_label,hour,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,weekday
12/11(월),1,-13.81218178117916,-8.930121707551798,-8.175305543211456,-2741.012305640848,-404.1637249203209,-1059.8209025503056,-1277.027663371666,0.7356254133397224,0.7712297695035452,0.8060973884932542,0.6735221864815643,228.65773248119388,228.88300984328905,229.34246824397783,-832459.147840543,-293860.6406581991,-274759.4662176809,-263839.04784268094,3955.5245,836424.039968561,50.01110897871168,0.0
12/11(월),2,-128.10439908243296,-117.7408997480254,-114.81159480835905,-79268.09924177127,-27663.080222212586,-25987.59355410865,-25617.425392399604,-0.1355938320335594,-0.1277317626667265,-0.1144022040540555,-0.2328523354101869,229.61322489904657,229.7467192954542,230.2594025540103,-832461.0703326206,-293860.77070274,-274760.2514050685,-263840.0813350514,3957.455737123,836427.92,50.01202995037227,0.0
12/11(월),3,-157.0788305818364,-144.34264197325408,-141.3924616280871,-99526.99598263673,-34963.32444625627,-32587.768015893234,-31975.90353709424,-0.445530550179602,-0.4490607128047547,-0.4339689918585904,-0.4559788204627112,229.49153652185305,229.59902308940443,230.17371277869012,-832541.0585459436,-293888.6977669791,-274786.4798402875,-263865.9150741809,3958.7457337438914,836509.2,50.010318806054265,0.0
12/11(월),4,-165.0846727617833,-152.29955644879135,-148.7267259981026,-104023.95165492172,-36513.055567408046,-34067.623077726494,-33443.27272318463,-0.3761274958138266,-0.3745278213596016,-0.3641884746743497,-0.4479638357661152,229.30504531590748,229.388976459546,229.99068898547412,-832641.4693645426,-293923.9639855873,-274819.3301105873,-263898.140844197,3959.26925,836610.0671278717,50.00053350554096,0.0
12/11(월),5,-158.9161914059306,-146.51056150345903,-142.96467829616682,-99283.76568105492,-34769.66060386888,-32579.458849842053,-31934.64622405161,-0.2364847973696206,-0.2258395498931785,-0.2151680465728696,-0.3207950012689143,228.7204660625768,228.75801708528763,229.40302586537845,-832745.5428894343,-293960.506690008,-274853.44679647806,-263931.6023497131,3960.2205,836715.1409611992,50.00978568765096,0.0
12/11(월),6,-100.92069700386472,-91.38541065948964,-87.75214928092896,-60511.6385299318,-21199.76881592897,-20004.64839839316,-19307.221520207982,0.0524986764537117,0.0620750008015792,0.0855495838059237,0.0091000391702456,228.71760617779984,228.5423867953338,229.3161134871402,-832843.3732150365,-293994.7849984484,-274885.5406976775,-263963.0698194574,3961.3680469167102,836814.128,49.98029821902476,0.0
12/11(월),7,-280.7875143159815,-259.9987585312435,-250.7797651853029,-179895.24475775103,-64069.76285699536,-59255.89536008015,-56569.5861009912,-0.9875922900430336,-0.995917794224342,-0.996166692452055,-0.981172685800612,229.9507731059216,229.63600820387384,230.7469416334752,-832905.5473061627,-294016.54600426595,-274906.1158312209,-263982.8964081759,3962.57425,836877.4993061627,49.99582321576567,0.0
12/11(월),8,-91.8514472874082,-82.54687823195556,-78.56940371885663,-53476.99912951631,-18840.17578612169,-17647.703353746558,-16989.11967510628,0.1262938120919534,0.1383227678550938,0.1663022119356678,0.038323940270039,228.341121820828,228.1055008794552,229.06050238773915,-833085.3872338381,-294080.6062126893,-274965.34780711273,-264039.4563855744,3962.57425,837057.3514678765,49.99296448389556,0.0
12/11(월),9,-146.11634570748512,-134.84621634847016,-129.90707301669053,-90556.23697752644,-31889.466856126863,-29850.70529841499,-28816.064924384515,-0.2417151385189538,-0.2272485430991534,-0.2157451092433173,-0.3123605350068942,229.0053680399677,228.6977373066659,229.5378636005136,-833138.953460791,-294099.45075565844,-274983.03891506634,-264056.4808385202,3964.120999999999,837112.460446745,50.01653743908767,0.0
12/11(월),10,-130.84380948044134,-120.21755901765408,-116.08547297644776,-79666.04985709339,-27936.007805984857,-26253.56041388553,-25476.48184278841,-0.0506132636330414,-0.0358790900586324,-0.0203394156412268,-0.1485626129290918,227.5119180759368,227.2178066752767,228.00692523996972,-833229.8310726379,-294131.4515048926,-275012.970295046,-264085.3964601994,3965.2507499999992,837204.4390726379,50.02132077161775,0.0
