meter_urn,run_group,source,run_dir,status,val_MAE,val_RMSE,val_MAPE,test_MAE,test_RMSE,test_MAPE,train_sequences,validation_sequences,test_sequences,observed_rows,missing_before_fill,fit_rows,train_time_sec,device,mlflow_run_id,source_priority
H1.Z19,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z19,completed,122.93598175048828,241.61618041992188,7082.18603515625,82.73731994628906,104.33547973632812,8273.732421875,33168,8736,8735,52583,1,33264,3.9557878971099854,cuda,360ece9bbb2e4781982cb3883e048feb,0
H2.Z69,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z69,completed,104.08089447021484,153.15843200683594,17.93921661376953,126.1295394897461,163.5155792236328,8.247292518615723,33168,8736,8735,52583,1,33264,4.122585296630859,cuda,40359b5a9c9e4c4fb2310c6209de9112,0
H2.Z68,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z68,completed,203.2545928955078,317.3877868652344,8.254539489746094,204.8959197998047,291.4075622558594,7.390385150909424,33168,8736,8735,52583,1,33264,4.591646909713745,cuda,201c0c6e52844ced8edb9c045bdbefe2,0
H3.Z71,full_p_meters_chunk4_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk4_seq24_e10_mlflow/H3_Z71,completed,134.8479461669922,173.75442504882812,1.8360340595245361,184.9241485595703,339.1338195800781,2.7720470428466797,33168,8736,8735,52583,1,33264,4.390445947647095,cuda,a211e1901d994ca2a5e5487d866f8669,0
H2.Z61,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z61,completed,94.36192321777344,142.86766052246094,0.7191804647445679,159.616455078125,395.5478210449219,8.521662712097168,33168,8736,8735,52583,1,33264,4.6927971839904785,cuda,7d46efafa7d448738587cc2b4f90f33c,0
H3.Z49,full_p_meters_chunk4_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk4_seq24_e10_mlflow/H3_Z49,completed,214.7097625732422,459.5698547363281,302.36529541015625,209.1916046142578,433.9524841308594,322.85552978515625,11858,8736,8735,30697,21887,33264,1.5924389362335205,cuda,b09c8eab69a14722b9457370d79cef82,0
H2.Z67,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z67,completed,355.5191650390625,727.3726196289062,1519.1585693359375,236.64439392089844,469.1341552734375,832.9071044921875,33168,8736,8735,52583,1,33264,4.683136940002441,cuda,0fa6f159631f4f0fa0aac010e28a67b1,0
H4.Z51,full_p_meters_chunk4_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk4_seq24_e10_mlflow/H4_Z51,completed,315.7201843261719,464.7395935058594,7.912339210510254,315.0289306640625,495.62933349609375,7.802710056304932,33168,8736,4142,47990,4594,33264,4.5614988803863525,cuda,0d6d33fd5ed540dd90a2e1585d4730de,0
H2.Z64,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z64,completed,352.82354736328125,634.9260864257812,3.508998394012451,303.4358215332031,523.8463745117188,3.376877784729004,33168,8736,8735,52583,1,33264,4.393491506576538,cuda,4ae0bb29e4334a74b3186e8a345837d2,0
H1.K16,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_K16,completed,283.66253662109375,528.5557861328125,1446.3614501953125,305.09295654296875,586.1610717773438,9.03659725189209,25286,8736,8735,44677,7907,33264,3.3537967205047607,cuda,c6ffd89862894ac68d851ddc296e7abe,0
H2.Z70,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z70,completed,266.6026306152344,496.3231201171875,71.49433898925781,335.6501770019531,629.0033569335938,90.4698486328125,33168,8736,8735,52583,1,33264,4.333580255508423,cuda,99cca12b99cd498182175bcfedb2e84a,0
H2.Z66,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z66,completed,355.72698974609375,665.1565551757812,836.37744140625,446.5848693847656,717.982421875,380.20196533203125,33168,8736,8735,52583,1,33264,4.318374395370483,cuda,96b9b2c952e048d8812a0ce2d321a543,0
H3.Z46,full_p_meters_chunk4_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk4_seq24_e10_mlflow/H3_Z46,completed,415.95159912109375,814.7656860351562,6.588463306427002,419.3104553222656,754.8690795898438,10.243356704711914,33168,8736,8735,52583,1,33264,4.209074974060059,cuda,3192939a351a4464a2e9827897ae4323,0
H3.Z41,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H3_Z41,completed,499.6675720214844,704.2557983398438,10.773377418518066,520.53955078125,773.8473510742188,62.39048385620117,32449,8736,8735,51840,744,33264,4.573011875152588,cuda,7eea9d539e18464ab233abbeed4803ac,0
H1.Z25,full_p_meters_chunk2_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk2_seq24_e10_mlflow/H1_Z25,completed,1147.5045166015625,2090.294677734375,56.11311721801758,381.76287841796875,776.7351684570312,103.23371887207031,33168,8736,8735,52583,1,33264,4.372138500213623,cuda,818063ef5e244cf0b72906103f144a0d,0
H2.Z65,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z65,completed,508.81610107421875,782.479736328125,4.953807830810547,551.6956787109375,779.6812133789062,6.01826810836792,33168,8736,8735,52583,1,33264,4.367285251617432,cuda,4beaf196cc1a4fddae43018304c720c0,0
H1.K12,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_K12,completed,2156.46875,4967.4619140625,63362.5859375,636.40380859375,791.582763671875,63627.30078125,33135,8736,8735,52526,58,33264,4.3510072231292725,cuda,6e42016593c24fa6a18c7329d33034fd,0
H3.Z44,full_p_meters_chunk4_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk4_seq24_e10_mlflow/H3_Z44,completed,434.4229431152344,790.4684448242188,131.8398895263672,420.7737121582031,797.2222290039062,119.44169616699219,32449,8736,8735,51840,744,33264,4.7979419231414795,cuda,05db8f302e1c4e688dcd712bf527465e,0
H1.Z18,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z18,completed,495.53387451171875,1195.889404296875,67.3268051147461,571.2144165039062,798.6463012695312,636.2728881835938,33168,8736,8735,52583,1,33264,4.088052988052368,cuda,80cbad65107f47d99279c914fc6a5079,0
H1.Z24,full_p_meters_chunk2_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk2_seq24_e10_mlflow/H1_Z24,completed,1236.072021484375,2221.607666015625,73.46600341796875,478.39300537109375,849.4321899414062,138.60794067382812,33168,8736,8735,52583,1,33264,4.27185845375061,cuda,3368a4126c8e4215b8719436fdfb5dd3,0
H1.Z14,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z14,completed,653.438720703125,1239.1314697265625,6.923467636108398,543.9555053710938,942.7885131835938,17.32441520690918,33168,8736,8735,52583,1,33264,3.7279834747314453,cuda,7fbe61eec297477a975e2caa9ba83a45,0
H3.Z40,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H3_Z40,completed,610.0383911132812,1022.9263305664062,6.8856024742126465,653.7362060546875,993.3521728515625,60.17005920410156,32449,8736,8735,51840,744,33264,4.017005681991577,cuda,a0a4a734fa9e4041b7f5f44af3df98ee,0
H1.Z10,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z10,completed,556.8510131835938,1377.3751220703125,69.40620422363281,456.8549499511719,997.6812744140625,52.792964935302734,33168,8736,8735,52583,1,33264,4.453323841094971,cuda,9c587a005fb44b92a428cae5957fd7c3,0
H2.Z62,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H2_Z62,completed,1.7669291496276855,16.25271987915039,10.573160171508789,793.8924560546875,1012.216064453125,58.62510299682617,33168,8736,8735,52583,1,33264,4.3579041957855225,cuda,c2039aa907444e9ca266baf280f5b256,0
H3.Z47,full_p_meters_chunk4_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk4_seq24_e10_mlflow/H3_Z47,completed,574.8629760742188,1019.35595703125,13.256370544433594,581.5231323242188,1018.0650024414062,55.224735260009766,11858,8736,8735,30697,21887,33264,1.6263630390167236,cuda,4a988e6d0e6e40729d89dc8d0c3d57db,0
H2.T.Z32,full_p_meters_chunk2_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk2_seq24_e10_mlflow/H2_T_Z32,completed,757.59375,1041.45654296875,12.141480445861816,784.1897583007812,1044.3599853515625,12.318243026733398,33168,8736,8735,52583,1,33264,4.633258581161499,cuda,c68d6312b6db471a8fb484ba50add788,0
H3.Z43,full_p_meters_chunk3_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk3_seq24_e10_mlflow/H3_Z43,completed,739.4921264648438,1067.655517578125,168.70651245117188,822.6342163085938,1098.6719970703125,32.37196731567383,32449,8736,8735,51840,744,33264,3.7247211933135986,cuda,1c5695ccf97c4e38bcbbec1171c4f0be,0
H1.Z13,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z13,completed,804.3619995117188,1424.3800048828125,8.483983993530273,724.1781616210938,1133.56396484375,31.168291091918945,33168,8736,8735,52583,1,33264,4.46224045753479,cuda,e84a934e4165458b9f941fb7f1970707,0
H3.Z48,full_p_meters_chunk4_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk4_seq24_e10_mlflow/H3_Z48,completed,532.1243286132812,1295.5706787109375,22693.95703125,494.55517578125,1242.270751953125,23390.798828125,11858,8736,8735,30697,21887,33264,1.6049246788024902,cuda,aef361debc9f4f82bf5a28bc39046eaa,0
H1.Z16,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z16,completed,541.1771240234375,1782.303955078125,59.11479568481445,620.7623291015625,1531.2821044921875,38.61867904663086,33168,8736,8735,52583,1,33264,4.403501987457275,cuda,88e719f56d00430fb332dffdf9399de2,0
H1.Z23,full_p_meters_chunk2_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk2_seq24_e10_mlflow/H1_Z23,completed,792.177001953125,2627.8544921875,7738.68408203125,597.1197509765625,1767.214111328125,43830.9375,33168,8736,8735,52583,1,33264,4.660377502441406,cuda,bc2da413e86c49f5a09673f0e5d5dd9d,0
