ts,y_true,y_pred,error
2022-01-01 19:00:00+00:00,218586.66666666663,218553.81,32.85416666662786
2022-01-01 19:15:00+00:00,223920.0,221023.12,2896.875
2022-01-01 19:30:00+00:00,231526.66666666663,231319.73,206.93229166662786
2022-01-01 19:45:00+00:00,232060.0,234015.94,-1955.9375
2022-01-01 20:00:00+00:00,231100.0,231048.08,51.921875
2022-01-01 20:15:00+00:00,231746.66666666663,231883.39,-136.72395833337214
2022-01-01 20:30:00+00:00,234006.66666666663,235660.86,-1654.1927083333721
2022-01-01 20:45:00+00:00,236906.66666666663,238147.6,-1240.9270833333721
2022-01-01 21:00:00+00:00,236180.0,234312.1,1867.90625
2022-01-01 21:15:00+00:00,240580.0,241754.97,-1174.96875
2022-01-01 21:30:00+00:00,235386.66666666663,234991.56,395.10416666662786
2022-01-01 21:45:00+00:00,243706.66666666663,244536.38,-829.7083333333721
2022-01-01 22:00:00+00:00,241686.66666666663,239874.61,1812.0572916666279
2022-01-01 22:15:00+00:00,245013.3333333333,245814.3,-800.9635416666861
2022-01-01 22:30:00+00:00,249200.0,247820.47,1379.53125
2022-01-01 22:45:00+00:00,247813.3333333333,247149.2,664.1302083333139
2022-01-01 23:00:00+00:00,267620.0,264061.25,3558.75
2022-01-01 23:15:00+00:00,319960.0,315770.56,4189.4375
2022-01-01 23:30:00+00:00,309180.0,310921.78,-1741.78125
2022-01-01 23:45:00+00:00,309093.3333333333,311058.7,-1965.354166666686
2022-01-02 00:00:00+00:00,311226.6666666667,308852.75,2373.916666666686
2022-01-02 00:15:00+00:00,314820.0,316084.66,-1264.65625
2022-01-02 00:30:00+00:00,313466.6666666667,312454.1,1012.5729166666861
2022-01-02 00:45:00+00:00,300980.0,299452.03,1527.96875
2022-01-02 01:00:00+00:00,284903.3333333333,285190.7,-287.35416666668607
2022-01-02 01:15:00+00:00,278040.0,280591.75,-2551.75
2022-01-02 01:30:00+00:00,274573.3333333333,275546.03,-972.6979166666861
2022-01-02 01:45:00+00:00,270006.6666666667,270576.6,-569.9270833333139
2022-01-02 02:00:00+00:00,270293.3333333333,272402.25,-2108.916666666686
