model,meter_urn,measurement,train_period,eval_period,mae,rmse,mape,created_at
rf,H1.W11,P,2018-01-08 00:00:00+00:00 ~ 2020-12-31 23:45:00+00:00,2022-01-01 00:00:00+00:00 ~ 2023-12-31 22:45:00+00:00,3971.5399,8207.1749,551.3674,2026-05-18T02:28:37.254144+00:00
xgboost,H1.W11,P,2018-01-08 00:00:00+00:00 ~ 2020-12-31 23:45:00+00:00,2022-01-01 00:00:00+00:00 ~ 2023-12-31 22:45:00+00:00,4423.4493,8966.6216,550.6379,2026-05-18T02:28:39.764857+00:00
svr,H1.W11,P,2018-01-08 00:00:00+00:00 ~ 2020-12-31 23:45:00+00:00,2022-01-01 00:00:00+00:00 ~ 2023-12-31 22:45:00+00:00,14757.5652,25966.5311,65504.6361,2026-05-18T02:30:14.528272+00:00
prophet,H1.W11,P,2018-01-08 00:00:00+00:00 ~ 2020-12-31 23:45:00+00:00,2022-01-01 00:00:00+00:00 ~ 2023-12-31 22:45:00+00:00,497801.1313,528621.1646,1119927.0139,2026-05-18T02:29:49.166797+00:00
