candidate,kind,validation_rows,validation_mae,validation_rmse,validation_mape,validation_smape,validation_bias,validation_non_gateway_rows,validation_non_gateway_mae,validation_non_gateway_rmse,validation_non_gateway_mape,validation_non_gateway_smape,validation_non_gateway_bias,test_rows,test_mae,test_rmse,test_mape,test_smape,test_bias,test_non_gateway_rows,test_non_gateway_mae,test_non_gateway_rmse,test_non_gateway_mape,test_non_gateway_smape,test_non_gateway_bias,target_id,feature_count,fit_seconds,selection_priority
ridge_alpha_1000,learned,8760,1079.886217514753,1440.6446898990182,1.4763527584909648,1.474421125804085,88.68795765683167,7104,1078.9967709337386,1443.0094755410007,1.4689234607585646,1.4673305855145182,67.24309215728503,8759,1162.126485939662,1762.5316522182804,1.8613578932668586,1.846200568180554,44.68126713806059,8759,1162.126485939662,1762.5316522182804,1.8613578932668586,1.846200568180554,44.68126713806059,T1_group__server_power__P,53,0.02336907386779785,2
ridge_robust_alpha_100,learned,8760,1103.8499530401555,1453.2336000471983,1.5115175860941648,1.5104866366028127,59.81063491375302,7104,1103.451083282693,1457.9383083373605,1.50516821687409,1.5044406857152133,40.56306678710214,8759,1161.831288931847,1725.3796391350745,1.855540520470888,1.84474437122843,-4.2021431307484205,8759,1161.831288931847,1725.3796391350745,1.855540520470888,1.84474437122843,-4.2021431307484205,T1_group__server_power__P,53,0.048300981521606445,2
ridge_robust_alpha_0.1,learned,8760,1105.134906052717,1462.3171345620317,1.5136758097487004,1.512652289737026,66.86614809910019,7104,1107.9328165389275,1472.287228606052,1.5116603404820554,1.5109947277542006,46.99369178711404,8759,1155.5439966061156,1708.3861166878635,1.8399076600669793,1.8343431172712699,-43.31771581756037,8759,1155.5439966061156,1708.3861166878635,1.8399076600669793,1.8343431172712699,-43.31771581756037,T1_group__server_power__P,53,0.051683902740478516,2
ridge_alpha_1,learned,8760,1105.2664687538788,1461.862714835,1.513871863240689,1.5128618833380243,66.148146656115,7104,1107.9398399230113,1471.6673506504708,1.5116904867332914,1.5110379718245968,46.26511222815041,8759,1155.638592256219,1708.1511338474413,1.8401862673114258,1.8344905344486715,-42.6367480314259,8759,1155.638592256219,1708.1511338474413,1.8401862673114258,1.8344905344486715,-42.6367480314259,T1_group__server_power__P,53,0.020993471145629883,2
ridge_alpha_0.1,learned,8760,1105.169952817942,1462.4105764726442,1.5137240278017192,1.512699182492372,66.93013158887022,7104,1107.9814812700495,1472.3973092675353,1.5117263574995274,1.511059422871721,47.06253243279824,8759,1155.5281365791616,1708.4225331400285,1.8398617127935846,1.8343075444162873,-43.37709017500077,8759,1155.5281365791616,1708.4225331400285,1.8398617127935846,1.8343075444162873,-43.37709017500077,T1_group__server_power__P,53,0.02122783660888672,2
ridge_robust_alpha_1,learned,8760,1105.4409827276897,1461.6534804324888,1.5141239529546728,1.5131226972454574,65.67299477572209,7104,1108.0333997766243,1471.3489818099804,1.5118339304723503,1.5111896875242594,45.78892989657459,8759,1155.6863024751926,1708.038728204314,1.8403325467107312,1.8345463211640471,-42.183524495522846,8759,1155.6863024751926,1708.038728204314,1.8403325467107312,1.8345463211640471,-42.183524495522846,T1_group__server_power__P,53,0.057576656341552734,2
ridge_alpha_100,learned,8760,1108.2804759291496,1457.1073503225357,1.517874963593781,1.5169595942938274,56.31484750225594,7104,1108.1960122764535,1462.3947200612129,1.5120296807515576,1.5114163148846465,37.44697222641786,8759,1162.4980466032684,1721.4816678219704,1.8556326615106755,1.8456645051496166,-10.845398880735038,8759,1162.4980466032684,1721.4816678219704,1.8556326615106755,1.8456645051496166,-10.845398880735038,T1_group__server_power__P,53,0.021030187606811523,2
ridge_alpha_10,learned,8760,1107.8673083539832,1460.6017923570218,1.5175578607843383,1.516624924646601,61.2913766530007,7104,1109.6533041603964,1469.1146864842106,1.5142136443911,1.5136251744820057,41.645158780755196,8759,1157.1320136941517,1708.9014630993574,1.8434587829228886,1.8366895124535352,-36.131343081885184,8759,1157.1320136941517,1708.9014630993574,1.8434587829228886,1.8366895124535352,-36.131343081885184,T1_group__server_power__P,53,0.020914793014526367,2
ridge_robust_alpha_10,learned,8760,1108.9952888136256,1460.4174109797189,1.5191277031163688,1.518222853357693,59.44985332685554,7104,1110.4030253517565,1468.3441829145884,1.5152860167833717,1.5147191399964126,39.904615328331715,8759,1158.084023535629,1710.173086239106,1.8454493324064771,1.8381966469240927,-32.96421512110769,8759,1158.084023535629,1710.173086239106,1.8454493324064771,1.8381966469240927,-32.96421512110769,T1_group__server_power__P,53,0.05303764343261719,2
hgb_iter_320_lr_0.03,learned,8760,1220.3807540204928,1639.8192751591514,1.6820955784959741,1.6800672504636565,115.19924924830225,7104,1196.6621928642062,1612.5406252494708,1.644970399110991,1.640574646994699,221.14377023858302,8759,2895.9011743047295,4160.834408746114,4.852292000902171,5.046805049543935,-1546.7042701982602,8759,2895.9011743047295,4160.834408746114,4.852292000902171,5.046805049543935,-1546.7042701982602,T1_group__server_power__P,53,1.9887707233428955,3
hgb_iter_180_lr_0.03,learned,8760,1226.715838070366,1645.488607539272,1.6893613979547428,1.687521838730274,116.44812823005027,7104,1212.8678822757386,1627.1284654098354,1.6660119182623299,1.6616513586865556,225.36529403953952,8759,2950.4998982941465,4221.721333663716,4.942106734832484,5.146044238482234,-1577.0470982584604,8759,2950.4998982941465,4221.721333663716,4.942106734832484,5.146044238482234,-1577.0470982584604,T1_group__server_power__P,53,1.2344889640808105,3
hgb_iter_180_lr_0.06,learned,8760,1256.638225345592,1689.3224275581113,1.7348133271172077,1.7348155628929367,56.89988184735054,7104,1214.2737744428791,1642.4450637355606,1.6694652684564837,1.6660124285250666,192.5321675688217,8759,3416.8260896105594,4977.628216116025,5.769911022848224,6.1053805447604095,-2207.4822413200436,8759,3416.8260896105594,4977.628216116025,5.769911022848224,6.1053805447604095,-2207.4822413200436,T1_group__server_power__P,53,1.129199504852295,3
hgb_iter_320_lr_0.06,learned,8760,1273.816519581209,1709.8722631156324,1.7607157221548277,1.7581143114568427,152.90918048423302,7104,1238.2575282759392,1671.4775347271507,1.7053430081532817,1.6992925522257039,288.8488254340023,8759,3461.4131022292977,5022.096232089167,5.854602395142722,6.196850254261458,-2193.8771143282197,8759,3461.4131022292977,5022.096232089167,5.854602395142722,6.196850254261458,-2193.8771143282197,T1_group__server_power__P,53,1.7423627376556396,3
last_value,baseline,8760,1347.3434295675522,1768.187876807687,1.8538409473052617,1.8539132166420644,2.196133162100458,7104,1330.8265055006573,1760.8392763608122,1.829741985289433,1.8299542862042384,1.9970623503499574,8759,1480.4589721168354,2042.4539342716014,2.378328612418338,2.3706851058440055,-1.1011768709491594,8759,1480.4589721168354,2042.4539342716014,2.378328612418338,2.3706851058440055,-1.1011768709491594,T1_group__server_power__P,53,0.0,0
extra_trees_n_360_depth_none_leaf_3,learned,8760,1417.8744600646223,1811.4084842882762,1.9771860637622845,1.95523145061036,795.5122236952909,7104,1361.0735108853844,1756.5641082534498,1.8882871806644195,1.8694841249355363,680.731554695794,8759,1777.159095444367,2357.1083552298733,2.8964271225920197,2.827018880359898,1293.2001652233262,8759,1777.159095444367,2357.1083552298733,2.8964271225920197,2.827018880359898,1293.2001652233262,T1_group__server_power__P,53,16.578121423721313,4
