meter_urn,thermal_mode,group_name,description,period_type,period_label,row_count,measurement_count,measurement_columns,joined_weather_columns,usable_column_count,usable_columns,start_ts,end_ts,mean_null_ratio_usable,pair_count,top_pair,top_corr,top_abs_corr,error
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.002614,136,Igc~Igm,0.999017,0.999017,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,Igc~Igm,0.999067,0.999067,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,Igc~Igm,0.99892,0.99892,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,seasonal,Autumn,13104,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.029358,136,Igc~Igm,0.999113,0.999113,
H1.K11,cooling,cooling_thermal,HVAC 3&5,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.003534,136,Igc~Igm,0.999017,0.999017,
H1.K11,cooling,cooling_thermal,HVAC 3&5,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,Igc~Igm,0.999067,0.999067,
H1.K11,cooling,cooling_thermal,HVAC 3&5,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,Igc~Igm,0.99892,0.99892,
H1.K11,cooling,cooling_thermal,HVAC 3&5,seasonal,Autumn,13104,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.029358,136,Igc~Igm,0.999113,0.999113,
H1.K12,cooling,cooling_thermal,HVAC 2,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.003593,136,Igc~Igm,0.999017,0.999017,
H1.K12,cooling,cooling_thermal,HVAC 2,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,Igc~Igm,0.999067,0.999067,
H1.K12,cooling,cooling_thermal,HVAC 2,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,Igc~Igm,0.99892,0.99892,
H1.K12,cooling,cooling_thermal,HVAC 2,seasonal,Autumn,13104,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.029358,136,Igc~Igm,0.999113,0.999113,
H1.K14,cooling,cooling_thermal,Office&Reception,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.003335,136,Igc~Igm,0.999017,0.999017,
H1.K14,cooling,cooling_thermal,Office&Reception,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,Igc~Igm,0.999067,0.999067,
H1.K14,cooling,cooling_thermal,Office&Reception,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,Igc~Igm,0.99892,0.99892,
H1.K14,cooling,cooling_thermal,Office&Reception,seasonal,Autumn,13104,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.029358,136,Igc~Igm,0.999113,0.999113,
H1.K15,cooling,cooling_thermal,HVAC 3,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.003045,136,Igc~Igm,0.999017,0.999017,
H1.K15,cooling,cooling_thermal,HVAC 3,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,Igc~Igm,0.999067,0.999067,
H1.K15,cooling,cooling_thermal,HVAC 3,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,Igc~Igm,0.99892,0.99892,
H1.K15,cooling,cooling_thermal,HVAC 3,seasonal,Autumn,13104,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.029358,136,Igc~Igm,0.999113,0.999113,
H1.K16,cooling,cooling_thermal,Server O1,seasonal,Winter,11567,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-12-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.002238,136,Igc~Igm,0.998968,0.998968,
H1.K16,cooling,cooling_thermal,Server O1,seasonal,Spring,11040,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2019-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.009165,136,Igc~Igm,0.999072,0.999072,
H1.K16,cooling,cooling_thermal,Server O1,seasonal,Summer,11040,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2019-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.009431,136,Igc~Igm,0.998904,0.998904,
H1.K16,cooling,cooling_thermal,Server O1,seasonal,Autumn,11030,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-11-26 10:00:00+00:00,2023-11-30 23:00:00+00:00,0.011637,136,Igc~Igm,0.999089,0.999089,
H2.K21,cooling,cooling_thermal,Office 냉방,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.003593,136,Igc~Igm,0.999017,0.999017,
H2.K21,cooling,cooling_thermal,Office 냉방,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,Igc~Igm,0.999067,0.999067,
H2.K21,cooling,cooling_thermal,Office 냉방,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,Igc~Igm,0.99892,0.99892,
H2.K21,cooling,cooling_thermal,Office 냉방,seasonal,Autumn,13104,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.029358,136,Igc~Igm,0.999113,0.999113,
H1.W11,heating,heating_thermal,총 난방,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.001994,136,V~W,0.99957,0.99957,
H1.W11,heating,heating_thermal,총 난방,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,V~W,0.999778,0.999778,
H1.W11,heating,heating_thermal,총 난방,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,V~W,0.99952,0.99952,
H1.W11,heating,heating_thermal,총 난방,seasonal,Autumn,13104,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.029358,136,V~W,0.999865,0.999865,
H1.W12,heating,heating_thermal,CHP 열 생산,seasonal,Winter,12983,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.001994,136,V~W,0.999801,0.999801,
H1.W12,heating,heating_thermal,CHP 열 생산,seasonal,Spring,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.007637,136,V~W,0.999829,0.999829,
H1.W12,heating,heating_thermal,CHP 열 생산,seasonal,Summer,13248,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.016162,136,V~W,0.999861,0.999861,
