model,meter_urn,measurement,train_period,eval_period,mae,rmse,mape,created_at
rf,H1.W11,P,2018-01-08 00:00:00+00:00 ~ 2021-12-31 23:45:00+00:00,2022-01-01 00:00:00+00:00 ~ 2023-12-31 22:45:00+00:00,2833.6955,5436.6165,393.323,2026-05-13T06:23:10.883093+00:00
xgboost,H1.W11,P,2018-01-08 00:00:00+00:00 ~ 2021-12-31 23:45:00+00:00,2022-01-01 00:00:00+00:00 ~ 2023-12-31 22:45:00+00:00,3863.1112,8014.205,780.7369,2026-05-13T06:22:11.381401+00:00
