ts,y_true,y_pred,error
2022-01-01 00:00:00+00:00,167966.66666666666,175185.49750731332,-7218.830840646668
2022-01-01 00:15:00+00:00,167193.33333333334,175132.47793524366,-7939.144601910317
2022-01-01 00:30:00+00:00,163700.0,172814.14710140112,-9114.147101401119
2022-01-01 00:45:00+00:00,168266.66666666666,175654.75113813952,-7388.084471472859
2022-01-01 01:00:00+00:00,165906.3387978142,173888.30796976414,-7981.969171949924
2022-01-01 01:15:00+00:00,166313.33333333334,174739.66933270177,-8426.335999368428
2022-01-01 01:30:00+00:00,168693.33333333334,177539.8890629449,-8846.555729611544
2022-01-01 01:45:00+00:00,169820.0,178096.7855757844,-8276.785575784394
2022-01-01 02:00:00+00:00,163146.66666666666,172362.0329653577,-9215.36629869105
2022-01-01 02:15:00+00:00,163106.66666666666,171876.90699094525,-8770.240324278595
2022-01-01 02:30:00+00:00,164833.33333333334,173505.75933708955,-8672.426003756205
2022-01-01 02:45:00+00:00,171226.66666666666,179424.45130865654,-8197.784641989885
2022-01-01 03:00:00+00:00,168400.0,176153.3677765808,-7753.367776580795
2022-01-01 03:15:00+00:00,167386.66666666666,175752.51226103617,-8365.845594369515
2022-01-01 03:30:00+00:00,166020.0,174603.48146157205,-8583.481461572053
2022-01-01 03:45:00+00:00,176146.66666666666,184067.5668625767,-7920.900195910042
2022-01-01 04:00:00+00:00,166700.0,172581.20500667245,-5881.205006672448
2022-01-01 04:15:00+00:00,164740.0,172493.93298634872,-7753.932986348722
2022-01-01 04:30:00+00:00,175086.66666666666,182537.09511077515,-7450.428444108489
2022-01-01 04:45:00+00:00,166030.0,170874.415055594,-4844.415055594
2022-01-01 05:00:00+00:00,169640.0,176582.54329436354,-6942.543294363539
2022-01-01 05:15:00+00:00,173813.33333333334,181461.44574199925,-7648.112408665911
2022-01-01 05:30:00+00:00,177040.0,181674.2788133587,-4634.278813358687
2022-01-01 05:45:00+00:00,175273.33333333334,180159.17015517375,-4885.836821840407
2022-01-01 06:00:00+00:00,177646.66666666666,182444.1679976337,-4797.501330967032
2022-01-01 06:15:00+00:00,176080.0,180311.43049249545,-4231.430492495449
2022-01-01 06:30:00+00:00,174853.33333333334,179782.2136826958,-4928.880349362444
2022-01-01 06:45:00+00:00,175406.66666666666,180841.00600007316,-5434.339333406504
2022-01-01 07:00:00+00:00,179760.0,183328.20746239138,-3568.2074623913795
2022-01-01 07:15:00+00:00,176853.33333333334,179121.3544717732,-2268.021138439857
2022-01-01 07:30:00+00:00,174646.66666666666,177247.73235382588,-2601.065687159222
2022-01-01 07:45:00+00:00,177846.66666666666,180372.04340481112,-2525.376738144463
2022-01-01 08:00:00+00:00,169973.33333333334,171147.38344901177,-1174.0501156784303
2022-01-01 08:15:00+00:00,171653.33333333334,176474.01744360288,-4820.6841102695325
2022-01-01 08:30:00+00:00,164080.0,167343.01151036617,-3263.0115103661665
2022-01-01 08:45:00+00:00,161686.66666666666,162887.36594804958,-1200.6992813829274
2022-01-01 09:00:00+00:00,123973.33333333331,126995.54087003611,-3022.207536702801
2022-01-01 09:15:00+00:00,20166.666666666668,37668.320274330414,-17501.653607663746
2022-01-01 09:30:00+00:00,18406.666666666668,35028.34076099776,-16621.67409433109
2022-01-01 09:45:00+00:00,18986.666666666668,29460.660715665814,-10473.994048999146
2022-01-01 10:00:00+00:00,30006.666666666668,40600.02907425084,-10593.362407584169
2022-01-01 10:15:00+00:00,231973.3333333333,262007.40634903312,-30034.073015699803
2022-01-01 10:30:00+00:00,230300.0,247248.2098433151,-16948.209843315097
2022-01-01 10:45:00+00:00,201720.0,224489.18771694775,-22769.187716947752
2022-01-01 11:00:00+00:00,187933.3333333333,210999.9279982965,-23066.594664963195
2022-01-01 11:15:00+00:00,182386.66666666663,189265.827510688,-6879.16084402136
2022-01-01 11:30:00+00:00,180140.0,185520.33770697573,-5380.337706975726
2022-01-01 11:45:00+00:00,167100.0,175042.45362292312,-7942.453622923116
2022-01-01 12:00:00+00:00,171160.0,180231.8482197309,-9071.848219730891
2022-01-01 12:15:00+00:00,154233.33333333334,162522.67663325567,-8289.34329992233
2022-01-01 12:30:00+00:00,21370.0,40964.171198937285,-19594.171198937285
2022-01-01 12:45:00+00:00,16553.333333333332,33471.89464545579,-16918.561312122456
2022-01-01 13:00:00+00:00,18286.666666666668,34432.44841498355,-16145.78174831688
2022-01-01 13:15:00+00:00,183106.66666666663,198976.02868759786,-15869.362020931236
2022-01-01 13:30:00+00:00,210820.0,228037.9014241678,-17217.901424167794
2022-01-01 13:45:00+00:00,204253.3333333333,223974.63227582444,-19721.29894249112
2022-01-01 14:00:00+00:00,202566.66666666663,225698.2594031022,-23131.59273643556
2022-01-01 14:15:00+00:00,194420.0,212572.25757093902,-18152.257570939022
2022-01-01 14:30:00+00:00,182320.0,200747.2893155739,-18427.2893155739
2022-01-01 14:45:00+00:00,168180.0,186878.10530129203,-18698.10530129203
2022-01-01 15:00:00+00:00,179593.33333333334,197804.9147543518,-18211.58142101846
2022-01-01 15:15:00+00:00,191426.66666666663,209567.5148461138,-18140.848179447174
2022-01-01 15:30:00+00:00,206553.3333333333,222272.50342084625,-15719.170087512932
2022-01-01 15:45:00+00:00,209173.3333333333,223163.8293283525,-13990.495995019184
2022-01-01 16:00:00+00:00,219160.0,231807.0255394776,-12647.025539477589
2022-01-01 16:15:00+00:00,206433.3333333333,216596.77371451686,-10163.440381183551
2022-01-01 16:30:00+00:00,199240.0,209715.29744650947,-10475.297446509474
2022-01-01 16:45:00+00:00,200340.0,210161.4346386688,-9821.434638668812
2022-01-01 17:00:00+00:00,212186.66666666663,221023.08501339215,-8836.41834672552
2022-01-01 17:15:00+00:00,206373.3333333333,215599.06859362312,-9225.735260289803
2022-01-01 17:30:00+00:00,212210.0,222484.0379167999,-10274.03791679989
2022-01-01 17:45:00+00:00,211553.3333333333,222035.62636973156,-10482.293036398245
2022-01-01 18:00:00+00:00,212606.66666666663,223404.7697879249,-10798.10312125826
2022-01-01 18:15:00+00:00,216006.66666666663,227300.5582292252,-11293.891562558565
2022-01-01 18:30:00+00:00,219146.66666666663,230228.8867979487,-11082.220131282083
2022-01-01 18:45:00+00:00,212726.66666666663,219750.29141729296,-7023.624750626332
2022-01-01 19:00:00+00:00,218586.66666666663,221789.4125327862,-3202.7458661195706
2022-01-01 19:15:00+00:00,223920.0,221784.5492725832,2135.4507274168136
2022-01-01 19:30:00+00:00,231526.66666666663,228685.01322260217,2841.653444064461
