epoch,train_loss,val_loss
1,0.02088184805157093,0.008990086615085602
2,0.005391393589357344,0.005486536305397749
3,0.003611282819810395,0.0036590087693184614
4,0.002756357268215372,0.0029660454019904137
5,0.0024477109492111663,0.0026865252293646336
6,0.0022937210930439717,0.002622909378260374
7,0.002113408430551107,0.002337754936888814
8,0.0020934919925191657,0.0025483579374849796
9,0.002010718938142348,0.0024578741285949945
10,0.001963911078368815,0.002242076676338911
11,0.0019310934469103814,0.002159644616767764
12,0.0018936709850095213,0.0023599378764629364
13,0.0018402847362897143,0.002137487754225731
14,0.0018140536177760134,0.0020801816135644913
15,0.0017900321883364365,0.002118290401995182
16,0.0017641106996541987,0.002084890380501747
17,0.0017226471243282923,0.0020816046744585037
18,0.0017717371363407718,0.002089238027110696
19,0.001711754438180763,0.0020272042602300644
20,0.0016815724075198747,0.0022511223796755075
21,0.0016922023236894837,0.0020187206100672483
22,0.0016560693835624709,0.0019355261465534568
23,0.0016623758585550465,0.0019775789696723223
24,0.0016312351495099183,0.0019400626188144088
25,0.00165120890775982,0.0019730839412659407
26,0.001626945688174321,0.0019871352706104517
27,0.0016087699654655388,0.0018886452307924628
28,0.001585102598899259,0.0019437907030805945
29,0.0015955464869665985,0.0018803280545398593
30,0.0015786577419091303,0.00191298418212682
31,0.0015675301681487607,0.0019361982122063637
32,0.0015557692663815733,0.001980960601940751
33,0.0015772666379164618,0.002083962084725499
34,0.0015516545954876795,0.0019148767460137606
35,0.0015518340864218772,0.0020109587348997593
36,0.0015614039094473881,0.001851219218224287
37,0.0015476130423709177,0.0018760135862976313
38,0.0015752696190387584,0.001846006023697555
39,0.0015560615100324727,0.0018771009054034948
40,0.0015047183869263301,0.001844360027462244
41,0.0015065608573002884,0.0018438338302075863
42,0.0014942800339597922,0.001932489569298923
43,0.0015216904763992016,0.0018803372513502836
44,0.0014798103442164854,0.0018874952802434564
45,0.0014961073407903313,0.001816459815017879
46,0.0014862738558664346,0.0018416765378788114
47,0.0015031380686335838,0.0020186372566968203
48,0.0014842524067856945,0.0018051611259579659
49,0.0014853748148128103,0.0018225506646558642
50,0.0014846846568756379,0.001821983139961958
