method,candidate_version,validation_rmse,weight
v29,v20,18211.07421875,0.18654606929832193
v29,v23,18179.982421875,0.28558914971573846
v29,v25,18187.30078125,0.300554663822228
v29,v27,18330.66796875,0.22731011716371163
