method,candidate_version,validation_rmse,weight
v29,v20,18248.744140625,0.16548706888164286
v29,v23,18197.865234375,0.3663697858210195
v29,v25,18259.560546875,0.19848523311386446
v29,v27,18323.943359375,0.2696579121834731
