ts,meter_urn,measurement,value,lstm_flag,if_flag,iqr_flag,score,label
2017-12-31 23:00:00+00:00,V.Z81,P,-64355.54843832759,1,0,0,1,주의
2018-01-01 01:00:00+00:00,V.Z81,P,-83656.62964409722,1,0,0,1,주의
2018-01-01 05:00:00+00:00,V.Z81,P,-84717.40958973701,0,1,0,1,주의
2018-01-01 06:00:00+00:00,V.Z81,P,-85094.46597656251,0,1,0,1,주의
2018-01-01 07:00:00+00:00,V.Z81,P,-85405.33637152778,0,1,0,1,주의
2018-01-01 08:00:00+00:00,V.Z81,P,-84612.28869791668,0,1,0,1,주의
2018-01-01 09:00:00+00:00,V.Z81,P,-85174.28046440972,0,1,0,1,주의
2018-01-01 10:00:00+00:00,V.Z81,P,-82976.6398828125,0,1,0,1,주의
2018-01-01 13:00:00+00:00,V.Z81,P,-85222.85040364583,0,1,0,1,주의
2018-01-01 14:00:00+00:00,V.Z81,P,-85234.8205859375,0,1,0,1,주의
2018-01-01 15:00:00+00:00,V.Z81,P,-85927.67017713649,0,1,0,1,주의
2018-01-01 16:00:00+00:00,V.Z81,P,-84187.28586805557,0,1,0,1,주의
2018-01-01 17:00:00+00:00,V.Z81,P,-83921.76857638889,0,1,0,1,주의
2018-01-01 18:00:00+00:00,V.Z81,P,-84103.55921006945,0,1,0,1,주의
2018-01-01 19:00:00+00:00,V.Z81,P,-85041.81733206006,0,1,0,1,주의
2018-01-02 04:00:00+00:00,V.Z81,P,-83767.10839192709,1,0,0,1,주의
2018-01-02 20:00:00+00:00,V.Z81,P,-83454.03841145833,0,1,0,1,주의
2018-01-04 21:00:00+00:00,V.Z81,P,-82697.71307291667,1,0,0,1,주의
2018-01-05 08:00:00+00:00,V.Z81,P,12018.751259494366,1,0,0,1,주의
2018-01-05 12:00:00+00:00,V.Z81,P,40046.68737413195,1,0,0,1,주의
2018-01-05 20:00:00+00:00,V.Z81,P,-71134.94395263672,1,0,0,1,주의
2018-01-05 23:00:00+00:00,V.Z81,P,-69755.87745827319,1,0,0,1,주의
2018-01-06 03:00:00+00:00,V.Z81,P,-83735.00849639002,1,0,0,1,주의
2018-01-09 12:00:00+00:00,V.Z81,P,11234.673252360026,1,0,0,1,주의
2018-01-10 16:00:00+00:00,V.Z81,P,-20673.391678059903,1,0,0,1,주의
2018-01-10 21:00:00+00:00,V.Z81,P,-80749.37761067708,1,0,0,1,주의
2018-01-11 00:00:00+00:00,V.Z81,P,-79428.41415798612,0,1,0,1,주의
2018-01-11 12:00:00+00:00,V.Z81,P,52233.82750868055,1,0,0,1,주의
2018-01-11 13:00:00+00:00,V.Z81,P,61070.79351345488,1,0,0,1,주의
2018-01-12 11:00:00+00:00,V.Z81,P,43000.51938619619,1,0,0,1,주의
2018-01-15 00:00:00+00:00,V.Z81,P,-82487.90165364584,1,0,0,1,주의
2018-01-19 20:00:00+00:00,V.Z81,P,-4204.201022677953,1,0,0,1,주의
2018-01-22 03:00:00+00:00,V.Z81,P,-70272.88822725399,1,0,0,1,주의
2018-01-28 11:00:00+00:00,V.Z81,P,-72943.90393798827,1,0,0,1,주의
2018-01-29 02:00:00+00:00,V.Z81,P,-5855.757531467019,1,0,0,1,주의
2018-02-13 04:00:00+00:00,V.Z81,P,-79050.86495659723,1,0,0,1,주의
2018-02-14 04:00:00+00:00,V.Z81,P,-78670.03356119791,1,0,0,1,주의
2018-02-16 04:00:00+00:00,V.Z81,P,-78918.913984375,1,0,0,1,주의
2018-02-17 19:00:00+00:00,V.Z81,P,-79821.44090711806,1,0,0,1,주의
2018-02-27 09:00:00+00:00,V.Z81,P,-1918.186250000008,1,0,0,1,주의
2018-04-02 18:00:00+00:00,V.Z81,P,-69441.95610706676,1,0,0,1,주의
2018-04-03 09:00:00+00:00,V.Z81,P,23702.39764539928,1,0,0,1,주의
2018-04-03 11:00:00+00:00,V.Z81,P,65902.81002414279,1,0,0,1,주의
2018-04-04 13:00:00+00:00,V.Z81,P,88838.36943576389,1,0,0,1,주의
2018-04-27 11:00:00+00:00,V.Z81,P,57504.26326700847,1,0,0,1,주의
2018-05-08 09:00:00+00:00,V.Z81,P,68165.77134469697,1,0,0,1,주의
2018-05-08 11:00:00+00:00,V.Z81,P,132628.63886284723,1,0,0,1,주의
2018-05-08 12:00:00+00:00,V.Z81,P,147244.79568576388,1,1,0,2,경고
2018-05-08 13:00:00+00:00,V.Z81,P,149022.41288194444,0,1,0,1,주의
2018-05-08 14:00:00+00:00,V.Z81,P,138821.53360272234,0,1,0,1,주의
2018-05-08 15:00:00+00:00,V.Z81,P,122320.76483072915,0,1,0,1,주의
2018-05-08 16:00:00+00:00,V.Z81,P,106938.48109375,0,1,0,1,주의
2018-05-08 17:00:00+00:00,V.Z81,P,98994.44938802085,0,1,0,1,주의
2018-05-08 18:00:00+00:00,V.Z81,P,82853.36179384775,0,1,0,1,주의
2018-05-09 08:00:00+00:00,V.Z81,P,132048.564296875,0,1,0,1,주의
2018-05-09 09:00:00+00:00,V.Z81,P,146115.78703125002,0,1,0,1,주의
2018-05-09 10:00:00+00:00,V.Z81,P,145511.7940597034,0,1,0,1,주의
2018-05-09 11:00:00+00:00,V.Z81,P,136744.28121442397,0,1,0,1,주의
2018-05-09 12:00:00+00:00,V.Z81,P,135125.26889756945,0,1,0,1,주의
2018-05-09 13:00:00+00:00,V.Z81,P,96608.39958333332,0,1,0,1,주의
2018-05-09 14:00:00+00:00,V.Z81,P,76540.0186140694,0,1,0,1,주의
2018-05-28 07:00:00+00:00,V.Z81,P,149107.15524739583,1,1,0,2,경고
2018-05-28 08:00:00+00:00,V.Z81,P,155621.48308159722,0,1,0,1,주의
2018-05-28 09:00:00+00:00,V.Z81,P,134542.44171006946,0,1,0,1,주의
2018-05-28 10:00:00+00:00,V.Z81,P,130412.423515625,0,1,0,1,주의
2018-05-28 11:00:00+00:00,V.Z81,P,143734.29453125,0,1,0,1,주의
2018-05-28 12:00:00+00:00,V.Z81,P,133773.64249131945,0,1,0,1,주의
2018-05-28 13:00:00+00:00,V.Z81,P,132151.82138020833,0,1,0,1,주의
2018-05-28 14:00:00+00:00,V.Z81,P,134677.7549376177,0,1,0,1,주의
2018-05-28 15:00:00+00:00,V.Z81,P,132222.37741319445,0,1,0,1,주의
2018-05-28 16:00:00+00:00,V.Z81,P,127079.88403645832,0,1,0,1,주의
2018-05-28 17:00:00+00:00,V.Z81,P,113881.66686631944,0,1,0,1,주의
2018-05-28 18:00:00+00:00,V.Z81,P,84716.75042534721,0,1,0,1,주의
2018-05-29 07:00:00+00:00,V.Z81,P,115871.05495442708,1,1,0,2,경고
2018-05-29 08:00:00+00:00,V.Z81,P,138353.66653645833,1,1,0,2,경고
2018-05-29 09:00:00+00:00,V.Z81,P,154616.034765625,0,1,0,1,주의
2018-05-29 10:00:00+00:00,V.Z81,P,151565.0268359375,0,1,0,1,주의
2018-05-29 11:00:00+00:00,V.Z81,P,133904.69875,0,1,0,1,주의
2018-05-29 12:00:00+00:00,V.Z81,P,116308.32975260416,0,1,0,1,주의
2018-05-29 13:00:00+00:00,V.Z81,P,132505.21604166666,0,1,0,1,주의
2018-05-29 14:00:00+00:00,V.Z81,P,137178.30733072915,0,1,0,1,주의
2018-05-29 15:00:00+00:00,V.Z81,P,112524.81408854168,0,1,0,1,주의
2018-05-29 16:00:00+00:00,V.Z81,P,106866.94301432293,0,1,0,1,주의
2018-05-29 17:00:00+00:00,V.Z81,P,100465.19885416668,0,1,0,1,주의
2018-05-30 07:00:00+00:00,V.Z81,P,113887.12223307292,0,1,0,1,주의
2018-05-30 08:00:00+00:00,V.Z81,P,117191.70338541668,0,1,0,1,주의
2018-05-30 09:00:00+00:00,V.Z81,P,117767.17972005208,0,1,0,1,주의
2018-05-30 10:00:00+00:00,V.Z81,P,120833.5591627389,0,1,0,1,주의
2018-05-30 11:00:00+00:00,V.Z81,P,124847.97846354169,1,1,0,2,경고
2018-05-30 12:00:00+00:00,V.Z81,P,134986.66840277778,0,1,0,1,주의
2018-05-30 13:00:00+00:00,V.Z81,P,63180.7266015625,0,1,0,1,주의
2018-06-06 11:00:00+00:00,V.Z81,P,115148.48703407183,0,1,0,1,주의
2018-06-06 12:00:00+00:00,V.Z81,P,126827.50731612112,0,1,0,1,주의
2018-06-06 13:00:00+00:00,V.Z81,P,107451.73348246569,0,1,0,1,주의
2018-06-06 14:00:00+00:00,V.Z81,P,128544.31235801092,0,1,0,1,주의
2018-06-06 15:00:00+00:00,V.Z81,P,127816.4341015625,0,1,0,1,주의
2018-06-06 16:00:00+00:00,V.Z81,P,130703.848515625,0,1,0,1,주의
2018-06-06 17:00:00+00:00,V.Z81,P,126555.00147135416,0,1,0,1,주의
2018-06-06 18:00:00+00:00,V.Z81,P,76904.38781249999,0,1,0,1,주의
