candidate,kind,validation_rows,validation_mae,validation_rmse,validation_mape,validation_smape,validation_bias,validation_non_gateway_rows,validation_non_gateway_mae,validation_non_gateway_rmse,validation_non_gateway_mape,validation_non_gateway_smape,validation_non_gateway_bias,test_rows,test_mae,test_rmse,test_mape,test_smape,test_bias,test_non_gateway_rows,test_non_gateway_mae,test_non_gateway_rmse,test_non_gateway_mape,test_non_gateway_smape,test_non_gateway_bias,target_id,feature_count,fit_seconds,selection_priority
mlp_128x64,learned,8760,1007.8755906878595,1828.3586726145088,12.356197593747295,11.325283016878213,221.25181396377232,7104,947.9853554233803,1809.7474905550132,11.066666817671969,10.332811173017049,156.4752210615077,8759,998.4011221074801,1989.054025038115,14.367247808789477,11.587568752100854,162.33468410524486,8759,998.4011221074801,1989.054025038115,14.367247808789477,11.587568752100854,162.33468410524486,T1_group__local_cooling__P,53,127.71488189697266,6
hgb_iter_320_lr_0.03,learned,8760,1043.2731518263606,1905.6941108238989,14.4042655090878,12.214725931339858,312.5927358048045,7104,968.191054082193,1812.9910956244044,12.796855219794168,11.156190353762934,242.82872210412697,8759,952.0484092226629,1988.1792541521068,13.266471898339589,11.023147293512668,126.8816303176733,8759,952.0484092226629,1988.1792541521068,13.266471898339589,11.023147293512668,126.8816303176733,T1_group__local_cooling__P,53,1.9610352516174316,3
hgb_iter_180_lr_0.03,learned,8760,1038.2516086330263,1900.1482521062094,14.274972518342455,12.155708471941102,305.0841832903841,7104,970.9235197601805,1815.0129198545305,12.820176658048297,11.205451502912672,245.81345290552423,8759,941.6481116272064,1981.5099855764538,13.18580659436098,10.919952345882281,144.21159785006827,8759,941.6481116272064,1981.5099855764538,13.18580659436098,10.919952345882281,144.21159785006827,T1_group__local_cooling__P,53,1.30991792678833,3
ridge_robust_alpha_0.1,learned,8760,992.9453405281703,1919.7324837469353,11.487652943072371,10.832272290559775,26.801558195510967,7104,973.3805423595629,1931.3500423420498,11.12214256775258,10.493946110445455,9.28920359211677,8759,902.5049259369202,1913.5993931308767,11.37780105000774,10.332971467681011,15.400472128146484,8759,902.5049259369202,1913.5993931308767,11.37780105000774,10.332971467681011,15.400472128146484,T1_group__local_cooling__P,53,0.05361342430114746,2
ridge_alpha_0.1,learned,8760,992.967367892725,1919.7496393464505,11.487868920039777,10.83230772944554,26.87385006477842,7104,973.4038907379365,1931.3859547773018,11.122303770720592,10.493973590838015,9.350731353439842,8759,902.4822644922156,1913.5385527783942,11.377844464444088,10.332847853573014,15.463803082343244,8759,902.4822644922156,1913.5385527783942,11.377844464444088,10.332847853573014,15.463803082343244,T1_group__local_cooling__P,53,0.027329206466674805,2
hgb_iter_180_lr_0.06,learned,8760,1052.1806312135552,1913.6307518859342,14.514431420079319,12.299791818464914,316.84010696196907,7104,973.4347933751087,1821.6867733819786,12.8213478442356,11.184002114234415,243.94714492535914,8759,958.1982378084714,1990.7421080041431,13.401139021218206,11.09920973786729,112.13328266098536,8759,958.1982378084714,1990.7421080041431,13.401139021218206,11.09920973786729,112.13328266098536,T1_group__local_cooling__P,53,1.0923068523406982,3
ridge_robust_alpha_1,learned,8760,993.0231472312838,1919.808106920812,11.488171874931039,10.831866978252812,27.167942120386062,7104,973.4759659902853,1931.5311311213275,11.122547674243584,10.493653243770188,9.611395701522452,8759,902.3619036665895,1913.296041760421,11.377544712066705,10.331882972675249,15.71156828558335,8759,902.3619036665895,1913.296041760421,11.377544712066705,10.331882972675249,15.71156828558335,T1_group__local_cooling__P,53,0.052121877670288086,2
ridge_alpha_1,learned,8760,993.2606742974431,1920.0011494401267,11.490559396277213,10.832743726606196,27.769218106943814,7104,973.736848256563,1931.8817087144562,11.124590386907887,10.494567562187482,10.123781186969612,8759,902.197097820731,1912.834842111477,11.378199934519136,10.33114547307023,16.23856154413013,8759,902.197097820731,1912.834842111477,11.378199934519136,10.33114547307023,16.23856154413013,T1_group__local_cooling__P,53,0.02219986915588379,2
ridge_robust_alpha_10,learned,8760,993.7756718788748,1920.659620084556,11.49347193118181,10.831143578318434,29.50063091722041,7104,974.4353361573989,1933.0966387273404,11.12808519379161,10.494520304626526,11.692566042082023,8759,901.5533072897218,1911.7140999765063,11.377047993406958,10.326104603919815,17.651928576191544,8759,901.5533072897218,1911.7140999765063,11.377047993406958,10.326104603919815,17.651928576191544,T1_group__local_cooling__P,53,0.0593113899230957,2
ridge_alpha_10,learned,8760,995.05391480639,1921.7608047317322,11.507531634462838,10.839970775008743,31.360634578086426,7104,975.7983230146766,1934.7113048184763,11.140980401670571,10.50341516307274,13.277838504695515,8759,901.2798301513233,1910.7639200391388,11.383299705202127,10.327992282885958,19.25190521718276,8759,901.2798301513233,1910.7639200391388,11.383299705202127,10.327992282885958,19.25190521718276,T1_group__local_cooling__P,53,0.02399134635925293,2
