device_id,n_train_windows,n_test_windows,warning_flag_rate,n_정상,warning_rate_정상,n_주의,warning_rate_주의,n_경고,warning_rate_경고
116,598,22,0.6363636363636364,12,0.5,2,0.5,8,0.875
121,598,22,0.5909090909090909,0,,0,,22,0.5909090909090909
123,526,22,0.5,0,,0,,22,0.5
170,694,46,0.41304347826086957,46,0.41304347826086957,0,,0,
171,694,46,0.6956521739130435,0,,8,0.5,38,0.7368421052631579
241,742,46,0.6304347826086957,38,0.631578947368421,4,1.0,4,0.25
247,790,46,0.6086956521739131,46,0.6086956521739131,0,,0,
259,838,70,0.2857142857142857,0,,2,0.0,68,0.29411764705882354
261,704,45,0.28888888888888886,7,1.0,28,0.14285714285714285,10,0.2
262,704,45,0.4222222222222222,7,0.5714285714285714,37,0.40540540540540543,1,0.0
263,716,46,0.5652173913043478,0,,45,0.5555555555555556,1,1.0
264,716,46,0.5217391304347826,0,,46,0.5217391304347826,0,
265,716,46,0.2391304347826087,0,,46,0.2391304347826087,0,
266,716,46,0.2391304347826087,0,,26,0.15384615384615385,20,0.35
267,717,46,0.5434782608695652,0,,46,0.5434782608695652,0,
268,717,46,0.21739130434782608,0,,0,,46,0.21739130434782608
269,717,34,0.7647058823529411,34,0.7647058823529411,0,,0,
270,717,46,0.8913043478260869,1,1.0,0,,45,0.8888888888888888
283,550,22,0.9545454545454546,8,1.0,14,0.9285714285714286,0,
286,397,94,0.3617021276595745,47,0.19148936170212766,0,,47,0.5319148936170213
289,718,46,0.5,0,,1,1.0,45,0.4888888888888889
296,267,46,0.3695652173913043,5,0.2,5,0.2,36,0.4166666666666667
297,267,46,0.32608695652173914,5,0.2,4,0.25,37,0.35135135135135137
298,267,46,0.3695652173913043,12,0.16666666666666666,14,0.5,20,0.4
