meter_urn,total,danger,warning,danger_pct,warning_pct,error
H1.Z20,52585.0,0.0,232.0,0.0,0.44,
H1.ZE20,9519.0,0.0,33.0,0.0,0.35,
V.Z84,39529.0,0.0,191.0,0.0,0.48,
V.ZE84,9680.0,0.0,26.0,0.0,0.27,
H1.Z310,30817.0,0.0,123.0,0.0,0.4,
H2.Z311,30841.0,0.0,139.0,0.0,0.45,
H3.Z312,30817.0,0.0,136.0,0.0,0.44,
H1.Z16,52585.0,0.0,228.0,0.0,0.43,
H1.Z11,52585.0,0.0,303.0,0.0,0.58,
H1.Z12,52585.0,0.0,305.0,0.0,0.58,
H1.Z24,52583.0,0.0,267.0,0.0,0.51,
H1.Z25,52583.0,0.0,195.0,0.0,0.37,
H3.Z45,51842.0,0.0,272.0,0.0,0.52,
H2.Z66,52585.0,0.0,129.0,0.0,0.25,
H2.ZE66,15543.0,0.0,38.0,0.0,0.24,
H2.Z67,52585.0,0.0,84.0,0.0,0.16,
H2.ZE67,14834.0,0.0,34.0,0.0,0.23,
V.K21,52583.0,40.0,246.0,0.08,0.47,
H1.K11,52583.0,6.0,391.0,0.01,0.74,
H1.K12,52583.0,0.0,128.0,0.0,0.24,
H1.K14,52583.0,7.0,373.0,0.01,0.71,
H1.K15,52583.0,5.0,201.0,0.01,0.38,
H1.K16,44677.0,21.0,435.0,0.05,0.97,
H2.K21,52583.0,45.0,406.0,0.09,0.77,
H1.W11,52583.0,42.0,360.0,0.08,0.68,
H1.W12,52583.0,1.0,211.0,0.0,0.4,
V.Z81,44170.0,0.0,491.0,0.0,1.11,
V.Z82,47937.0,0.0,505.0,0.0,1.05,
H2.Z35,23576.0,0.0,16.0,0.0,0.07,
H2.Z351,28861.0,0.0,27.0,0.0,0.09,
H2.Z36,23577.0,0.0,19.0,0.0,0.08,
H2.Z361,28861.0,0.0,27.0,0.0,0.09,
H1.Z15,46017.0,0.0,538.0,0.0,1.17,
H1.Z28,47188.0,0.0,532.0,0.0,1.13,
H2.T.Z31,52583.0,0.0,87.0,0.0,0.17,
H2.T.Z32,52583.0,0.0,375.0,0.0,0.71,
H2.T.Z33,51842.0,0.0,98.0,0.0,0.19,
H2.T.Z34,52583.0,0.0,133.0,0.0,0.25,
H2.T.Z30,52583.0,0.0,74.0,0.0,0.14,
H1.Z13,52585.0,0.0,302.0,0.0,0.57,
H1.Z14,52585.0,0.0,252.0,0.0,0.48,
H1.Z10,52585.0,0.0,406.0,0.0,0.77,
H1.Z17,52583.0,0.0,458.0,0.0,0.87,
H1.Z18,52585.0,0.0,774.0,0.0,1.47,
H1.Z19,52585.0,0.0,66.0,0.0,0.13,
H1.Z21,52356.0,0.0,562.0,0.0,1.07,
H1.Z22,47573.0,0.0,437.0,0.0,0.92,
H1.Z23,52583.0,0.0,229.0,0.0,0.44,
H1.Z26,52583.0,0.0,363.0,0.0,0.69,
H1.Z27,52583.0,0.0,585.0,0.0,1.11,
H1.Z29,33538.0,0.0,203.0,0.0,0.61,
H2.Z61,52585.0,0.0,178.0,0.0,0.34,
H2.Z62,47217.0,0.0,255.0,0.0,0.54,
H2.Z63,52585.0,0.0,73.0,0.0,0.14,
H2.Z64,52585.0,0.0,104.0,0.0,0.2,
H2.ZE64,15585.0,0.0,42.0,0.0,0.27,
H2.Z65,52585.0,0.0,123.0,0.0,0.23,
H2.ZE65,15056.0,0.0,29.0,0.0,0.19,
H2.Z71,,,,,,유효 데이터 없음
H3.Z46,52585.0,0.0,602.0,0.0,1.14,
H3.Z43,51842.0,0.0,237.0,0.0,0.46,
H3.ZE43,15686.0,0.0,62.0,0.0,0.4,
H3.Z44,51808.0,0.0,116.0,0.0,0.22,
H3.ZE44,15686.0,0.0,9.0,0.0,0.06,
H2.Z68,52585.0,0.0,237.0,0.0,0.45,
H2.Z69,52585.0,0.0,284.0,0.0,0.54,
H2.Z70,52585.0,0.0,32.0,0.0,0.06,
H3.Z42,51840.0,0.0,37.0,0.0,0.07,
H3.Z40,51842.0,0.0,424.0,0.0,0.82,
H3.ZE40,15686.0,0.0,142.0,0.0,0.91,
H3.Z41,51842.0,0.0,142.0,0.0,0.27,
H3.ZE41,15602.0,0.0,187.0,0.0,1.2,
H4.Z50,47990.0,0.0,295.0,0.0,0.61,
H4.ZE50,15588.0,0.0,163.0,0.0,1.05,
H4.Z51,47990.0,0.0,375.0,0.0,0.78,
H4.ZE51,15589.0,0.0,174.0,0.0,1.12,
H3.Z47,30699.0,0.0,373.0,0.0,1.22,
H3.Z48,30616.0,0.0,153.0,0.0,0.5,
H3.Z49,30699.0,0.0,232.0,0.0,0.76,
H2.ZE74,15681.0,0.0,105.0,0.0,0.67,
