meter_urn,horizon,val_mae,val_rmse,val_mape,val_wape,test_mae,test_rmse,test_mape,test_wape,persistence_mae,beats_persistence,v19,v57,v63,ridge_alpha,device_id
116,3,3996.2369,7819.6749,272688892.5456,74.4501,3712.1936,8013.5523,32965254.7729,136.7291,4236.9697,True,v12,v53,v57,100.0,116
121,3,241.2059,989.3812,1001593041.9408,177.667,220.314,963.1786,2084494030.9679,155.7146,221.5578,False,v15,v36,v57,1000.0,121
123,3,520.1391,1514.153,55908965.2653,109.6108,666.2186,1727.406,23051029.3344,99.8169,507.3496,False,v10,v36,v57,1000.0,123
170,3,5514.2066,12846.4514,31420103.3072,11.4878,5828.6315,11286.4078,21974490.5228,7.6995,2968.0622,False,v15,v36,v57,1000.0,170
171,3,3949.5909,7408.911,270984997.7565,62.6879,5875.0645,9493.957,251104008.8107,54.6745,4498.4362,True,v12,v53,v57,1000.0,171
241,3,543.9629,809.9394,15407372.3236,22.9824,577.1988,885.24,3913456.0133,23.3176,821.6909,True,v12,v53,v57,100.0,241
247,3,7709.0133,12280.6121,11.4681,12.1974,9217.7573,13938.5542,14.0277,14.4275,8624.2961,True,v12,v53,v57,100.0,247
259,3,1901.84,2386.1796,3.9718,3.9282,1756.8514,2285.7024,3.5628,3.5239,1653.1373,False,v12,v53,v57,1000.0,259
261,3,243.0569,387.41,3.7561,3.5047,404.7668,589.1547,4.9198,4.9279,214.9777,False,v12,v36,v57,1000.0,261
262,3,316.1887,505.6194,4.0528,3.886,471.0544,724.0158,5.4683,5.0641,295.7635,False,v12,v53,v57,1000.0,262
263,3,345.43,695.6386,2785246.2442,3.7522,763.9905,1236.2483,765401.1252,10.1929,259.6187,False,v12,v53,v61,1000.0,263
264,3,339.0099,742.0893,3079998.6136,3.0784,815.6502,1596.0398,4369548.8849,11.4791,262.9175,False,v15,v52,v57,1000.0,264
265,3,385.3393,873.3384,3.2906,3.5684,821.7644,1577.1397,21670.2328,9.9603,275.7209,False,v12,v36,v57,1000.0,265
266,3,557.4221,952.4489,5.3923,5.5311,589.9945,1218.4408,30.6983,9.4732,466.4606,False,v12,v53,v57,1000.0,266
267,3,90.9046,429.376,0.5541,0.4722,1700.4296,2966.2044,22717479.0879,12.0938,43.6351,False,v10,v52,v61,1000.0,267
268,3,93.3029,199.7611,9.0859,8.8701,72.3253,120.9757,17.0445,16.744,88.2298,False,v12,v53,v61,1000.0,268
269,3,159.3297,667.6609,6811458.9657,1.2796,367.5739,1321.322,3.9639,4.3061,120.3232,False,v12,v36,v57,1000.0,269
270,3,106.0501,242.3655,381277887.1505,132.8146,81.0357,215.292,337063808.2211,146.7523,154.3906,True,v15,v53,v61,1000.0,270
283,3,1642.8186,3336.899,6.4256,3.4227,1430.6324,3702.2845,3.8449,3.8467,1306.6916,False,v12,v53,v57,1.0,283
289,3,203.2556,315.9897,245169810.3901,83.3272,359.8054,580.2705,272900299.8982,88.0244,224.4892,True,v12,v53,v57,100.0,289
321,3,2861.2887,4162.6553,51.5603,23.2025,1984.1624,2774.0843,31.3625,23.3838,4364.5056,True,v12,v53,v61,10.0,321
334,3,919.8705,1187.2144,4.6361,4.4877,1061.8053,1462.3145,5.3179,5.6232,1763.9284,True,v12,v53,v57,10.0,334
467,3,225.6347,688.2324,191396129.8692,58.6169,557.4337,1077.7639,216790886.0792,55.8341,145.6522,False,v12,v53,v57,1000.0,467
479,3,61.2928,107.0292,300605836.4179,43.4774,71.3464,130.3648,355113473.0521,47.0394,42.0299,False,v12,v52,v57,1000.0,479
480,3,690.4944,1407.8792,248273739.596,35.9872,794.4153,1569.3759,238840228.6515,36.6841,400.4248,False,v12,v52,v57,1000.0,480
481,3,0.2153,0.5544,,,0.3281,0.788,,,0.0,False,v15,v53,v57,1000.0,481
482,3,2.0755,6.9178,,,0.8173,3.5173,,,0.0,False,v12,v53,v57,1000.0,482
483,3,32.8702,73.8251,813954166.598,121.0084,21.7582,60.8385,370241820.1015,132.674,22.6044,False,v12,v53,v57,1000.0,483
52,3,135.3296,219.3247,2.7471,2.6474,95.429,146.8418,1.8217,1.8347,105.7621,False,v12,v53,v57,1000.0,52
56,3,5.6692,7.4277,0.6076,0.6055,6.9601,9.0015,0.7493,0.744,6.5391,True,v10,v53,v57,10.0,56
82,3,263.3201,446.7821,34098649.9787,36.2138,419.8388,721.1217,145346770.5907,61.8086,470.4507,True,v12,v53,v57,100.0,82
86,3,62.2914,200.0519,46867661.7065,69.763,14.8854,46.9493,,,69.3311,True,v12,v53,v57,1000.0,86
87,3,102.5957,387.8168,804842213.4973,110.1068,25.9524,72.2787,,,140.9155,True,v15,v53,v57,1000.0,87
