device_id,n_total,n_outlier,n_warning,warning_rate,po_ao,po_ai,pi_ao,pi_ai,po_ao_rate,po_ai_rate,pi_ao_rate
116,69,29,39,56.5217,23,16,6,24,33.3333,23.1884,8.6957
121,69,2,47,68.1159,1,46,1,21,1.4493,66.6667,1.4493
123,69,1,30,43.4783,1,29,0,39,1.4493,42.029,0.0
170,93,16,10,10.7527,2,8,14,69,2.1505,8.6022,15.0538
171,93,7,59,63.4409,2,57,5,29,2.1505,61.2903,5.3763
241,93,26,46,49.4624,14,32,12,35,15.0538,34.4086,12.9032
247,93,29,30,32.2581,11,19,18,45,11.828,20.4301,19.3548
259,117,6,57,48.7179,6,51,0,60,5.1282,43.5897,0.0
261,92,7,2,2.1739,2,0,5,85,2.1739,0.0,5.4348
262,92,45,4,4.3478,4,0,41,47,4.3478,0.0,44.5652
263,93,10,0,0.0,0,0,10,83,0.0,0.0,10.7527
264,93,0,0,0.0,0,0,0,93,0.0,0.0,0.0
265,93,0,0,0.0,0,0,0,93,0.0,0.0,0.0
266,93,24,0,0.0,0,0,24,69,0.0,0.0,25.8065
267,93,0,0,0.0,0,0,0,93,0.0,0.0,0.0
268,93,16,36,38.7097,8,28,8,49,8.6022,30.1075,8.6022
269,75,0,0,0.0,0,0,0,75,0.0,0.0,0.0
270,93,2,29,31.1828,0,29,2,62,0.0,31.1828,2.1505
283,69,2,0,0.0,0,0,2,67,0.0,0.0,2.8986
286,141,30,39,27.6596,16,23,14,88,11.3475,16.3121,9.9291
289,93,22,34,36.5591,8,26,14,45,8.6022,27.957,15.0538
296,93,9,28,30.1075,4,24,5,60,4.3011,25.8065,5.3763
297,93,10,26,27.957,4,22,6,61,4.3011,23.6559,6.4516
298,93,12,18,19.3548,4,14,8,67,4.3011,15.0538,8.6022
299,93,29,19,20.4301,7,12,22,52,7.5269,12.9032,23.6559
300,93,18,16,17.2043,3,13,15,62,3.2258,13.9785,16.129
301,93,14,13,13.9785,3,10,11,69,3.2258,10.7527,11.828
321,69,19,31,44.9275,9,22,10,28,13.0435,31.8841,14.4928
334,69,17,11,15.942,3,8,14,44,4.3478,11.5942,20.2899
346,69,2,61,88.4058,2,59,0,8,2.8986,85.5072,0.0
348,69,16,5,7.2464,2,3,14,50,2.8986,4.3478,20.2899
363,69,6,53,76.8116,3,50,3,13,4.3478,72.4638,4.3478
366,69,0,1,1.4493,0,1,0,68,0.0,1.4493,0.0
370,27,4,4,14.8148,0,4,4,19,0.0,14.8148,14.8148
414,45,11,18,40.0,6,12,5,22,13.3333,26.6667,11.1111
416,45,25,44,97.7778,25,19,0,1,55.5556,42.2222,0.0
417,45,6,17,37.7778,1,16,5,23,2.2222,35.5556,11.1111
418,45,0,45,100.0,0,45,0,0,0.0,100.0,0.0
419,45,12,17,37.7778,8,9,4,24,17.7778,20.0,8.8889
439,45,11,2,4.4444,2,0,9,34,4.4444,0.0,20.0
440,45,11,6,13.3333,3,3,8,31,6.6667,6.6667,17.7778
441,45,0,23,51.1111,0,23,0,22,0.0,51.1111,0.0
442,45,0,8,17.7778,0,8,0,37,0.0,17.7778,0.0
467,93,29,45,48.3871,15,30,14,34,16.129,32.2581,15.0538
479,69,9,42,60.8696,6,36,3,24,8.6957,52.1739,4.3478
480,69,9,41,59.4203,4,37,5,23,5.7971,53.6232,7.2464
481,69,0,48,69.5652,0,48,0,21,0.0,69.5652,0.0
482,69,1,34,49.2754,0,34,1,34,0.0,49.2754,1.4493
483,69,5,46,66.6667,5,41,0,23,7.2464,59.4203,0.0
484,45,0,36,80.0,0,36,0,9,0.0,80.0,0.0
485,69,17,57,82.6087,15,42,2,10,21.7391,60.8696,2.8986
509,69,0,22,31.8841,0,22,0,47,0.0,31.8841,0.0
52,93,3,40,43.0108,2,38,1,52,2.1505,40.8602,1.0753
548,45,32,4,8.8889,4,0,28,13,8.8889,0.0,62.2222
56,93,12,74,79.5699,11,63,1,18,11.828,67.7419,1.0753
82,93,28,68,73.1183,21,47,7,18,22.5806,50.5376,7.5269
86,93,7,57,61.2903,2,55,5,31,2.1505,59.1398,5.3763
87,93,5,65,69.8925,3,62,2,26,3.2258,66.6667,2.1505
