device_id,n_windows,ensemble_rmse,persistence_rmse,improvement_pct,ensemble_mape,persistence_mape,mae_정상,persistence_mae_정상,n_정상,mae_주의,persistence_mae_주의,n_주의,mae_경고,persistence_mae_경고,n_경고
116,92,7404.783719756032,9723.240098516177,23.844483477415668,27.143791841452526,29.725823284052836,1847.4164756530752,345.1381578947368,19.0,9152.520398456643,17124.8125,1.0,8983.12957646686,8492.7265625,8.0
170,188,11867.978380791528,8363.326323478144,-41.90500193056999,10.503924909305962,2.6004872045696263,8894.237903270348,2827.9473684210525,57.0,,,,,,
171,188,23457.58453325,13591.420203779358,-72.59112132172297,104.56419221458847,91.17263165479382,,,,17710.43771979827,17504.291666666668,6.0,20620.62200231376,3871.4901960784314,51.0
241,188,1209.5962390245618,810.1653597184462,-49.30238926099337,130.92261838324916,48.65557693207819,570.5267758568759,408.0171875,40.0,566.7774984983486,661.8482142857143,7.0,2255.62898489193,876.375,10.0
247,188,26874.795058785538,26357.688140957373,-1.9618826775047444,28.129073219761686,24.955552720328452,20702.387466902044,15158.644736842105,57.0,,,,,,
259,284,2334.519312936531,2564.58697885118,8.97094416418307,3.3805013947665503,3.4820662446282737,,,,2387.063268524659,2290.5,2.0,1762.8848183289567,1805.1904761904761,84.0
261,181,4766.51409993204,2013.6162358936585,-136.7141272982746,229.53069980441674,10.174539011494002,6021.878896022746,309.83564814814815,27.0,1736.6639675145725,818.5989583333334,24.0,5308.853529872693,2752.546875,4.0
262,181,6004.017683503157,2368.949449506718,-153.4464247328436,276.9708910611187,8.934618852707544,7762.571504966626,369.00694444444446,27.0,1559.756413793139,656.6475,25.0,8623.203384163047,4181.708333333333,3.0
263,188,1156.7971110403112,1457.20561898751,20.615382210502833,4.8003134976661235,4.562233864922674,,,,610.1835747410786,571.8092105263158,57.0,,,
264,188,520.3050349309184,747.1412402583175,30.36055207566543,2.5081278627874206,2.5489435281020745,,,,263.54137867406473,269.2456140350877,57.0,,,
265,188,583.9796905228171,434.44118547894476,-34.420885966190184,4.894054060591577,1.695924583380241,,,,483.201284849802,171.08991228070175,57.0,,,
266,188,743.6563343476466,888.1652541280541,16.2704991113706,3.0441724052070804,3.700176220720672,,,,383.6402113651589,448.6780303030303,33.0,403.5156854792902,505.3229166666667,24.0
