device_id,n_windows,anomaly_threshold,overall_detection_rate,n_정상,detection_rate_정상,mean_score_정상,n_주의,detection_rate_주의,mean_score_주의,n_경고,detection_rate_경고,mean_score_경고
116,454,4441.751709601675,0.20704845814977973,4,0.25,2317.6851921081543,38,0.7105263157894737,15870.846265290913,412,0.16019417475728157,2829.867838065601
121,454,4441.751709601675,0.019823788546255508,0,,,1,1.0,5787.99365234375,453,0.017660044150110375,203.7364631835988
123,382,4441.751709601675,0.01832460732984293,0,,,1,0.0,211.419189453125,381,0.01837270341207349,405.63653885348265
170,550,4441.751709601675,0.1709090909090909,401,0.19201995012468828,3568.671666799341,1,0.0,563.12939453125,148,0.11486486486486487,3256.2029790878296
171,550,4441.751709601675,0.23636363636363636,0,,,42,0.6904761904761905,12965.863730294364,508,0.19881889763779528,3468.143173268461
241,598,4441.751709601675,0.021739130434782608,500,0.026,966.1439510211944,17,0.0,1191.6974909165326,81,0.0,1327.726001786597
247,646,4441.751709601675,0.39473684210526316,644,0.3944099378881988,8840.447208072828,2,0.5,12439.910522460938,0,,
259,694,4441.751709601675,0.059077809798270896,0,,,8,0.0,2015.7760562896729,686,0.0597667638483965,2058.7896530551743
261,560,4441.751709601675,0.0,23,0.0,213.24224181797194,86,0.0,409.71556486085404,451,0.0,354.37888851081186
262,560,4441.751709601675,0.0,0,,,548,0.0,393.65284157843485,12,0.0,398.22017097473145
263,572,4441.751709601675,0.0034965034965034965,38,0.02631578947368421,479.7671750721179,369,0.0027100271002710027,369.9331444065745,165,0.0,348.78452253630667
264,572,4441.751709601675,0.0034965034965034965,37,0.02702702702702703,485.9241371154785,288,0.003472222222222222,418.2924035920037,247,0.0,387.5739278445842
265,572,4441.751709601675,0.0034965034965034965,38,0.02631578947368421,522.3192426279971,524,0.0019083969465648854,385.6919931419023,10,0.0,450.6288436889648
266,572,4441.751709601675,0.0034965034965034965,33,0.0,230.7483218799938,517,0.0019342359767891683,450.81657110099866,22,0.045454545454545456,727.2417635484176
267,573,4441.751709601675,0.010471204188481676,0,,,519,0.007707129094412331,459.6404963035804,54,0.037037037037037035,567.8004780168886
268,573,4441.751709601675,0.0,0,,,6,0.0,121.50557390848796,567,0.0,104.35512973055427
269,573,4441.751709601675,0.008726003490401396,376,0.010638297872340425,350.8150855328174,0,,,197,0.005076142131979695,179.9983154335603
270,573,4441.751709601675,0.0,5,0.0,872.6194763183594,0,,,568,0.0,131.87568478139355
283,406,4441.751709601675,0.09113300492610837,283,0.10954063604240283,2753.284302431787,123,0.04878048780487805,1369.3354125604396,0,,
286,253,4441.751709601675,0.1225296442687747,183,0.15846994535519127,3241.5947572259956,1,0.0,1449.05078125,69,0.028985507246376812,532.27807440274
289,574,4441.751709601675,0.0,0,,,5,0.0,750.7492553710938,569,0.0,266.5299410920571
296,187,4441.751709601675,0.45989304812834225,26,0.8076923076923077,27590.050983135516,20,0.95,24175.74580078125,141,0.3262411347517731,5355.506163896398
297,187,4441.751709601675,0.44919786096256686,27,0.7037037037037037,24571.60903789379,15,0.9333333333333333,25435.351171875,145,0.35172413793103446,6325.980308744825
298,187,4441.751709601675,0.5026737967914439,60,0.7333333333333333,23282.140810139976,37,0.7837837837837838,12835.080104518582,90,0.23333333333333334,4959.963930951224
299,316,4441.751709601675,0.44936708860759494,65,0.7384615384615385,24422.661873685396,47,0.9574468085106383,20773.557205200195,204,0.24019607843137256,4469.4491080688495
300,316,4441.751709601675,0.4588607594936709,60,0.7666666666666667,31309.714369710287,26,1.0,30367.773174579328,230,0.3173913043478261,5623.33516454593
301,316,4441.751709601675,0.4588607594936709,65,0.6615384615384615,21419.22001530574,40,0.9,19864.144653320312,211,0.3127962085308057,5445.118654869179
321,406,4441.751709601675,0.2413793103448276,363,0.23140495867768596,3036.7883420371486,43,0.32558139534883723,3877.6686163613963,0,,
334,406,4441.751709601675,0.0665024630541872,406,0.0665024630541872,1723.2903955393824,0,,,0,,
346,286,4441.751709601675,0.03496503496503497,109,0.06422018348623854,747.2914849902512,0,,,177,0.01694915254237288,361.80881792273226
348,286,4441.751709601675,0.16783216783216784,0,,,179,0.17318435754189945,2328.365053017046,107,0.1588785046728972,2156.1117963701763
363,262,4441.751709601675,0.015267175572519083,55,0.07272727272727272,1037.9766641096635,0,,,207,0.0,233.3149966871105
365,130,4441.751709601675,0.36923076923076925,93,0.34408602150537637,3622.3331142958773,37,0.43243243243243246,4638.272905091982,0,,
366,262,4441.751709601675,0.0,61,0.0,439.18551682644204,137,0.0,297.68084356384554,64,0.0,181.3580501973629
370,146,4441.751709601675,0.6232876712328768,131,0.5954198473282443,12474.520930574141,15,0.8666666666666667,26407.479573567707,0,,
371,143,4441.751709601675,0.5314685314685315,138,0.5362318840579711,12776.80756632487,2,0.5,9300.236206054688,3,0.3333333333333333,3094.5565592447915
