meter_urn,feature,ts,observed,trend,seasonal,residual,upper,lower,is_anomaly
V.Z84,P,2019-06-28 22:00:00+00:00,-5.749168380622439,-35009.68762627623,31771.848135242602,3232.0903226530063,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-28 23:00:00+00:00,-4.070194781826361,-34987.631966220644,31758.406250547494,3225.1555208913232,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 00:00:00+00:00,-4.715398645609172,-34965.68523590453,31744.10675512652,3216.8630821324005,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 01:00:00+00:00,-4.5064997872366295,-34943.848172665465,31729.381059568408,3209.9606133098205,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 02:00:00+00:00,-4.534143769837412,-34922.12160735868,31714.169521774493,3203.4179418143467,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 03:00:00+00:00,-715.9750848595849,-34900.506463237325,31170.001786233428,3014.529592144314,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 04:00:00+00:00,-3418.849260683761,-34879.00375392518,27680.610678353605,3779.543814887813,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 05:00:00+00:00,-12051.530491452992,-34857.61458253913,17495.175817515945,5310.908273570192,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 06:00:00+00:00,-48690.59102564103,-34836.3401633478,-10317.8895087354,-3536.361353557826,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 07:00:00+00:00,-68078.04834515366,-34815.181811363545,-23611.37150493211,-9651.495028858,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 08:00:00+00:00,-82443.71752136752,-34794.14073937359,-38341.17807791639,-9308.39870407754,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 09:00:00+00:00,-92702.83541452992,-34773.21789073248,-50841.374492477626,-7088.24303131982,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 10:00:00+00:00,-98278.87398931624,-34752.41392537423,-55166.85575394345,-8359.604309998562,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 11:00:00+00:00,-99715.76420940172,-34731.72925832338,-50481.54398482811,-14502.490966250232,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 12:00:00+00:00,-96671.2558760684,-34711.16401441735,-41691.792543905714,-20268.29931774534,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 13:00:00+00:00,-89753.35941452991,-34690.717872042405,-47413.25109391058,-7649.390448576931,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 14:00:00+00:00,-78650.28461538462,-34670.38997994352,-45007.14023893572,1027.2456034946154,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 15:00:00+00:00,-63265.24768009768,-34650.17921398892,-12935.222461942829,-15679.846004165927,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 16:00:00+00:00,-44597.91471306471,-34630.08432468667,5751.906670407783,-15719.737058785824,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 17:00:00+00:00,-21884.01629278891,-34610.10365752586,15007.117231906102,-2281.029867169149,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 18:00:00+00:00,-4568.068376068376,-34590.23513376047,26535.196139157302,3486.970618534793,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 19:00:00+00:00,-582.7146485974117,-34570.47653015478,31013.19207136165,2974.5698101957205,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 20:00:00+00:00,-4.944074490795204,-34550.825647966674,31421.923271870677,3123.958301605202,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 21:00:00+00:00,-6.022827571305864,-34531.28033070498,31403.234615261295,3122.022887872383,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 22:00:00+00:00,-5.981559702228005,-34511.83846403506,31385.54069590662,3120.316208426215,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-29 23:00:00+00:00,-5.797118772618773,-34492.497976022154,31367.31037637979,3119.3904808697444,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 00:00:00+00:00,-6.984672544146229,-34473.25683673254,31347.726448502766,3118.5457156856246,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 01:00:00+00:00,-5.580375447651456,-34454.11305790399,31329.44529742607,3119.087385030267,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 02:00:00+00:00,-5.234640202643174,-34435.06469268686,31310.555851549867,3119.274200934349,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 03:00:00+00:00,-667.4570254100254,-34416.10983546639,30681.9441518476,3066.708658208765,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 04:00:00+00:00,-3628.301221001221,-34397.24662151254,26746.48355601733,4022.461844493988,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 05:00:00+00:00,-12306.501282051282,-34378.4732302264,17530.10934036471,4541.86260781041,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 06:00:00+00:00,-46548.34243966817,-34359.78790425321,313.88491053559227,-12502.439445950557,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 07:00:00+00:00,-65051.46698717948,-34341.18888829001,-13495.612626764325,-17214.665472125147,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 08:00:00+00:00,-79559.21997863248,-34322.67411016665,-20440.957017128487,-24795.588851337343,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 09:00:00+00:00,-88791.64882478633,-34304.24098746721,-28413.022299108867,-26074.385538210256,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 10:00:00+00:00,-94079.7685897436,-34285.88626496999,-45483.17307371936,-14310.709251054257,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 11:00:00+00:00,-95676.6106068376,-34267.60600439827,-53775.21604136685,-7633.78856107247,26937.761459537087,-26936.303886574893,False
V.Z84,P,2019-06-30 12:00:00+00:00,-92397.82052136752,-34249.395804922664,-44906.86567768914,-13241.559038755724,26937.761459537087,-26936.303886574893,False
