,null_count,null_ratio
Igm,726,0.013806743624365288
Ta,723,0.013749690964760473
W,60,0.001141053192096305
Trl,44,0.0008367723408706236
Tvl,33,0.0006275792556529677
ts,0,0.0
meter_urn,0,0.0
P,0,0.0
Tdiff,0,0.0
V,0,0.0
qv,0,0.0
is_valid,0,0.0
hour,0,0.0
month,0,0.0
hour_sin,0,0.0
hour_cos,0,0.0
month_sin,0,0.0
month_cos,0,0.0
is_weekend,0,0.0
