meter_urn,measurement,total_rows,anomaly_high,anomaly_medium,anomaly_low,anomaly_rate
H1.Z10,P,140256,3258,4353,12989,0.146874
H1.Z13,P,140256,361,1971,10717,0.093037
H1.Z14,P,140256,353,1948,10763,0.093144
H1.Z15,P,140256,136,1534,9934,0.082734
H1.Z17,P,140256,978,4970,6302,0.08734
H1.Z18,P,140256,3222,4632,3345,0.079847
H1.Z19,P,140256,196,4433,9060,0.0976
H1.Z21,P,140256,3467,6185,11630,0.151737
H1.Z22,P,140256,3485,5860,9057,0.131203
H1.Z23,P,140256,1002,9040,4728,0.105307
H1.Z26,P,140256,3280,4319,8447,0.114405
H1.Z27,P,140256,1758,6625,8954,0.12361
H1.Z28,P,140256,71,1500,10092,0.083155
H1.Z29,P,140256,0,1143,13498,0.104388
WeatherStation.Weather,Ta,140256,21,375,11230,0.082891
WeatherStation.Weather,Igm,140256,516,7416,12509,0.145741
