meter_urn,feature,ts,observed,trend,seasonal,residual,upper,lower,is_anomaly
H2.ZE64,P,2022-03-22 14:00:00+00:00,11146.269546274,12439.917094240343,-827.4421076533688,-466.20544031297504,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 15:00:00+00:00,11051.713201524608,12439.431904468398,-861.7718250539683,-525.9468778898226,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 16:00:00+00:00,10922.301819974737,12438.942052437895,-930.5924094683096,-586.0478229948494,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 17:00:00+00:00,11170.324723210446,12438.447641439703,-837.6192649311632,-430.5036532980939,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 18:00:00+00:00,11074.233450814616,12437.948795350821,-870.3001592187471,-493.41518531745896,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 19:00:00+00:00,10886.656754168744,12437.4456560743,-887.3399168426226,-663.4489850629343,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 20:00:00+00:00,10902.554133503303,12436.938384958146,-889.5068104380177,-644.8774410168262,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 21:00:00+00:00,11053.914563756727,12436.427166589483,-832.9252417356222,-549.5873610971339,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 22:00:00+00:00,11293.3367051032,12435.912208857884,-763.2093063918741,-379.36619736280954,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-22 23:00:00+00:00,11351.794259506907,12435.393740109981,-751.1292029349015,-332.47027766817155,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 00:00:00+00:00,11420.848244179922,12434.872005030933,-706.4762342186384,-307.54752663237196,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 01:00:00+00:00,11382.028934441048,12434.347262762067,-723.9977200786037,-328.3206082424149,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 02:00:00+00:00,11344.117767279711,12433.819786317248,-728.48475729558,-361.21726174195646,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 03:00:00+00:00,11358.775396166886,12433.289863080166,-732.9525455614255,-341.56192135185483,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 04:00:00+00:00,11381.790528654565,12432.757795507994,-748.8682603638742,-302.0990064895559,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 05:00:00+00:00,11411.450386270692,12432.223900761403,-752.3729500270335,-268.40056446367817,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 06:00:00+00:00,11375.951423270975,12431.688509718719,-766.7157780666558,-289.0213083810868,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 07:00:00+00:00,11336.957385641612,12431.151966268848,-750.4758620239465,-343.71871860328974,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 08:00:00+00:00,11201.685350331052,12430.614627845827,-796.0284555842352,-432.9008219305397,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 09:00:00+00:00,11228.889149241184,12430.07686703971,-795.5481257487269,-405.63959204979983,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 10:00:00+00:00,10884.950583673584,12429.539073470945,-489.746692929528,-1054.8417968678332,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 11:00:00+00:00,10983.144350421224,12429.001656795484,-328.690967671358,-1117.166338702902,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 12:00:00+00:00,10862.825983893485,12428.465059149989,-356.14444166957566,-1209.494633586928,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 13:00:00+00:00,10851.06472068232,12427.929759906843,-362.92278812675914,-1213.9422510977638,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 14:00:00+00:00,11556.584760637696,12427.396277821634,-67.00778127805755,-803.8037359058799,1839.9307542555714,-1841.9359340873345,False
H2.ZE64,P,2022-03-23 15:00:00+00:00,13352.534314787536,12426.86516979402,620.9048435204552,304.7643014730602,1839.9307542555714,-1841.9359340873345,False
