meter_urn,meter_type,energy_type,thermal_mode,anomaly_target,group_name,redundant_pair,description,total,danger,warning,danger_pct,warning_pct,error,start_ts,end_ts,row_count,warning_count,danger_count
H1.Z20,electric,production,,P,chp,H1.ZE20,CHP 메인,52585.0,0.0,232.0,0.0,0.44,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,232.0,0.0
H1.ZE20,electric,production,,P,chp,H1.Z20,CHP redundant,9519.0,0.0,33.0,0.0,0.35,,2022-11-30 08:00:00+00:00,2023-12-31 22:00:00+00:00,9519.0,33.0,0.0
V.Z84,electric,production,,P,pv,V.ZE84,PV 그룹1&2 메인,39529.0,0.0,191.0,0.0,0.48,,2019-06-28 22:00:00+00:00,2023-12-31 22:00:00+00:00,39529.0,191.0,0.0
V.ZE84,electric,production,,P,pv,V.Z84,PV 그룹1&2 redundant,9680.0,0.0,26.0,0.0,0.27,,2022-11-23 15:00:00+00:00,2023-12-31 22:00:00+00:00,9680.0,26.0,0.0
H1.Z310,electric,production,,P,pv,,PV 그룹3,30817.0,0.0,123.0,0.0,0.4,,2020-06-25 22:00:00+00:00,2023-12-31 22:00:00+00:00,30817.0,123.0,0.0
H2.Z311,electric,production,,P,pv,,PV 그룹4&5,30841.0,0.0,139.0,0.0,0.45,,2020-06-24 22:00:00+00:00,2023-12-31 22:00:00+00:00,30841.0,139.0,0.0
H3.Z312,electric,production,,P,pv,,PV 그룹6,30817.0,0.0,136.0,0.0,0.44,,2020-06-25 22:00:00+00:00,2023-12-31 22:00:00+00:00,30817.0,136.0,0.0
H1.Z16,electric,consumption,,P,cooling_central,,CM1,52585.0,0.0,228.0,0.0,0.43,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,228.0,0.0
H1.Z11,electric,consumption,,P,cooling_central,,CM2-1,52585.0,0.0,303.0,0.0,0.58,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,303.0,0.0
H1.Z12,electric,consumption,,P,cooling_central,,CM2-2,52585.0,0.0,305.0,0.0,0.58,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,305.0,0.0
