meter_urn,meter_type,group_name,anomaly_target,first_nonnull_target_ts,nonnull_rows_2018,nonnull_days_2018,max_value_2018,median_value_2018,note
H2.Z63,electric,server,P,2017-12-31 23:00:00+00:00,8760.0,365.0,21549.911333333333,17527.762583333333,
H2.Z64,electric,server,P,2017-12-31 23:00:00+00:00,8760.0,365.0,36069.463,26426.677499999998,
H2.Z65,electric,server,P,2017-12-31 23:00:00+00:00,8760.0,365.0,36994.8655,27154.718583333335,
H3.Z46,electric,server,P,2017-12-31 23:00:00+00:00,8760.0,365.0,7273.116666666667,6103.3000833333335,
H2.Z68,electric,ventilation,P,2017-12-31 23:00:00+00:00,8760.0,365.0,4914.231333333333,2773.822833333333,
H2.Z69,electric,ventilation,P,2017-12-31 23:00:00+00:00,8760.0,365.0,3927.374333333333,1831.9895000000001,
H2.Z70,electric,ventilation,P,2017-12-31 23:00:00+00:00,8760.0,365.0,12979.896166666667,404.8920833333333,
H4.Z50,electric,office_dis,P,2017-12-31 23:00:00+00:00,8760.0,365.0,38317.139500000005,2121.9595833333333,
H4.Z51,electric,office_dis,P,2017-12-31 23:00:00+00:00,8760.0,365.0,11918.960666666668,4172.989166666666,
WeatherStation.Weather,weather,weather,,,,,,,anomaly_target null
H1.Z15,electric,distribution,,,,,,,anomaly_target null
H1.Z28,electric,distribution,,,,,,,anomaly_target null
H1.Z17,electric,test,,,,,,,anomaly_target null
H1.Z29,electric,test,,,,,,,anomaly_target null
