meter,measurement,day,min_val,max_val,avg_val,anomaly_type,criterion
H1.Z10,P,2018-08-29,5894.492,14761.676666666666,9935.875091871585,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2018-10-09,5410.269,19853.440166666664,12207.44367361111,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2018-10-10,4288.1385,19449.889666666662,11372.816986111115,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2019-01-09,4872.1033333333335,17793.004087431695,11517.992342782332,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2019-06-14,3841.988333333333,17256.7035,10035.209826388887,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2019-06-15,16551.016833333335,16955.325333333334,16756.959777777778,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2019-06-16,16712.292833333333,17158.532166666664,16833.946597222224,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2019-06-17,3912.453333333333,20805.324666666667,10039.833972222224,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2019-06-18,3815.0416666666665,22846.803333333333,8984.248284722222,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2021-03-30,4009.074666666667,17400.368333333332,9542.491604166667,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2021-03-31,4079.2201666666665,17211.6565,9183.768940346084,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-01-25,6246.0925,17484.155000000002,13132.485965505468,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-01-26,5076.516666666666,17093.179500000002,12911.864118055555,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-01-31,4727.8505000000005,24478.810803278688,9737.424361452642,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-02-01,5208.136666666667,24317.462333333333,13020.139312499998,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-02-03,5382.103833333333,25976.326833333336,12729.584565801453,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-02-07,5136.550333333334,25039.83599453552,12358.911006716758,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-02-08,6841.408666666667,24894.84183333333,15107.180173611114,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-02-09,5023.705333333333,24361.56683333333,10153.721819444443,통계적이상(3sigma),"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P,2022-08-26,-209.4558333333333,12947.3195,4635.032505806011,물리적이상(음수전력),min_val < 0W
H1.Z10,P,2022-08-29,-2724.4441666666667,21949.48116666667,4649.305215277777,물리적이상(음수전력),min_val < 0W
H1.Z10,P,2022-08-30,-5664.686333333333,19272.204833333333,4618.157082650274,물리적이상(음수전력),min_val < 0W
H1.Z10,P,2022-08-31,-4449.0005,13558.827,4051.995409722222,물리적이상(음수전력),min_val < 0W
H1.Z10,P,2022-09-02,-3569.0513333333333,18648.02216666667,5390.116916666667,물리적이상(음수전력),min_val < 0W
