meter,measurement,anomaly_type,건수,시작일,종료일,min_val,max_val,criterion
H1.K11,Tdiff,물리적이상(냉각Tdiff양수),1137,2018-01-03,2023-12-18,-9366.333333333334,10539.583333333334,max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K11,Tdiff,통계적이상(3sigma),11,2020-08-08,2023-02-19,-6607.166666666667,-2159.4166666666665,"mean=-765.52, sigma=1280.64, lower=-4607.43, upper=3076.40"
H1.K11,Trl,통계적이상(3sigma),41,2018-01-02,2023-03-26,17.875,36.0,"mean=10.10, sigma=3.84, lower=-1.43, upper=21.62"
H1.K11,Tvl,통계적이상(3sigma),36,2018-11-11,2023-03-26,15.333333333333334,37.0,"mean=9.34, sigma=3.91, lower=-2.41, upper=21.08"
H1.K12,Tdiff,물리적이상(냉각Tdiff양수),1053,2018-01-03,2023-12-31,-15152.548656078729,17580.35718573569,max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K12,Tdiff,통계적이상(3sigma),14,2020-06-28,2021-11-08,-15597.166666666666,-1829.6666666666667,"mean=-876.96, sigma=3576.15, lower=-11605.41, upper=9851.49"
H1.K12,Trl,통계적이상(3sigma),15,2020-06-28,2023-07-12,24.0,37.3,"mean=13.74, sigma=4.27, lower=0.93, upper=26.56"
H1.K12,Tvl,통계적이상(3sigma),2,2020-08-01,2020-08-02,32.0,37.0,"mean=12.88, sigma=5.22, lower=-2.79, upper=28.55"
H1.K14,Tdiff,물리적이상(냉각Tdiff양수),731,2018-01-05,2023-12-31,-11606.833333333334,8325.0,max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K14,Tdiff,통계적이상(3sigma),41,2018-04-22,2023-05-29,-13808.25,-35.833333333333336,"mean=-1130.85, sigma=1268.44, lower=-4936.18, upper=2674.49"
H1.K14,Trl,통계적이상(3sigma),3,2020-08-01,2020-08-09,27.0,34.0,"mean=13.76, sigma=4.83, lower=-0.72, upper=28.23"
H1.K14,Tvl,통계적이상(3sigma),4,2020-08-01,2022-06-19,26.15,33.0,"mean=12.62, sigma=4.91, lower=-2.11, upper=27.35"
H1.K14,qv,통계적이상(3sigma),71,2018-11-25,2019-06-02,41.16833333333334,51.31555555555556,"mean=10.37, sigma=12.15, lower=-26.07, upper=46.81"
H1.K15,Tdiff,물리적이상(냉각Tdiff양수),393,2018-01-22,2023-05-02,-18962.58333333333,16914.5,max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Trl,물리적이상(온도범위초과),2,2018-02-23,2018-03-19,-151.80833333333334,13.333333333333334,min_val < -20°C 또는 max_val > 120°C
H1.K15,Trl,통계적이상(3sigma),3,2018-05-29,2020-08-02,7.433333333333334,36.0,"mean=19.16, sigma=3.52, lower=8.60, upper=29.72"
H1.K15,Tvl,물리적이상(온도범위초과),2,2018-02-23,2018-03-19,-43.75833333333333,23.491666666666667,min_val < -20°C 또는 max_val > 120°C
H1.K15,Tvl,통계적이상(3sigma),11,2020-08-01,2022-05-24,26.0,37.0,"mean=12.68, sigma=5.22, lower=-2.99, upper=28.34"
H1.K15,qv,물리적이상(음수유량),1,2018-08-31,2018-08-31,-9.251858538542973e-19,4.465333333333335,min_val < 0 m³/h
H1.K15,qv,통계적이상(3sigma),54,2018-01-03,2023-09-07,0.0,122.5785843548347,"mean=0.98, sigma=2.13, lower=-5.41, upper=7.37"
H1.K16,Tdiff,물리적이상(냉각Tdiff양수),20,2019-03-07,2022-03-11,-18231.58333333333,13347.166666666666,max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K16,Tdiff,통계적이상(3sigma),3,2021-07-24,2021-07-26,-24456.08333333333,-9082.75,"mean=-3848.57, sigma=3170.70, lower=-13360.68, upper=5663.54"
H1.K16,Trl,통계적이상(3sigma),39,2019-02-24,2023-03-27,13.308333333333334,37.0,"mean=12.27, sigma=3.03, lower=3.18, upper=21.36"
H1.K16,Tvl,통계적이상(3sigma),33,2019-02-24,2023-03-26,9.716666666666669,37.0,"mean=8.41, sigma=3.61, lower=-2.43, upper=19.24"
H1.W11,Tdiff,물리적이상(난방Tdiff음수),704,2018-04-07,2023-10-30,-7851.583333333333,34809.0,min_val < 0 mK (난방 계량기에서 Tdiff 음수 불가)
H1.W11,Tdiff,통계적이상(3sigma),42,2021-02-08,2023-11-12,1284.4166666666667,38713.41666666666,"mean=4964.47, sigma=4104.68, lower=-7349.58, upper=17278.51"
H1.W11,Trl,통계적이상(3sigma),64,2023-06-25,2023-11-11,19.0,63.16666666666666,"mean=67.24, sigma=7.05, lower=46.08, upper=88.40"
H1.W11,Tvl,통계적이상(3sigma),77,2023-06-25,2023-10-30,19.0,78.43333333333334,"mean=72.20, sigma=7.40, lower=50.01, upper=94.39"
H1.W11,qv,통계적이상(3sigma),73,2020-06-09,2023-11-12,0.1188630490956072,44.4875,"mean=47.29, sigma=11.38, lower=13.17, upper=81.42"
H1.W12,Tdiff,물리적이상(난방Tdiff음수),129,2018-03-01,2023-08-31,-5205.0,31554.83333333333,min_val < 0 mK (난방 계량기에서 Tdiff 음수 불가)
H2.K21,Tdiff,물리적이상(냉각Tdiff양수),855,2018-01-03,2023-11-29,-5781.0,2929.0,max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H2.K21,Tdiff,통계적이상(3sigma),10,2019-06-26,2022-09-27,-6850.853591160221,-72.16666666666667,"mean=-383.57, sigma=338.40, lower=-1398.76, upper=631.62"
V.K21,Tdiff,물리적이상(냉각Tdiff양수),32,2018-01-03,2022-03-11,-6789.166666666667,7454.416666666667,max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
V.K21,Tdiff,통계적이상(3sigma),38,2021-10-26,2023-03-23,-9879.5,-1311.6666666666667,"mean=-1499.86, sigma=1155.37, lower=-4965.96, upper=1966.23"
V.K21,Trl,통계적이상(3sigma),37,2018-01-02,2023-03-26,10.933333333333334,37.0,"mean=10.09, sigma=3.37, lower=-0.02, upper=20.19"
V.K21,Tvl,통계적이상(3sigma),40,2018-01-02,2023-03-26,9.791666666666666,37.0,"mean=8.54, sigma=3.40, lower=-1.66, upper=18.73"
V.K21,qv,통계적이상(3sigma),14,2018-11-26,2020-08-14,33.48583333333334,86.57750000000001,"mean=24.95, sigma=13.67, lower=-16.07, upper=65.97"
