meter,measurement,anomaly_type,건수,시작일,종료일,min_val,max_val,criterion
H1.Z10,f,통계적이상(3sigma),16,2018-02-07,2018-03-02,49.964333333333336,50.025,"mean=50.0915, sigma=0.0287, lower=50.0055, upper=50.1775"
H1.Z11,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,49.48609108527132,50.095083333333335,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z11,f,통계적이상(3sigma),6,2018-02-26,2019-01-10,49.959916666666665,50.01891666666667,"mean=50.0465, sigma=0.0213, lower=49.9826, upper=50.1104"
H1.Z12,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,49.05412557077626,50.1145,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z12,f,통계적이상(3sigma),5,2018-02-26,2018-03-02,49.928583333333336,49.98808333333333,"mean=50.0441, sigma=0.0299, lower=49.9544, upper=50.1338"
H1.Z13,f,통계적이상(3sigma),3,2018-02-28,2018-03-02,49.93575,49.986583333333336,"mean=50.0591, sigma=0.0330, lower=49.9600, upper=50.1581"
H1.Z14,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,48.98800037110342,50.12475,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z14,f,통계적이상(3sigma),17,2018-01-15,2019-01-10,49.98608333333333,50.07108333333333,"mean=50.0807, sigma=0.0178, lower=50.0273, upper=50.1341"
H1.Z15,f,통계적이상(3sigma),17,2018-03-02,2023-04-09,49.95469671885178,50.06725798288979,"mean=50.0004, sigma=0.0047, lower=49.9863, upper=50.0146"
H1.Z16,f,통계적이상(3sigma),6,2018-02-25,2019-01-10,49.98591666666667,50.04616666666666,"mean=50.0695, sigma=0.0186, lower=50.0138, upper=50.1252"
H1.Z17,f,통계적이상(3sigma),17,2018-03-02,2023-04-09,49.95489834149679,50.067156026628254,"mean=50.0003, sigma=0.0047, lower=49.9862, upper=50.0145"
H1.Z18,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,49.00527770905492,50.16416666666667,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z18,f,통계적이상(3sigma),6,2018-02-25,2018-03-02,49.9285,49.997416666666666,"mean=50.0799, sigma=0.0375, lower=49.9673, upper=50.1925"
H1.Z19,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,49.46060658914728,50.06741666666667,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z19,f,통계적이상(3sigma),3,2018-02-26,2019-01-10,49.97233333333334,50.03141666666667,"mean=50.0406, sigma=0.0126, lower=50.0027, upper=50.0785"
H1.Z20,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,49.46282364341085,50.069833333333335,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z20,f,통계적이상(3sigma),5,2018-02-26,2019-01-10,49.98208333333333,50.05316666666667,"mean=50.0470, sigma=0.0115, lower=50.0125, upper=50.0815"
H1.Z21,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,48.99138409203365,50.13491666666666,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z21,f,통계적이상(3sigma),9,2018-02-23,2018-03-03,49.966750000000005,50.03663888888889,"mean=50.0777, sigma=0.0236, lower=50.0069, upper=50.1484"
H1.Z22,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,49.47549031007752,50.079166666666666,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z22,f,통계적이상(3sigma),3,2018-02-28,2018-03-02,49.989583333333336,50.04833333333333,"mean=50.0574, sigma=0.0143, lower=50.0145, upper=50.1003"
H1.Z23,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,48.90032776678212,50.031333333333336,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z23,f,통계적이상(3sigma),3,2018-07-05,2019-01-10,49.970416666666665,50.01233333333333,"mean=50.0222, sigma=0.0105, lower=49.9907, upper=50.0538"
H1.Z24,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,49.49339147286822,50.09216666666667,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z24,f,통계적이상(3sigma),11,2018-02-13,2019-01-10,49.9815,50.04983333333333,"mean=50.0613, sigma=0.0149, lower=50.0167, upper=50.1060"
H1.Z25,f,물리적이상(주파수범위초과),1,2020-09-17,2020-09-17,48.096732045720586,50.11691666666666,min_val < 49.5Hz 또는 max_val > 50.5Hz (EN 50160 50Hz±1%)
H1.Z25,f,통계적이상(3sigma),6,2018-02-25,2018-03-02,49.95125,50.00425,"mean=50.0572, sigma=0.0250, lower=49.9821, upper=50.1322"
H1.Z26,f,통계적이상(3sigma),17,2018-03-02,2023-01-03,49.95478136274543,50.05443723456763,"mean=50.0003, sigma=0.0047, lower=49.9862, upper=50.0144"
H1.Z27,f,통계적이상(3sigma),17,2018-03-02,2023-01-03,49.954788188934366,50.054061734933946,"mean=50.0003, sigma=0.0047, lower=49.9862, upper=50.0143"
H1.Z28,f,통계적이상(3sigma),17,2018-03-02,2023-01-03,49.95508879188801,50.0543426255755,"mean=50.0005, sigma=0.0047, lower=49.9864, upper=50.0146"
