meter,measurement,anomaly_type,건수,시작일,종료일,min_val,max_val,criterion
H1.Z10,WQ,물리적이상(음수누적값),2192,2018-01-01,2024-01-01,-53847.77926512951,-1812.795,min_val < 0
H1.Z12,WQ_out,물리적이상(음수누적값),1044,2018-01-23,2020-12-01,-5.974636350000001,0.36,min_val < 0
H1.Z15,W_out,통계적이상(3sigma),17,2018-01-01,2018-01-17,71454.29000000001,72035748.0,"mean=1015167.28, sigma=5510527.12, lower=-15516414.09, upper=17546748.64"
H1.Z17,W_in,통계적이상(3sigma),15,2018-01-01,2018-01-15,571017715.2,591144922.6666666,"mean=595994243.57, sigma=1686941.22, lower=590933419.91, upper=601055067.22"
H1.Z19,W,물리적이상(음수누적값),9,2018-03-02,2018-03-10,-161.20000000000005,1211.45,min_val < 0
H1.Z19,WQ,물리적이상(음수누적값),43,2018-09-14,2018-10-26,-148.8218317439007,11.273168256099098,min_val < 0
H1.Z19,W_out,통계적이상(3sigma),39,2018-01-22,2018-03-01,0.0,0.0,"mean=1348.00, sigma=182.82, lower=799.55, upper=1896.45"
H1.Z23,WQ_out,통계적이상(3sigma),10,2023-12-22,2023-12-31,1484.006630547466,1851.0466305474656,"mean=567.09, sigma=308.43, lower=-358.19, upper=1492.37"
H1.Z25,WQ_out,물리적이상(음수누적값),1441,2018-01-24,2022-06-30,-76.37487724166674,1.761416560580864,min_val < 0
H1.Z26,W_in,통계적이상(3sigma),17,2018-01-01,2018-01-17,2757.34231875,2732899.5,"mean=142446.67, sigma=210229.24, lower=-488241.06, upper=773134.39"
H1.Z27,W_in,통계적이상(3sigma),11,2018-01-01,2018-01-11,38248549.2,41938835.6,"mean=43803966.75, sigma=457072.92, lower=42432747.98, upper=45175185.52"
H1.Z28,W_out,통계적이상(3sigma),17,2018-01-01,2018-01-17,127611.27533333332,117463048.0,"mean=1187912.93, sigma=9731216.27, lower=-28005735.86, upper=30381561.73"
H1.Z29,W_in,통계적이상(3sigma),12,2018-01-01,2018-01-12,104692600.0,105752720.0,"mean=106413002.71, sigma=195043.74, lower=105827871.48, upper=106998133.94"
H1.Z310,W_in,통계적이상(3sigma),60,2020-06-26,2020-08-24,0.1029016314253186,4.0752899885972,"mean=11.17, sigma=2.35, lower=4.11, upper=18.23"
H2.T.Z30,WQ,물리적이상(음수누적값),2189,2018-01-03,2023-12-31,-172618.85121487675,-5452.37,min_val < 0
H2.T.Z30,WQ_in,통계적이상(3sigma),58,2018-01-03,2018-03-01,1627.76,2287.63,"mean=7785.88, sigma=1832.86, lower=2287.29, upper=13284.46"
H2.Z35,W_out,통계적이상(3sigma),32,2020-08-09,2020-09-09,12613.38,17901.95,"mean=1200.98, sigma=3752.82, lower=-10057.46, upper=12459.43"
H2.Z64,WQ,물리적이상(음수누적값),2192,2018-01-01,2024-01-01,-303020.7950856069,-16149.8,min_val < 0
H2.Z65,WQ,물리적이상(음수누적값),2192,2018-01-01,2024-01-01,-294152.7582695958,-14810.54,min_val < 0
H2.Z65,W_out,물리적이상(음수누적값),591,2022-05-20,2023-12-31,-0.0479775833333333,0.02,min_val < 0
H2.Z67,W_out,물리적이상(음수누적값),560,2022-05-16,2023-12-31,-0.0282347499999999,0.0004353333333333,min_val < 0
H2.ZE65,W3,물리적이상(음수누적값),49,2022-03-22,2022-05-09,-3081.3061122966,37.95865909090909,min_val < 0
H2.ZE65,W_out,통계적이상(3sigma),26,2023-06-21,2023-07-16,0.0072145714759827,0.0072559757232666,"mean=0.01, sigma=0.00, lower=0.00, upper=0.01"
H2.ZE66,W_out,통계적이상(3sigma),2,2022-03-22,2022-03-23,0.0010543710643595,0.0022580894152323,"mean=0.00, sigma=0.00, lower=0.00, upper=0.00"
H2.ZE74,W2,물리적이상(음수누적값),23,2022-03-18,2022-04-09,-1.9022846150716268,0.507768359375,min_val < 0
H2.ZE74,W_out,통계적이상(3sigma),22,2022-03-18,2023-01-19,0.05876838684082,0.0630461105346679,"mean=0.06, sigma=0.00, lower=0.06, upper=0.06"
H3.Z312,W_in,통계적이상(3sigma),56,2020-06-26,2020-08-20,0.10648065054417,4.2012427654266,"mean=14.21, sigma=3.33, lower=4.22, upper=24.20"
H3.Z40,WQ,물리적이상(음수누적값),2192,2018-01-01,2024-01-01,-146147.40448062192,-10586.55,min_val < 0
H3.Z41,WQ,물리적이상(음수누적값),2192,2018-01-01,2024-01-01,-108921.71792549816,-2426.05,min_val < 0
H3.Z41,WQ_in,통계적이상(3sigma),201,2018-04-23,2018-11-09,0.0,0.0,"mean=387.80, sigma=126.97, lower=6.88, upper=768.72"
H4.Z51,WQ,물리적이상(음수누적값),2192,2018-01-01,2024-01-01,-158435.61812366667,-10815.68,min_val < 0
V.Z81,W_in,통계적이상(3sigma),13,2018-01-01,2018-01-13,-4889086656.0,421588743.8644068,"mean=-5522622256.19, sigma=319128392.08, lower=-6480007432.43, upper=-4565237079.95"
V.ZE84,W3,통계적이상(3sigma),11,2022-11-23,2022-12-24,10334.736575,10357.793135416669,"mean=10431.36, sigma=24.49, lower=10357.89, upper=10504.83"
