ts_local,value,meter,measurement,description
2018-01-01 00:00:00,-100.97155602922211,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 01:00:00,-78.76107173363356,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 02:00:00,-129.6871067629922,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 03:00:00,-99.46004048850776,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 04:00:00,-113.0921017561168,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 05:00:00,-130.73720017263616,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 06:00:00,-131.74941353832097,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 07:00:00,-130.6510556466802,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 08:00:00,-131.39202528874398,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 09:00:00,-132.7512933222456,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 10:00:00,-131.7887927107837,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 11:00:00,-129.0623611132308,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 12:00:00,-109.46903849221113,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 13:00:00,-131.95896268232792,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 14:00:00,-130.795507604921,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 15:00:00,-131.65682527330247,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 16:00:00,-131.77186105710115,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 17:00:00,-129.6563006973269,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 18:00:00,-128.73789848327547,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 19:00:00,-128.00382040330678,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 20:00:00,-128.7894382027284,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 21:00:00,-79.12787572090647,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 22:00:00,-64.68885674419178,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2018-01-01 23:00:00,-51.18135640980123,H1.Z15,I1,I1 물리적이상 최악: min=-446.6A
2022-07-19 00:00:00,193.50570430691192,H1.Z17,I1,I1 통계적이상 최악: max=429.1A
2022-07-19 01:00:00,185.55934715271,H1.Z17,I1,I1 통계적이상 최악: max=429.1A
2022-07-19 02:00:00,186.3320860603528,H1.Z17,I1,I1 통계적이상 최악: max=429.1A
2022-07-19 03:00:00,187.8745919012426,H1.Z17,I1,I1 통계적이상 최악: max=429.1A
