meter,measurement,anomaly_type,건수,시작일,종료일,min_val,max_val,criterion
H1.Z10,U1,통계적이상(3sigma),12,2018-01-16,2023-12-30,223.95,235.94696227067212,"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U2,통계적이상(3sigma),9,2018-01-16,2023-12-30,223.8766666666667,236.70529897958795,"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U3,통계적이상(3sigma),13,2018-01-16,2023-12-30,224.2925,236.58419709515587,"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z11,U1,통계적이상(3sigma),12,2018-01-16,2023-12-30,223.96916666666667,235.96862440449,"mean=229.91, sigma=0.92, lower=227.13, upper=232.68"
H1.Z11,U2,통계적이상(3sigma),9,2018-01-16,2023-12-30,223.8175,236.55209044622728,"mean=229.64, sigma=0.93, lower=226.86, upper=232.42"
H1.Z11,U3,통계적이상(3sigma),13,2018-01-16,2023-12-30,224.36666666666667,236.6161910963252,"mean=230.37, sigma=1.00, lower=227.39, upper=233.36"
H1.Z12,U1,통계적이상(3sigma),12,2018-01-16,2023-12-30,224.015,236.104529541085,"mean=229.98, sigma=0.93, lower=227.17, upper=232.78"
H1.Z12,U2,통계적이상(3sigma),9,2018-01-16,2023-12-30,223.875,236.784229066653,"mean=229.77, sigma=0.94, lower=226.95, upper=232.58"
H1.Z12,U3,통계적이상(3sigma),13,2018-01-16,2023-12-30,224.28583333333333,236.69619572564068,"mean=230.42, sigma=1.01, lower=227.40, upper=233.44"
H1.Z13,U1,통계적이상(3sigma),12,2018-01-16,2023-12-30,223.8775,235.96189919565543,"mean=229.85, sigma=0.93, lower=227.06, upper=232.64"
H1.Z13,U2,통계적이상(3sigma),9,2018-01-16,2023-12-30,223.8125,236.7903298744483,"mean=229.76, sigma=0.94, lower=226.95, upper=232.58"
H1.Z13,U3,통계적이상(3sigma),13,2018-01-16,2023-12-30,224.2516666666667,236.61836573893035,"mean=230.35, sigma=1.01, lower=227.34, upper=233.37"
H1.Z14,U1,통계적이상(3sigma),12,2018-01-16,2023-12-30,223.8658333333333,235.8461288893972,"mean=229.77, sigma=0.92, lower=227.01, upper=232.52"
H1.Z14,U2,통계적이상(3sigma),9,2018-01-16,2023-12-30,223.76166666666668,236.5951589415248,"mean=229.61, sigma=0.92, lower=226.84, upper=232.38"
H1.Z14,U3,통계적이상(3sigma),13,2018-01-16,2023-12-30,224.14,236.38536176551028,"mean=230.15, sigma=0.99, lower=227.19, upper=233.12"
H1.Z15,U1,통계적이상(3sigma),6,2018-01-16,2023-12-30,223.88188131968172,234.2949636464951,"mean=229.90, sigma=0.91, lower=227.17, upper=232.63"
H1.Z15,U2,통계적이상(3sigma),6,2018-01-16,2023-12-30,223.7861742019649,236.25156069932552,"mean=229.63, sigma=0.91, lower=226.90, upper=232.37"
H1.Z15,U3,통계적이상(3sigma),5,2018-01-19,2023-12-30,223.5909565395773,234.8653654241037,"mean=230.20, sigma=1.01, lower=227.16, upper=233.24"
H1.Z16,U1,통계적이상(3sigma),8,2018-01-16,2023-12-30,223.615,234.1858333333333,"mean=229.84, sigma=0.92, lower=227.07, upper=232.60"
H1.Z16,U2,통계적이상(3sigma),5,2018-01-16,2023-12-30,223.5366666666667,234.0175,"mean=229.66, sigma=0.93, lower=226.88, upper=232.45"
H1.Z16,U3,통계적이상(3sigma),10,2018-01-16,2023-12-30,223.42166666666665,234.89,"mean=230.20, sigma=1.01, lower=227.18, upper=233.22"
H1.Z17,U1,통계적이상(3sigma),6,2018-01-16,2023-12-30,223.8669347359047,234.29631386599567,"mean=229.91, sigma=0.91, lower=227.18, upper=232.63"
H1.Z17,U2,통계적이상(3sigma),8,2018-01-16,2023-12-30,223.59109611511263,236.25503388345408,"mean=229.63, sigma=0.91, lower=226.89, upper=232.37"
H1.Z17,U3,통계적이상(3sigma),5,2018-01-19,2023-12-30,223.6045731563508,234.8672035595686,"mean=230.20, sigma=1.01, lower=227.17, upper=233.24"
H1.Z18,U1,통계적이상(3sigma),12,2018-01-16,2023-12-30,223.93708333333333,235.9352309860225,"mean=229.85, sigma=0.92, lower=227.08, upper=232.62"
H1.Z18,U2,통계적이상(3sigma),9,2018-01-16,2023-12-30,223.8408333333333,236.7495379319884,"mean=229.73, sigma=0.93, lower=226.94, upper=232.52"
H1.Z18,U3,통계적이상(3sigma),13,2018-01-16,2023-12-30,224.2633333333333,236.64696805755952,"mean=230.31, sigma=0.99, lower=227.33, upper=233.29"
