meter,measurement,day,min_val,max_val,avg_val,anomaly_type,criterion
H1.Z10,U1,2018-01-16,224.89922663358143,229.77626388154417,226.77900152592667,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-01-18,225.8766666666667,229.81583333333336,227.06368055555558,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-01-19,223.95,228.6783333333333,226.44005692167573,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-01-23,224.89922663358143,229.77626388154417,226.77900152592667,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-01-25,225.8766666666667,229.81583333333336,227.06368055555558,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-01-26,223.95,228.6783333333333,226.44005692167573,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-01-30,224.89922663358143,229.77626388154417,226.93751956091697,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-02-08,224.73,230.1225,227.05802083333322,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-02-21,224.70333333333332,228.76666666666668,226.7133680555555,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2018-03-14,225.075,228.9954781420765,226.9906482191013,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2023-07-16,230.4675455704741,235.94696227067212,232.74897666867412,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U1,2023-12-30,231.08,234.29245936079352,232.94590219421102,통계적이상(3sigma),"mean=229.89, sigma=0.93, lower=227.10, upper=232.67"
H1.Z10,U2,2018-01-16,224.76624141403244,229.9215860215054,226.7149945713585,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2018-01-19,223.8766666666667,228.6208606557377,226.42363247790877,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2018-01-23,224.76624141403244,229.9215860215054,226.7149945713585,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2018-01-26,223.8766666666667,228.6208606557377,226.42363247790877,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2018-01-30,224.76624141403244,229.9215860215054,226.8532804701192,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2018-02-21,224.3625,228.65416666666667,226.42347222222224,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2018-03-14,225.0016666666667,228.7779641421668,226.8114457678704,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2023-07-16,230.36340238822623,236.70529897958795,233.06477057388452,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U2,2023-12-30,230.46166666666667,234.09412602746016,232.63583531841698,통계적이상(3sigma),"mean=229.71, sigma=0.93, lower=226.91, upper=232.51"
H1.Z10,U3,2018-01-16,225.33318387367964,229.9880918385334,227.15095429296596,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-01-19,224.2925,229.1792822702852,226.727141656526,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-01-21,224.965,228.9008333333333,227.2503472222222,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-01-23,225.33318387367964,229.9880918385334,227.15095429296596,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-01-26,224.2925,229.1792822702852,226.727141656526,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-01-28,224.965,228.9008333333333,227.2503472222222,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-01-30,225.33318387367964,229.9880918385334,227.2765318922266,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-02-21,224.705,229.2516666666667,226.90996527777781,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2018-03-14,225.265,229.2329577374832,227.14345049147923,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2023-01-07,231.81916666666663,234.17916666666667,233.38018385701275,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2023-07-16,231.059203219607,236.58419709515587,233.4888051660124,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2023-12-21,231.32333333333327,234.95833333333331,233.62438183060112,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z10,U3,2023-12-30,231.575,234.9341393442623,233.56066541438975,통계적이상(3sigma),"mean=230.31, sigma=1.00, lower=227.30, upper=233.31"
H1.Z11,U1,2018-01-16,224.92705762711864,229.91733782830957,226.83833494037302,통계적이상(3sigma),"mean=229.91, sigma=0.92, lower=227.13, upper=232.68"
H1.Z11,U1,2018-01-18,225.87416666666667,229.8575,227.1259722222222,통계적이상(3sigma),"mean=229.91, sigma=0.92, lower=227.13, upper=232.68"
H1.Z11,U1,2018-01-19,223.96916666666667,228.7736885245901,226.4968101092896,통계적이상(3sigma),"mean=229.91, sigma=0.92, lower=227.13, upper=232.68"
H1.Z11,U1,2018-01-23,224.92705762711864,229.91733782830957,226.83833494037302,통계적이상(3sigma),"mean=229.91, sigma=0.92, lower=227.13, upper=232.68"
H1.Z11,U1,2018-01-25,225.87416666666667,229.8575,227.1259722222222,통계적이상(3sigma),"mean=229.91, sigma=0.92, lower=227.13, upper=232.68"
