meter,measurement,anomaly_type,건수,시작일,종료일,min_val,max_val,criterion
H1.Z10,P,물리적이상(음수전력),5,2022-08-26,2022-09-02,-5664.686333333333,21949.48116666667,min_val < 0W
H1.Z10,P,통계적이상(3sigma),27,2018-08-29,2023-01-12,44.623666666666665,25976.326833333336,"mean=4468.39, sigma=1469.26, lower=60.60, upper=8876.18"
H1.Z10,P1,물리적이상(음수전력),5,2022-08-26,2022-09-02,-2416.8163333333337,6883.6985,min_val < 0W
H1.Z10,P1,통계적이상(3sigma),22,2018-08-29,2022-07-07,995.5288333333334,9035.88404918033,"mean=1269.09, sigma=496.97, lower=-221.82, upper=2759.99"
H1.Z10,P2,물리적이상(음수전력),45,2018-11-09,2023-06-26,-1683.8198333333337,7612.1955,min_val < 0W
H1.Z10,P2,통계적이상(3sigma),32,2018-01-01,2023-02-22,3.419666666666666,8576.8215,"mean=1849.09, sigma=521.48, lower=284.66, upper=3413.52"
H1.Z10,P3,물리적이상(음수전력),4,2022-08-29,2022-09-02,-1805.9385,7447.304,min_val < 0W
H1.Z10,P3,통계적이상(3sigma),18,2018-08-29,2022-07-07,874.869,8459.222166666666,"mean=1407.96, sigma=514.82, lower=-136.51, upper=2952.43"
H1.Z11,P,물리적이상(음수전력),19,2020-11-11,2021-03-11,-27.2485,4564.1535,min_val < 0W
H1.Z11,P,통계적이상(3sigma),42,2018-05-28,2023-08-21,189.5438535754097,82207.26483333333,"mean=5806.38, sigma=7775.56, lower=-17520.30, upper=29133.06"
H1.Z11,P1,물리적이상(음수전력),32,2020-08-06,2021-03-11,-14.309666666666669,10505.003833333332,min_val < 0W
H1.Z11,P1,통계적이상(3sigma),31,2018-05-28,2023-07-11,98.05381585442554,27391.201500000003,"mean=1923.18, sigma=2475.43, lower=-5503.12, upper=9349.48"
H1.Z11,P2,물리적이상(음수전력),19,2020-11-11,2021-03-11,-6.188666666666666,1589.3321666666666,min_val < 0W
H1.Z11,P2,통계적이상(3sigma),33,2018-05-28,2023-07-11,91.51804456984682,27725.369,"mean=1966.58, sigma=2547.60, lower=-5676.21, upper=9609.38"
H1.Z11,P3,물리적이상(음수전력),325,2018-01-10,2023-12-15,-20.7815,24302.6575483232,min_val < 0W
H1.Z11,P3,통계적이상(3sigma),30,2018-05-28,2023-07-11,1434.7878333333333,27089.520166666665,"mean=1861.16, sigma=2536.01, lower=-5746.88, upper=9469.19"
H1.Z12,P,물리적이상(음수전력),7,2020-11-05,2020-12-06,-1.35475,16673.933333333334,min_val < 0W
H1.Z12,P,통계적이상(3sigma),41,2018-05-28,2023-08-21,190.34882890436157,82421.62400000001,"mean=5818.51, sigma=7790.72, lower=-17553.64, upper=29190.67"
H1.Z12,P1,물리적이상(음수전력),3,2020-11-09,2020-12-04,-0.5051666666666667,1.0199166666666666,min_val < 0W
H1.Z12,P1,통계적이상(3sigma),31,2018-05-28,2023-07-11,99.237306061647,27253.52,"mean=1902.94, sigma=2454.25, lower=-5459.81, upper=9265.69"
H1.Z12,P2,통계적이상(3sigma),32,2018-05-28,2023-07-11,87.28751676496395,27750.549166666668,"mean=1977.22, sigma=2554.21, lower=-5685.40, upper=9639.84"
H1.Z12,P3,물리적이상(음수전력),465,2018-01-01,2023-07-17,-3.99491853844594,20420.909423654237,min_val < 0W
H1.Z12,P3,통계적이상(3sigma),31,2018-05-28,2023-07-11,0.1320855003903311,27419.20083333333,"mean=1882.96, sigma=2551.09, lower=-5770.31, upper=9536.22"
H1.Z13,P,통계적이상(3sigma),1,2018-04-17,2018-04-17,21197.360409836067,28863.690180327867,"mean=12195.93, sigma=4461.97, lower=-1190.00, upper=25581.85"
H1.Z13,P1,물리적이상(음수전력),4,2019-05-15,2023-07-17,-20.529333333333334,9675.6745,min_val < 0W
H1.Z13,P1,통계적이상(3sigma),1,2018-04-17,2018-04-17,6899.270975409836,9487.48300273224,"mean=3926.53, sigma=1439.73, lower=-392.66, upper=8245.73"
H1.Z13,P2,통계적이상(3sigma),1,2018-04-17,2018-04-17,6938.304543715847,9607.784106557378,"mean=4097.00, sigma=1463.94, lower=-294.83, upper=8488.83"
H1.Z13,P3,물리적이상(음수전력),1,2023-07-17,2023-07-17,-2.333482723035872,7479.299750644716,min_val < 0W
H1.Z13,P3,통계적이상(3sigma),1,2018-11-13,2018-11-13,8254.411,9536.754333333334,"mean=4184.07, sigma=1575.10, lower=-541.22, upper=8909.36"
H1.Z14,P,통계적이상(3sigma),1,2018-04-17,2018-04-17,19996.789270491805,27083.1162704918,"mean=11518.62, sigma=4190.50, lower=-1052.90, upper=24090.13"
H1.Z14,P1,통계적이상(3sigma),1,2018-04-17,2018-04-17,6522.456931693989,8908.567926229507,"mean=3722.68, sigma=1354.47, lower=-340.73, upper=7786.09"
H1.Z14,P2,통계적이상(3sigma),1,2018-04-17,2018-04-17,6543.687789617487,9002.509349726777,"mean=3851.16, sigma=1372.69, lower=-266.91, upper=7969.24"
H1.Z14,P3,통계적이상(3sigma),1,2018-11-13,2018-11-13,7767.764,8977.418833333333,"mean=3954.91, sigma=1477.21, lower=-476.72, upper=8386.55"
H1.Z15,P,물리적이상(음수전력),1344,2018-01-01,2023-12-31,-137383.01247891865,282996.01985527814,min_val < 0W
H1.Z15,P1,물리적이상(음수전력),1310,2018-01-01,2023-12-31,-45086.85990510804,89149.83075637878,min_val < 0W
H1.Z15,P2,물리적이상(음수전력),1374,2018-01-01,2023-12-31,-46390.086066468255,88928.38842374152,min_val < 0W
H1.Z15,P3,물리적이상(음수전력),1348,2018-01-01,2023-12-31,-48164.2959421503,104917.8007978863,min_val < 0W
H1.Z16,P,통계적이상(3sigma),58,2019-09-09,2023-11-14,421.1718333333334,38167.57983333334,"mean=1073.41, sigma=2075.42, lower=-5152.84, upper=7299.66"
H1.Z16,P1,통계적이상(3sigma),57,2019-09-09,2023-11-14,223.60350000000005,12742.700166666667,"mean=442.36, sigma=684.42, lower=-1610.90, upper=2495.61"
H1.Z16,P2,통계적이상(3sigma),58,2019-09-09,2023-11-14,197.57083333333333,12827.803000000002,"mean=417.85, sigma=692.65, lower=-1660.10, upper=2495.80"
H1.Z16,P3,통계적이상(3sigma),57,2019-09-09,2023-11-14,0.0,12599.147666666666,"mean=215.59, sigma=702.27, lower=-1891.22, upper=2322.39"
H1.Z17,P,통계적이상(3sigma),31,2018-04-20,2022-07-20,47116.51662882832,251694.76256510417,"mean=65261.76, sigma=22556.33, lower=-2407.25, upper=132930.76"
H1.Z17,P1,통계적이상(3sigma),28,2018-05-28,2022-07-20,15301.060268502217,86093.402135716,"mean=22498.84, sigma=7386.80, lower=338.44, upper=44659.24"
H1.Z17,P2,통계적이상(3sigma),35,2018-04-20,2022-07-20,15619.515525987355,85295.76079644097,"mean=22079.97, sigma=7621.21, lower=-783.65, upper=44943.59"
H1.Z17,P3,통계적이상(3sigma),31,2018-04-20,2022-07-20,15370.166585386927,82680.99375,"mean=20681.50, sigma=7634.62, lower=-2222.36, upper=43585.35"
H1.Z18,P,통계적이상(3sigma),25,2019-01-15,2022-03-25,1327.5686145434563,15115.871674737604,"mean=1668.82, sigma=835.88, lower=-838.82, upper=4176.45"
H1.Z18,P1,통계적이상(3sigma),24,2018-03-15,2022-03-25,206.51926237650733,4314.685166666667,"mean=403.78, sigma=228.83, lower=-282.71, upper=1090.26"
H1.Z18,P2,통계적이상(3sigma),41,2018-03-15,2022-06-20,189.66925,5758.4736094354685,"mean=284.94, sigma=228.48, lower=-400.48, upper=970.37"
H1.Z18,P3,물리적이상(음수전력),91,2023-01-04,2023-07-22,-1.4701666666666668,9.742920239340483,min_val < 0W
H1.Z18,P3,통계적이상(3sigma),10,2019-01-15,2022-03-01,879.105,5452.266666666666,"mean=976.59, sigma=412.88, lower=-262.06, upper=2215.24"
H1.Z19,P,물리적이상(음수전력),7,2018-03-02,2021-02-01,-15.707833333333332,15299.022666666666,min_val < 0W
H1.Z19,P,통계적이상(3sigma),13,2020-09-01,2020-09-20,10373.93876151785,25292.51451151785,"mean=2610.05, sigma=4598.58, lower=-11185.67, upper=16405.78"
H1.Z19,P1,물리적이상(음수전력),1020,2018-01-01,2022-12-01,-25.674299584926693,5710.016693674037,min_val < 0W
H1.Z19,P2,물리적이상(음수전력),56,2018-01-01,2023-12-05,-5746.708102150538,5893.9,min_val < 0W
H1.Z19,P3,물리적이상(음수전력),277,2018-03-02,2023-12-12,-74.98316666666666,5175.0435,min_val < 0W
H1.Z21,P,물리적이상(음수전력),170,2018-02-05,2023-12-04,-12.261333333333331,5092.416639344262,min_val < 0W
H1.Z21,P,통계적이상(3sigma),42,2018-03-27,2022-02-08,242.87,17417.81517074668,"mean=412.45, sigma=464.43, lower=-980.83, upper=1805.74"
H1.Z21,P1,물리적이상(음수전력),51,2018-02-05,2022-11-28,-10.628166666666669,2295.8155,min_val < 0W
H1.Z21,P1,통계적이상(3sigma),41,2018-03-27,2022-02-08,112.08,6439.619901977677,"mean=194.14, sigma=208.01, lower=-429.88, upper=818.16"
H1.Z21,P2,물리적이상(음수전력),305,2018-02-05,2023-12-04,-41.95016666666667,1813.862519125683,min_val < 0W
H1.Z21,P2,통계적이상(3sigma),38,2018-03-27,2022-02-08,109.0275,5959.772214166019,"mean=172.12, sigma=181.19, lower=-371.45, upper=715.70"
H1.Z21,P3,물리적이상(음수전력),246,2018-03-05,2023-12-09,-540.4075,1729.913,min_val < 0W
H1.Z21,P3,통계적이상(3sigma),40,2018-04-04,2022-02-08,8.614850364520644,5046.437414835711,"mean=48.94, sigma=79.92, lower=-190.82, upper=288.71"
H1.Z22,P,물리적이상(음수전력),336,2018-02-05,2023-12-04,-197.7075,5797.038833333334,min_val < 0W
H1.Z22,P,통계적이상(3sigma),43,2018-03-27,2022-02-08,171.2099192469774,17548.130050577678,"mean=390.17, sigma=468.15, lower=-1014.29, upper=1794.63"
H1.Z22,P1,물리적이상(음수전력),279,2018-02-06,2023-07-24,-77.80543715846994,2370.232833333333,min_val < 0W
H1.Z22,P1,통계적이상(3sigma),40,2018-03-27,2022-02-08,73.6505,6358.960711924751,"mean=191.48, sigma=214.12, lower=-450.89, upper=833.84"
H1.Z22,P2,물리적이상(음수전력),182,2018-02-05,2023-07-16,-17.11733333333333,2083.516166666667,min_val < 0W
H1.Z22,P2,통계적이상(3sigma),38,2018-03-27,2022-02-08,118.04916666666666,6051.706287853409,"mean=177.99, sigma=182.74, lower=-370.23, upper=726.21"
H1.Z22,P3,물리적이상(음수전력),1781,2018-01-01,2023-12-31,-604.9751666666667,5118.045446098274,min_val < 0W
H1.Z22,P3,통계적이상(3sigma),11,2018-03-13,2019-09-03,0.0,2220.4950000000003,"mean=22.97, sigma=75.75, lower=-204.27, upper=250.21"
H1.Z23,P,물리적이상(음수전력),2,2023-02-16,2023-08-26,-0.38125,0.0,min_val < 0W
H1.Z23,P,통계적이상(3sigma),66,2018-01-31,2023-12-14,405.8931666666667,122604.8306065493,"mean=2481.15, sigma=7501.11, lower=-20022.18, upper=24984.49"
H1.Z23,P1,물리적이상(음수전력),8,2023-07-24,2023-09-14,-2.684,0.0,min_val < 0W
H1.Z23,P1,통계적이상(3sigma),62,2018-01-31,2023-12-14,299.299,40479.564,"mean=957.32, sigma=2405.14, lower=-6258.09, upper=8172.73"
H1.Z23,P2,물리적이상(음수전력),723,2018-02-05,2023-02-16,-8.624833333333333,24357.691666666666,min_val < 0W
