meter,measurement,day,min_val,max_val,avg_val,anomaly_type,criterion
H1.K15,Tdiff,2018-01-22,-3760.5,1421.5,-2240.9072420634916,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-07,-3811.941256830601,427.8333333333333,-3249.6746357012744,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-08,-5180.666666666667,447.25,-2124.010416666667,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-09,-4754.25,253.91666666666663,-2574.9895833333335,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-10,-3678.1666666666665,109.58333333333331,-2350.535632969034,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-11,-2636.1666666666665,439.1666666666667,-386.1645036429873,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-12,-3747.0,421.9166666666667,-2485.850694444445,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-14,-3765.8333333333335,77.5,-2998.5416666666665,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-15,-3742.6666666666665,395.5,-2319.720969945355,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-16,-3778.0833333333335,364.8333333333333,-1996.1284722222217,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-18,-3286.1666666666665,396.8333333333333,-1903.298155737705,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-20,-3786.3333333333335,51.91666666666666,-2344.1666666666665,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-21,-3690.3333333333335,321.3333333333333,-2283.141222677595,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-22,-3692.3333333333335,275.75,-2813.6666666666665,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-23,-18962.58333333333,11531.75,3198.318145595296,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-24,7735.0,12514.25,9222.92013888889,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-25,7628.5,12391.416666666666,8683.020833333334,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-26,7712.0,8775.333333333334,8240.37847222222,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-27,7675.333333333333,9092.5,8372.777777777777,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-02-28,8330.666666666666,9291.833333333334,8770.770833333334,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-01,8115.833333333333,9575.333333333334,8696.493055555557,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-02,8260.666666666666,9123.166666666666,8830.604166666666,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-03,8542.333333333334,9368.666666666666,8959.083333333334,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-04,8667.0,12754.333333333334,10569.951388888889,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-05,9504.333333333334,13064.166666666666,10508.444444444445,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-06,9068.166666666666,13409.916666666666,10309.624999999998,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-07,9324.666666666666,13598.083333333334,10450.364583333332,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-08,7565.0,12019.666666666666,10432.371527777776,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-09,7926.333333333333,13096.25,11304.637978142076,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-10,7950.583333333333,12953.25,9682.642361111111,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-11,8107.5,9196.666666666666,8583.184027777777,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-12,7352.0,9196.5,8626.197916666666,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-13,7384.166666666667,11158.0,8837.520833333334,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-14,6340.333333333333,8805.0,7521.9027777777765,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-15,6932.166666666667,8885.833333333334,7953.163194444445,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-16,8109.166666666667,13722.833333333334,9158.572916666666,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-17,8137.666666666667,9489.5,8985.201388888885,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-18,8095.333333333333,12065.583333333334,9075.102867008069,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-19,6949.166666666667,13687.333333333334,9369.520833333334,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-20,8430.333333333334,13997.25,10364.413194444445,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-21,7963.5,12360.25,9795.177083333334,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-22,7972.416666666667,13854.25,11036.739583333336,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-23,7213.0,12808.5,9782.180555555553,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-24,6876.833333333333,12571.916666666666,10275.06597222222,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-25,6807.5,13364.916666666666,9828.278985507248,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-26,6622.333333333333,11384.75,8520.28125,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-27,7241.333333333333,13277.833333333334,8518.201388888889,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-28,7591.333333333333,8771.333333333334,8028.2465277777765,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-29,6832.166666666667,13629.083333333334,8598.017361111111,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-30,6755.0,13572.5,7929.225694444446,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-03-31,7150.5,7615.833333333333,7337.131944444444,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-01,5923.666666666667,7606.666666666667,6961.1284722222235,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-02,5566.333333333333,9061.333333333334,6708.75173611111,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-03,5918.666666666667,10401.5,8175.0017361111095,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-04,8068.5,14169.0,9524.805555555557,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-05,6819.333333333333,8255.666666666666,7604.736111111112,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-06,6607.5,9593.583333333334,7970.295138888888,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-07,6510.916666666667,10430.25,8035.479166666667,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-08,6830.666666666667,10843.166666666666,8125.385416666665,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-09,5869.166666666667,10679.0,7608.100694444444,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-10,5252.0,15809.833333333334,8679.34455566064,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-11,8100.333333333333,14046.458333333334,10229.739583333334,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-12,7867.583333333333,14362.333333333334,10197.482638888887,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-13,6429.5,8569.833333333334,7337.600694444444,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-14,6563.333333333333,12458.583333333334,8369.09027777778,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-15,5419.416666666667,10617.083333333334,8381.281249999998,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-16,7138.083333333333,13525.916666666666,9068.326388888889,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-17,5463.416666666667,12494.027777777776,9262.547751765143,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-18,6220.916666666667,12631.291666666666,7820.4978675540815,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-19,5592.833333333333,15355.055555555557,8835.746527777776,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-20,6453.0,11762.805555555557,8730.881944444445,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-21,7654.833333333333,14928.722222222224,10747.092621915881,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-22,7623.0,14686.458333333334,11253.831788921256,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-23,4605.166666666667,16409.583333333332,11829.586805555553,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-24,5932.666666666667,13151.25,8926.531249999998,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-25,4455.416666666667,12351.333333333334,8384.951047358833,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-26,6229.916666666667,9571.583333333334,7529.802083333336,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-27,6951.666666666667,11672.916666666666,8602.246527777776,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-28,3346.833333333333,9232.5,6718.930555555555,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-29,6230.833333333333,9779.666666666666,7825.284722222223,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-04-30,7450.5,12297.583333333334,8961.777777777776,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-05-01,5991.166666666667,7714.166666666667,6610.34375,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-05-02,5760.166666666667,13554.833333333334,8462.452982695811,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-05-03,5114.177595628416,10068.72131147541,7193.829121129325,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-05-04,5007.666666666667,13416.25,8978.243055555555,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-05-05,6434.916666666667,10444.916666666666,8223.77777777778,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-05-06,5425.0,10317.75,7651.703153460837,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
H1.K15,Tdiff,2018-05-07,5068.416666666667,16914.5,10527.067708333336,물리적이상(냉각Tdiff양수),max_val > 0 mK (냉각 계량기에서 Tdiff 양수 불가)
