meter,measurement,anomaly_type,건수,시작일,종료일,min_val,max_val,criterion
H1.Z10,PF,통계적이상(3sigma),53,2018-01-01,2023-06-25,0.3129,0.9663166666666666,"mean=0.9185, sigma=0.0695, lower=0.7101, upper=1.1269"
H1.Z10,PF1,통계적이상(3sigma),41,2018-01-01,2023-06-25,0.09175,0.9696666666666668,"mean=0.9130, sigma=0.0782, lower=0.6783, upper=1.1476"
H1.Z10,PF2,통계적이상(3sigma),53,2018-01-01,2023-06-25,-0.1629602174715267,0.9527083333333332,"mean=0.8968, sigma=0.1412, lower=0.4731, upper=1.3204"
H1.Z10,PF3,통계적이상(3sigma),49,2019-05-16,2023-06-25,0.31505,0.9689166666666666,"mean=0.9019, sigma=0.0720, lower=0.6859, upper=1.1179"
H1.Z11,PF,통계적이상(3sigma),33,2020-11-06,2020-12-08,-0.7582333333333333,0.9955416666666668,"mean=0.9191, sigma=0.1294, lower=0.5308, upper=1.3074"
H1.Z11,PF1,통계적이상(3sigma),34,2020-11-05,2020-12-08,-0.5978,0.9127583333333332,"mean=0.8535, sigma=0.1167, lower=0.5033, upper=1.2036"
H1.Z11,PF2,통계적이상(3sigma),33,2020-11-06,2020-12-08,-0.42025,0.7835333333333333,"mean=0.7761, sigma=0.0939, lower=0.4944, upper=1.0579"
H1.Z11,PF3,통계적이상(3sigma),14,2020-08-14,2022-07-20,0.5293166666666667,0.875725,"mean=0.1550, sigma=0.2046, lower=-0.4589, upper=0.7688"
H1.Z12,PF,통계적이상(3sigma),22,2020-08-07,2020-12-06,-0.1239333333333333,0.914475,"mean=0.9293, sigma=0.0930, lower=0.6501, upper=1.2084"
H1.Z12,PF1,통계적이상(3sigma),34,2020-11-05,2020-12-08,-0.0339666666666666,0.924475,"mean=0.8508, sigma=0.1141, lower=0.5085, upper=1.1931"
H1.Z12,PF2,통계적이상(3sigma),27,2020-08-07,2020-12-07,0.0,0.8690083333333334,"mean=0.7984, sigma=0.0521, lower=0.6420, upper=0.9547"
H1.Z13,PF,통계적이상(3sigma),9,2022-04-13,2022-09-14,0.4107666666666666,0.6735583333333335,"mean=0.7023, sigma=0.0677, lower=0.4992, upper=0.9055"
H1.Z13,PF1,통계적이상(3sigma),10,2022-04-14,2023-07-17,-0.774487563414386,0.9923,"mean=0.6931, sigma=0.0730, lower=0.4743, upper=0.9120"
H1.Z13,PF2,통계적이상(3sigma),7,2022-04-13,2022-09-14,0.425475,0.6624333333333333,"mean=0.7065, sigma=0.0660, lower=0.5087, upper=0.9044"
H1.Z13,PF3,통계적이상(3sigma),10,2022-04-14,2023-07-17,-0.0274182532454122,0.6625,"mean=0.7054, sigma=0.0742, lower=0.4827, upper=0.9281"
H1.Z14,PF,통계적이상(3sigma),12,2022-04-13,2023-01-08,0.3959666666666666,0.92615,"mean=0.6991, sigma=0.0682, lower=0.4946, upper=0.9036"
H1.Z14,PF1,통계적이상(3sigma),15,2022-04-13,2023-07-17,0.0268833372397739,0.9953166666666668,"mean=0.6913, sigma=0.0672, lower=0.4896, upper=0.8931"
H1.Z14,PF2,통계적이상(3sigma),7,2022-04-13,2022-09-14,0.4127333333333333,0.6510416666666666,"mean=0.6985, sigma=0.0671, lower=0.4972, upper=0.8998"
H1.Z14,PF3,통계적이상(3sigma),11,2022-04-13,2023-07-17,0.0,0.6654498657922372,"mean=0.7056, sigma=0.0739, lower=0.4839, upper=0.9273"
H1.Z16,PF,통계적이상(3sigma),66,2019-09-09,2023-11-14,0.672225,0.994025,"mean=0.9871, sigma=0.0229, lower=0.9183, upper=1.0559"
H1.Z16,PF1,통계적이상(3sigma),64,2019-09-09,2023-11-14,0.6789166666666666,0.9178833333333334,"mean=0.9103, sigma=0.0154, lower=0.8641, upper=0.9564"
H1.Z16,PF2,통계적이상(3sigma),54,2019-09-09,2023-11-14,0.161025,0.8159105410835754,"mean=0.8039, sigma=0.0072, lower=0.7823, upper=0.8255"
