meter,measurement,anomaly_type,건수,시작일,종료일,min_val,max_val,criterion
H1.Z10,Q,물리적이상(음수무효전력),2189,2018-01-01,2023-12-31,-2433.7081666666663,3289.336166666667,min_val < 0 VAR
H1.Z10,Q,통계적이상(3sigma),2,2019-06-15,2019-06-16,631.8610000000001,803.8691666666667,"mean=-1000.88, sigma=279.19, lower=-1838.46, upper=-163.30"
H1.Z11,Q,통계적이상(3sigma),37,2018-05-29,2023-08-22,4447.619814073345,57866.433470174605,"mean=5018.82, sigma=6611.88, lower=-14816.83, upper=24854.47"
H1.Z12,Q,물리적이상(음수무효전력),229,2018-02-02,2023-12-15,-25.1795,38235.70983333333,min_val < 0 VAR
H1.Z12,Q,통계적이상(3sigma),39,2018-05-29,2023-08-22,5718.359202912513,57938.45246166922,"mean=5078.42, sigma=6702.61, lower=-15029.41, upper=25186.24"
H1.Z13,Q,통계적이상(3sigma),18,2018-08-16,2023-07-16,17.805674045942432,33554.809166666666,"mean=11705.74, sigma=3115.99, lower=2357.78, upper=21053.69"
H1.Z14,Q,물리적이상(음수무효전력),3,2019-05-15,2021-01-30,-12.553166666666666,23523.7055,min_val < 0 VAR
H1.Z14,Q,통계적이상(3sigma),18,2018-08-16,2023-07-16,3.716119948750632,31944.694166666664,"mean=11191.75, sigma=2942.26, lower=2364.98, upper=20018.52"
H1.Z16,Q,통계적이상(3sigma),62,2019-09-09,2023-11-14,45.6565,25688.23683333333,"mean=620.50, sigma=1873.62, lower=-5000.35, upper=6241.35"
H1.Z18,Q,물리적이상(음수무효전력),18,2021-09-01,2023-06-23,-59.09930351024243,5605.495333333333,min_val < 0 VAR
H1.Z18,Q,통계적이상(3sigma),48,2018-03-15,2023-10-11,86.565,6387.602,"mean=285.34, sigma=294.88, lower=-599.29, upper=1169.97"
H1.Z19,Q,물리적이상(음수무효전력),979,2018-01-29,2022-01-03,-278.43672292723414,1140.9592770727656,min_val < 0 VAR
H1.Z21,Q,물리적이상(음수무효전력),1966,2018-01-31,2023-12-09,-135.35316666666665,25475.957245376467,min_val < 0 VAR
H1.Z21,Q,통계적이상(3sigma),7,2018-11-23,2021-10-27,11.747583333333331,9762.879166666668,"mean=100.43, sigma=246.18, lower=-638.11, upper=838.97"
H1.Z22,Q,물리적이상(음수무효전력),1464,2018-02-05,2023-12-04,-45.1945,25981.69366659428,min_val < 0 VAR
H1.Z22,Q,통계적이상(3sigma),16,2018-01-31,2023-08-30,6.086083333333334,11679.8605,"mean=122.41, sigma=258.09, lower=-651.88, upper=896.69"
H1.Z23,Q,물리적이상(음수무효전력),1251,2018-01-15,2023-12-31,-1985.246666666667,58114.78178349273,min_val < 0 VAR
H1.Z23,Q,통계적이상(3sigma),65,2018-01-31,2022-11-08,1.1245,44914.32796155084,"mean=1538.69, sigma=5529.16, lower=-15048.78, upper=18126.15"
