ts,P_H1.Z20,P_H1.ZE20,signed_diff,abs_diff,rel_diff_pct
2023-09-01 05:00:00+00:00,1088.7245833333334,-184353.10375958344,185441.82834291676,185441.82834291676,100.59056482431299
2023-08-31 11:00:00+00:00,79.60975,-183989.392471355,184069.002221355,184069.002221355,100.04326866289989
2023-08-31 19:00:00+00:00,79.71016666666667,-180098.07250922231,180177.78267588897,180177.78267588897,100.0442593113608
2023-08-21 03:00:00+00:00,79.98916666666668,-176432.8041288253,176512.79329549195,176512.79329549195,100.04533690152554
2023-09-07 03:00:00+00:00,-156603.43503462273,78.38604602406421,-156681.8210806468,156681.8210806468,100.05005384844002
2023-09-01 17:00:00+00:00,80.17116666666668,-156301.85503896957,156382.02620563624,156382.02620563624,100.05129252410131
2023-10-30 02:00:00+00:00,80.24842349726777,-148345.5084435421,148425.75686703937,148425.75686703937,100.05409562064888
2023-10-30 01:00:00+00:00,80.008,-148169.9793883562,148249.9873883562,148249.9873883562,100.05399744288977
2023-10-30 03:00:00+00:00,80.35216666666666,-148145.05139750792,148225.4035641746,148225.4035641746,100.05423884625824
2023-10-30 04:00:00+00:00,80.57966666666667,-147654.1235656741,147734.70323234075,147734.70323234075,100.05457325858617
