feature,n_total,n_anomaly,ratio,residual_max,residual_min,upper,lower,null_ratio
Tdiff,52583,910,1.7305973413460625,7073.979138454782,-7539.447392397304,2024.9821514255834,-2023.6578345335613,0.0
qv,52526,1363,2.5949053801926665,9.210503412252603,-9.541880083959096,2.625392327792709,-2.625368076854338,0.10840005324914896
Tvl,52538,1167,2.2212493814001295,15.64064041521992,-11.587185343776124,4.058261844591035,-4.059489054352417,0.08557898940722287
Trl,52544,1074,2.0440012180267964,13.892592413515143,-13.495331560770364,4.366114089396628,-4.368373927995645,0.07416845748625982
P,52526,340,0.6472984807523893,351791.7082485435,-61220.86970843608,17423.88257182833,-17424.355863051034,0.10840005324914896
