ts,y_true,y_pred,error
2022-01-01 00:00:00+00:00,167966.66666666666,332342.65247146983,-164375.98580480317
2022-01-01 00:15:00+00:00,167193.33333333334,333505.0089655251,-166311.67563219173
2022-01-01 00:30:00+00:00,163700.0,334705.1299179645,-171005.1299179645
2022-01-01 00:45:00+00:00,168266.66666666666,335965.2733084858,-167698.60664181915
2022-01-01 01:00:00+00:00,165906.3387978142,337314.96864233766,-171408.62984452344
2022-01-01 01:15:00+00:00,166313.33333333334,338787.0379199334,-172473.70458660004
2022-01-01 01:30:00+00:00,168693.33333333334,340413.18835455715,-171719.8550212238
2022-01-01 01:45:00+00:00,169820.0,342219.5149181535,-172399.51491815352
2022-01-01 02:00:00+00:00,163146.66666666666,344222.25895852834,-181075.59229186169
2022-01-01 02:15:00+00:00,163106.66666666666,346424.1529306568,-183317.48626399014
2022-01-01 02:30:00+00:00,164833.33333333334,348811.64181541186,-183978.30848207852
2022-01-01 02:45:00+00:00,171226.66666666666,351353.2118766666,-180126.54520999992
2022-01-01 03:00:00+00:00,168400.0,353998.981035263,-185598.981035263
2022-01-01 03:15:00+00:00,167386.66666666666,356681.61770978617,-189294.9510431195
2022-01-01 03:30:00+00:00,166020.0,359318.56244761,-193298.56244761002
2022-01-01 03:45:00+00:00,176146.66666666666,361815.43543684774,-185668.76877018108
2022-01-01 04:00:00+00:00,166700.0,364070.4293299862,-197370.42932998622
2022-01-01 04:15:00+00:00,164740.0,365979.41655336466,-201239.41655336466
2022-01-01 04:30:00+00:00,175086.66666666666,367441.4481923276,-192354.78152566092
2022-01-01 04:45:00+00:00,166030.0,368364.2913073341,-202334.2913073341
2022-01-01 05:00:00+00:00,169640.0,368669.6452622535,-199029.64526225353
2022-01-01 05:15:00+00:00,173813.33333333334,368297.69577397313,-194484.3624406398
2022-01-01 05:30:00+00:00,177040.0,367210.70675237966,-190170.70675237966
2022-01-01 05:45:00+00:00,175273.33333333334,365395.4118264802,-190122.07849314684
2022-01-01 06:00:00+00:00,177646.66666666666,362864.0454985941,-185217.37883192746
2022-01-01 06:15:00+00:00,176080.0,359653.94290700846,-183573.94290700846
2022-01-01 06:30:00+00:00,174853.33333333334,355825.73108767346,-180972.3977543401
2022-01-01 06:45:00+00:00,175406.66666666666,351460.22705437307,-176053.5603877064
2022-01-01 07:00:00+00:00,179760.0,346654.24271691876,-166894.24271691876
2022-01-01 07:15:00+00:00,176853.33333333334,341515.56771882775,-164662.2343854944
2022-01-01 07:30:00+00:00,174646.66666666666,336157.4540685149,-161510.78740184827
2022-01-01 07:45:00+00:00,177846.66666666666,330692.9572287732,-152846.29056210656
2022-01-01 08:00:00+00:00,169973.33333333334,325229.49507260125,-155256.1617392679
2022-01-01 08:15:00+00:00,171653.33333333334,319863.9684124855,-148210.63507915215
2022-01-01 08:30:00+00:00,164080.0,314678.7459151214,-150598.7459151214
2022-01-01 08:45:00+00:00,161686.66666666666,309738.75480506587,-148052.0881383992
