meter_urn,run_group,source,run_dir,status,val_MAE,val_RMSE,val_MAPE,test_MAE,test_RMSE,test_MAPE,train_sequences,validation_sequences,test_sequences,observed_rows,missing_before_fill,fit_rows,train_time_sec,device,mlflow_run_id
H1.K11,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_K11,completed,1274.889404296875,2439.89208984375,19649.314453125,1768.5145263671875,3020.98291015625,6233.140625,33135,8736,8735,52526,58,33264,4.721229314804077,cuda,122a0239f4ec49a9ba4a63629a2e3378
H1.K12,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_K12,completed,2156.46875,4967.4619140625,63362.5859375,636.40380859375,791.582763671875,63627.30078125,33135,8736,8735,52526,58,33264,4.3510072231292725,cuda,6e42016593c24fa6a18c7329d33034fd
H1.K14,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_K14,completed,7159.66064453125,17972.1796875,208036.796875,5694.21875,11303.669921875,47848.59765625,33134,8736,8735,52525,59,33264,4.404159784317017,cuda,cd6f3ec3d6c545d5a272df89616270e6
H1.K15,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_K15,completed,1000.033447265625,1955.3876953125,29250.521484375,1059.4503173828125,2323.25146484375,38784.640625,33135,8736,8735,52526,58,33264,4.221271514892578,cuda,af162c5701fc471db7a1abfa4cf9259e
H1.K16,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_K16,completed,283.66253662109375,528.5557861328125,1446.3614501953125,305.09295654296875,586.1610717773438,9.03659725189209,25286,8736,8735,44677,7907,33264,3.3537967205047607,cuda,c6ffd89862894ac68d851ddc296e7abe
H1.W11,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_W11,completed,36236.20703125,49181.42578125,114725.84375,34291.87109375,47457.44921875,335839.34375,33168,8736,8735,52583,1,33264,4.121371030807495,cuda,9c0a00dbcf9747fc99d3cd069162af07
H1.W12,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_W12,completed,18181.99609375,37216.70703125,433302.34375,36126.68359375,62024.60546875,713585.5,33168,8736,8735,52583,1,33264,4.5910656452178955,cuda,e42bafa793ee48509053e0da3cb0c584
H1.Z10,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z10,completed,556.8510131835938,1377.3751220703125,69.40620422363281,456.8549499511719,997.6812744140625,52.792964935302734,33168,8736,8735,52583,1,33264,4.453323841094971,cuda,9c587a005fb44b92a428cae5957fd7c3
H1.Z11,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z11,completed,1296.226318359375,2992.53271484375,239.46743774414062,1137.264892578125,2297.48046875,127.32098388671875,33168,8736,8735,52583,1,33264,4.034961938858032,cuda,d99c0635cabd4beab853d5778c39ff94
H1.Z12,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z12,completed,1303.0615234375,2970.74365234375,233.34925842285156,1135.8992919921875,2297.3984375,127.56356811523438,33168,8736,8735,52583,1,33264,4.191226005554199,cuda,923168a3459c412383f4ed60b7089fe7
H1.Z13,full_p_meters_chunk1_seq24_e10_mlflow,full_chunk,/workspace/ems_team_experiment/outputs/meter_forecast_lstm/full_p_meters_chunk1_seq24_e10_mlflow/H1_Z13,completed,804.3619995117188,1424.3800048828125,8.483983993530273,724.1781616210938,1133.56396484375,31.168291091918945,33168,8736,8735,52583,1,33264,4.46224045753479,cuda,e84a934e4165458b9f941fb7f1970707
