method,candidate_version,validation_rmse,weight
v29,v20,17375.3359375,0.17256524882588312
v29,v23,17356.21484375,0.23698493812857954
v29,v25,17359.248046875,0.2562854359377679
v29,v27,17407.283203125,0.3341643771077694
