meter_urn,measurement,total_rows,anomaly_high,anomaly_medium,anomaly_low,anomaly_rate
H1.Z11,P,133056,961,5864,9301,0.121197
H1.Z12,P,133056,978,5952,9154,0.120881
H1.Z16,P,133056,986,2195,4400,0.056976
H1.Z24,P,133056,1798,6019,8977,0.126218
H1.Z25,P,133056,1893,5947,8744,0.124639
H1.Z20,P,133056,0,1206,12659,0.104204
H2.Z35,P,90240,256,1389,8311,0.110328
H2.Z36,P,90240,242,1396,8377,0.110982
H2.Z351,P,42816,393,1882,4050,0.147725
H2.Z361,P,42816,395,1887,4029,0.147398
V.Z81,P,133056,151,1449,9300,0.08192
V.Z82,P,133056,163,1396,9379,0.082206
