target_id,champion,champion_kind,selection_val_mae,champion_test_mae,champion_test_rmse,champion_test_mape,best_naive,naive_test_mae,naive_test_rmse,lstm_test_mae,lstm_test_rmse,paper_best_model,paper_best_test_mae,paper_best_test_rmse,champion_vs_naive_mae_delta,champion_vs_naive_mae_pct,champion_vs_lstm_mae_pct,champion_vs_previous_paper_mae_pct
T1_group__central_cooling__P,hgb_iter_320_lr_0.06,learned,3102.398297055356,2769.047423248951,4811.97000037606,34.974926361427585,last_value,3064.0874034478275,5846.01497774443,3136.965471661625,5215.609117029431,mlp,2734.7921603847763,4757.7967588609445,-295.0399801988765,-9.628967498345062,-11.72846981378443,1.2525728046315265
T1_group__local_cooling__P,ridge_robust_alpha_0.1,learned,973.3805423595628,902.5049259369202,1913.5993931308767,11.37780105000774,last_value,926.7788357415392,2078.6418538650514,1025.6992890599356,1982.9486340527044,ridge,942.677469499388,1950.006457751853,-24.27390980461894,-2.619169630173608,-12.010768110790474,-4.261536406911429
T1_group__server_power__P,ridge_alpha_1000,learned,1078.9967709337386,1162.126485939662,1762.5316522182804,1.8613578932668584,last_value,1480.4589721168354,2042.4539342716012,1636.3273557019922,2323.323116631938,ridge,1186.4222355518596,1772.1497365647815,-318.33248617717345,-21.502283560212785,-28.97958456233813,-2.047816442086196
T1_group__ventilation__P,extra_trees_n_360_depth_none_leaf_3,learned,896.4784629682256,1908.5362841855133,3480.852391254065,10.905615235610613,last_value,2212.484484721006,6089.444324364098,2995.5623991271923,5048.764513245349,extra_trees,1887.366589124941,3534.891323895012,-303.9482005354928,-13.737868113177779,-36.28788087533755,1.121652528054315
