target_id,group,value,mae,rows
T1_group__central_cooling__P,hour,0,1482.1491784796308,365
T1_group__central_cooling__P,hour,1,1508.2680464713242,365
T1_group__central_cooling__P,hour,2,1494.433489244664,365
T1_group__central_cooling__P,hour,3,1474.849802385882,365
T1_group__central_cooling__P,hour,4,1690.7935441841244,365
T1_group__central_cooling__P,hour,5,3016.551659427773,365
T1_group__central_cooling__P,hour,6,3531.042346492009,365
T1_group__central_cooling__P,hour,7,3936.1952644558414,365
T1_group__central_cooling__P,hour,8,4272.457000130478,365
T1_group__central_cooling__P,hour,9,4027.949939316579,365
T1_group__central_cooling__P,hour,10,3890.611988950706,365
T1_group__central_cooling__P,hour,11,4545.462982382187,365
T1_group__central_cooling__P,hour,12,3569.0674643618822,365
T1_group__central_cooling__P,hour,13,3663.807132002492,365
T1_group__central_cooling__P,hour,14,2957.276338510256,365
T1_group__central_cooling__P,hour,15,2681.843717613752,365
T1_group__central_cooling__P,hour,16,2593.0795159130403,365
T1_group__central_cooling__P,hour,17,2568.4969134502826,365
T1_group__central_cooling__P,hour,18,2847.9357745589664,365
T1_group__central_cooling__P,hour,19,2445.395841758156,365
T1_group__central_cooling__P,hour,20,2587.486545946928,365
T1_group__central_cooling__P,hour,21,2076.8753962971277,365
T1_group__central_cooling__P,hour,22,1954.5839454411762,365
T1_group__central_cooling__P,hour,23,1637.4239920318485,364
T1_group__central_cooling__P,month,1,1241.1712649881947,744
T1_group__central_cooling__P,month,2,1663.680829919858,672
T1_group__central_cooling__P,month,3,1743.8306780501543,744
T1_group__central_cooling__P,month,4,2375.3415295431,720
T1_group__central_cooling__P,month,5,2635.5211673340755,744
T1_group__central_cooling__P,month,6,4009.5822618190514,720
T1_group__central_cooling__P,month,7,4695.64370362768,744
T1_group__central_cooling__P,month,8,5532.010177327856,744
T1_group__central_cooling__P,month,9,4295.037419801132,720
T1_group__central_cooling__P,month,10,2424.67080457008,744
T1_group__central_cooling__P,month,11,1457.0520741003604,720
T1_group__central_cooling__P,month,12,1080.0061063168919,743
T1_group__local_cooling__P,hour,0,661.9490944508717,365
T1_group__local_cooling__P,hour,1,636.9463260547841,365
T1_group__local_cooling__P,hour,2,617.7151584410873,365
T1_group__local_cooling__P,hour,3,626.9829547594204,365
T1_group__local_cooling__P,hour,4,669.0585679517986,365
T1_group__local_cooling__P,hour,5,756.8326496251916,365
T1_group__local_cooling__P,hour,6,969.6237047728434,365
T1_group__local_cooling__P,hour,7,1221.0712947559646,365
T1_group__local_cooling__P,hour,8,1341.9157284984606,365
T1_group__local_cooling__P,hour,9,1554.4857434023381,365
T1_group__local_cooling__P,hour,10,1309.4763791406403,365
T1_group__local_cooling__P,hour,11,1085.308863408144,365
T1_group__local_cooling__P,hour,12,1049.0650982353254,365
T1_group__local_cooling__P,hour,13,847.299612850692,365
T1_group__local_cooling__P,hour,14,803.2272309955847,365
T1_group__local_cooling__P,hour,15,824.536537188381,365
T1_group__local_cooling__P,hour,16,769.5589419712053,365
T1_group__local_cooling__P,hour,17,840.3479020781091,365
T1_group__local_cooling__P,hour,18,971.2757097479827,365
T1_group__local_cooling__P,hour,19,1004.6936925479333,365
T1_group__local_cooling__P,hour,20,797.6327766747087,365
T1_group__local_cooling__P,hour,21,755.6097880808682,365
T1_group__local_cooling__P,hour,22,809.3100918994779,365
T1_group__local_cooling__P,hour,23,735.7374778361863,364
T1_group__local_cooling__P,month,1,395.7581401372299,744
T1_group__local_cooling__P,month,2,381.95893803174346,672
T1_group__local_cooling__P,month,3,410.3080023809112,744
T1_group__local_cooling__P,month,4,455.50005145286593,720
T1_group__local_cooling__P,month,5,462.1495913740827,744
T1_group__local_cooling__P,month,6,1675.938819212527,720
T1_group__local_cooling__P,month,7,1335.1914357756293,744
T1_group__local_cooling__P,month,8,1232.4103144758749,744
T1_group__local_cooling__P,month,9,2190.276424302352,720
T1_group__local_cooling__P,month,10,1376.3131252682404,744
T1_group__local_cooling__P,month,11,474.10683144105155,720
T1_group__local_cooling__P,month,12,427.3851083543929,743
T1_group__server_power__P,hour,0,1135.616177593971,365
T1_group__server_power__P,hour,1,1052.7505588218314,365
T1_group__server_power__P,hour,2,1031.728102792829,365
T1_group__server_power__P,hour,3,916.0714561274082,365
T1_group__server_power__P,hour,4,970.3194619460972,365
T1_group__server_power__P,hour,5,1069.0053877410035,365
T1_group__server_power__P,hour,6,1107.6861442507509,365
T1_group__server_power__P,hour,7,1194.7822854873943,365
T1_group__server_power__P,hour,8,1253.9419624192365,365
T1_group__server_power__P,hour,9,1394.135022067853,365
T1_group__server_power__P,hour,10,1412.161596508026,365
T1_group__server_power__P,hour,11,1242.043281231534,365
T1_group__server_power__P,hour,12,1292.8016083198638,365
T1_group__server_power__P,hour,13,1261.595222089277,365
T1_group__server_power__P,hour,14,1233.5091902995564,365
T1_group__server_power__P,hour,15,1305.751626456039,365
T1_group__server_power__P,hour,16,1208.1200505399522,365
T1_group__server_power__P,hour,17,1192.6474898053484,365
T1_group__server_power__P,hour,18,1188.8440404721007,365
T1_group__server_power__P,hour,19,1097.09670632155,365
T1_group__server_power__P,hour,20,1083.9075950015065,365
T1_group__server_power__P,hour,21,1098.8337293869029,365
T1_group__server_power__P,hour,22,1063.0875915241188,365
T1_group__server_power__P,hour,23,1084.3863887801776,364
T1_group__server_power__P,month,1,857.4550908908394,744
T1_group__server_power__P,month,2,1010.4649373476847,672
T1_group__server_power__P,month,3,1218.118356819178,744
T1_group__server_power__P,month,4,1251.5709319225884,720
T1_group__server_power__P,month,5,1000.976978669117,744
T1_group__server_power__P,month,6,1851.9924870217303,720
T1_group__server_power__P,month,7,1186.262720217294,744
T1_group__server_power__P,month,8,1240.197151163045,744
T1_group__server_power__P,month,9,1308.5547497792215,720
T1_group__server_power__P,month,10,1105.9829417881026,744
T1_group__server_power__P,month,11,972.0429032331061,720
T1_group__server_power__P,month,12,950.6682508959274,743
T1_group__ventilation__P,hour,0,1141.838833680966,365
T1_group__ventilation__P,hour,1,1090.5082663668654,365
T1_group__ventilation__P,hour,2,2853.835461298378,365
T1_group__ventilation__P,hour,3,2519.570145744358,365
T1_group__ventilation__P,hour,4,2671.323393068504,365
T1_group__ventilation__P,hour,5,2830.8436664075243,365
T1_group__ventilation__P,hour,6,2677.490258706667,365
T1_group__ventilation__P,hour,7,1774.9682424150217,365
T1_group__ventilation__P,hour,8,1462.0471906491357,365
T1_group__ventilation__P,hour,9,1336.1609531232161,365
T1_group__ventilation__P,hour,10,1305.3138226553083,365
T1_group__ventilation__P,hour,11,1264.4575280530407,365
T1_group__ventilation__P,hour,12,1204.7632355169044,365
T1_group__ventilation__P,hour,13,1336.9718179619701,365
T1_group__ventilation__P,hour,14,1183.213380429635,365
T1_group__ventilation__P,hour,15,1063.0869890220733,365
T1_group__ventilation__P,hour,16,1006.9137327330227,365
T1_group__ventilation__P,hour,17,1460.1399280765606,365
T1_group__ventilation__P,hour,18,1727.2188631677873,365
T1_group__ventilation__P,hour,19,4515.961155950675,365
T1_group__ventilation__P,hour,20,3413.5933882562213,365
T1_group__ventilation__P,hour,21,1916.5254482259274,365
T1_group__ventilation__P,hour,22,2112.585124622665,365
T1_group__ventilation__P,hour,23,1935.6141803367423,364
T1_group__ventilation__P,month,1,1153.3811295939595,744
T1_group__ventilation__P,month,2,1540.7167990762782,672
T1_group__ventilation__P,month,3,1841.9507897577582,744
T1_group__ventilation__P,month,4,1776.6950793055387,720
T1_group__ventilation__P,month,5,2026.6699535383925,744
T1_group__ventilation__P,month,6,1175.4327957531573,720
T1_group__ventilation__P,month,7,3468.1935995334547,744
T1_group__ventilation__P,month,8,2078.697118196163,744
T1_group__ventilation__P,month,9,2482.778646800257,720
T1_group__ventilation__P,month,10,1537.420181723054,744
T1_group__ventilation__P,month,11,2230.913195869608,720
T1_group__ventilation__P,month,12,1554.536641741666,743
