main_meter,pair_meter,common_rows,mean_abs_diff,median_abs_diff,p95_rel_diff_pct,corr
H1.Z20,H1.ZE20,9519,1811.9457224266266,61.85863313692971,12.131332932178978,0.988791738497297
V.Z84,V.ZE84,9680,4241.875756815494,55.32645604528807,134.3466614904783,0.9920505102874183
H2.Z66,H2.ZE66,15585,456.49541370688746,122.3952068751023,45.87139171983864,0.9076898110508397
H2.Z67,H2.ZE67,15585,306.3118448072892,4.68503561184302,61.558090435787264,0.8894404381144209
H2.Z35,H2.Z351,28861,,,,
H2.Z36,H2.Z361,28861,,,,
H2.Z64,H2.ZE64,15585,420.5462126025325,115.92135396623598,14.75875037366584,0.9455156394254882
H2.Z65,H2.ZE65,15056,648.1263262888485,90.8771413527038,36.57223456630943,0.8396933805411758
H3.Z43,H3.ZE43,15686,342.9710037146871,58.54429470019841,34.434280680430845,0.9202162086051935
H3.Z44,H3.ZE44,15686,264.9315353990207,27.097007917990595,81.80820209444848,0.9664099696958167
H3.Z40,H3.ZE40,15686,542.1985823381976,191.67527262801968,19.32872386023115,0.7259006337359684
H3.Z41,H3.ZE41,15686,277.5555996192653,20.616913530033116,25.980350879804114,0.893949618633278
H4.Z50,H4.ZE50,15588,958.5521614326143,503.8341325819922,28.443106747033074,0.994057122106572
H4.Z51,H4.ZE51,15588,1278.2456220542206,1072.4477020015856,26.44065837570986,0.9866178913139644
