meter_urn,status,train_sequences,validation_sequences,test_sequences,train_time_sec,device,missing_before_fill,observed_rows,fit_rows,mlflow_run_id,val.MAE,val.RMSE,val.MAPE,test.MAE,test.RMSE,test.MAPE,reason
H2.Z61,completed,33168,8736,8735,4.6927971839904785,cuda,1,52583,33264,7d46efafa7d448738587cc2b4f90f33c,94.36192321777344,142.86766052246094,0.7191804647445679,159.616455078125,395.5478210449219,8.521662712097168,
H2.Z62,completed,33168,8736,8735,4.3579041957855225,cuda,1,52583,33264,c2039aa907444e9ca266baf280f5b256,1.7669291496276855,16.25271987915039,10.573160171508789,793.8924560546875,1012.216064453125,58.62510299682617,
H2.Z63,completed,33168,8736,8735,4.3159871101379395,cuda,1,52583,33264,079e8e1d34574e18bb3b1af0f8e53ef2,117.21407318115234,224.68211364746094,0.6667065620422363,1492.3768310546875,1963.9599609375,958.6815795898438,
H2.Z64,completed,33168,8736,8735,4.393491506576538,cuda,1,52583,33264,4ae0bb29e4334a74b3186e8a345837d2,352.82354736328125,634.9260864257812,3.508998394012451,303.4358215332031,523.8463745117188,3.376877784729004,
H2.Z65,completed,33168,8736,8735,4.367285251617432,cuda,1,52583,33264,4beaf196cc1a4fddae43018304c720c0,508.81610107421875,782.479736328125,4.953807830810547,551.6956787109375,779.6812133789062,6.01826810836792,
H2.Z66,completed,33168,8736,8735,4.318374395370483,cuda,1,52583,33264,96b9b2c952e048d8812a0ce2d321a543,355.72698974609375,665.1565551757812,836.37744140625,446.5848693847656,717.982421875,380.20196533203125,
H2.Z67,completed,33168,8736,8735,4.683136940002441,cuda,1,52583,33264,0fa6f159631f4f0fa0aac010e28a67b1,355.5191650390625,727.3726196289062,1519.1585693359375,236.64439392089844,469.1341552734375,832.9071044921875,
H2.Z68,completed,33168,8736,8735,4.591646909713745,cuda,1,52583,33264,201c0c6e52844ced8edb9c045bdbefe2,203.2545928955078,317.3877868652344,8.254539489746094,204.8959197998047,291.4075622558594,7.390385150909424,
H2.Z69,completed,33168,8736,8735,4.122585296630859,cuda,1,52583,33264,40359b5a9c9e4c4fb2310c6209de9112,104.08089447021484,153.15843200683594,17.93921661376953,126.1295394897461,163.5155792236328,8.247292518615723,
H2.Z70,completed,33168,8736,8735,4.333580255508423,cuda,1,52583,33264,99cca12b99cd498182175bcfedb2e84a,266.6026306152344,496.3231201171875,71.49433898925781,335.6501770019531,629.0033569335938,90.4698486328125,
H2.ZE64,skipped,0,6826,8735,,,36999,15585,33264,,,,,,,,insufficient_sequences
H2.ZE65,skipped,0,6826,8206,,,37528,15056,33264,,,,,,,,insufficient_sequences
H2.ZE66,skipped,0,6826,8735,,,36999,15585,33264,,,,,,,,insufficient_sequences
H2.ZE67,skipped,0,6826,8735,,,36999,15585,33264,,,,,,,,insufficient_sequences
H2.ZE74,skipped,0,6922,8735,,,36903,15681,33264,,,,,,,,insufficient_sequences
H3.Z312,completed,11978,8736,8735,1.9476704597473145,cuda,21767,30817,33264,0f58d03e2fe444a592ae87d70e0e2649,8868.796875,13389.728515625,134606.921875,8088.3056640625,11554.21484375,130756.140625,
H3.Z40,completed,32449,8736,8735,4.017005681991577,cuda,744,51840,33264,a0a4a734fa9e4041b7f5f44af3df98ee,610.0383911132812,1022.9263305664062,6.8856024742126465,653.7362060546875,993.3521728515625,60.17005920410156,
H3.Z41,completed,32449,8736,8735,4.573011875152588,cuda,744,51840,33264,7eea9d539e18464ab233abbeed4803ac,499.6675720214844,704.2557983398438,10.773377418518066,520.53955078125,773.8473510742188,62.39048385620117,
H3.Z42,completed,32449,8736,8735,3.781886100769043,cuda,744,51840,33264,6f9c2c21210049f6a0d9e1bdf6153368,1256.028564453125,2531.32958984375,98.57028198242188,1941.0286865234375,3642.764892578125,91.64688873291016,
H3.Z43,completed,32449,8736,8735,3.7247211933135986,cuda,744,51840,33264,1c5695ccf97c4e38bcbbec1171c4f0be,739.4921264648438,1067.655517578125,168.70651245117188,822.6342163085938,1098.6719970703125,32.37196731567383,
