meter_urn,total_rows,null_rows,null_pct,failure_name,failure_start,failure_end
H1.K11,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.K12,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.K14,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.K15,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.K16,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.W11,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.W12,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z10,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z11,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z12,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z13,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z14,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z15,11088,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z16,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z17,11088,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z18,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z19,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z20,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z21,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z22,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z23,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z24,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z25,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z26,11088,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z27,11088,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z28,11088,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H1.Z29,11088,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.K21,3696,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.T.Z30,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.T.Z31,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.T.Z32,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.T.Z33,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.T.Z34,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z35,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z36,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z61,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z62,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z63,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z64,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z65,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z66,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z67,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z68,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z69,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H2.Z70,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H3.Z40,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H3.Z41,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H3.Z42,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
H3.Z43,11616,0,0.00,Workshop gateway failure #1,2020-02-13,2020-03-06
