meter_urn,measurement,resolution_code,rows,null_rows,null_pct,min_ts,max_ts
H1.K11,P,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K11,Tdiff,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K11,Trl,1h,52544,0,0.00,2018-01-02 15:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K11,Tvl,1h,52538,0,0.00,2018-01-02 21:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K11,V,1h,52525,0,0.00,2018-01-03 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K11,W,1h,52499,0,0.00,2018-01-04 12:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K11,qv,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K12,P,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K12,Tdiff,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K12,Trl,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K12,Tvl,1h,52529,0,0.00,2018-01-03 06:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K12,V,1h,52525,0,0.00,2018-01-03 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K12,W,1h,52513,0,0.00,2018-01-03 22:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K12,qv,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K14,P,1h,52525,0,0.00,2018-01-03 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K14,Tdiff,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K14,Trl,1h,52578,0,0.00,2018-01-01 05:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K14,Tvl,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K14,V,1h,52525,0,0.00,2018-01-03 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K14,W,1h,52522,0,0.00,2018-01-03 13:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K14,qv,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K15,P,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K15,Tdiff,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K15,Trl,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K15,Tvl,1h,52582,0,0.00,2018-01-01 01:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K15,V,1h,52525,0,0.00,2018-01-03 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K15,W,1h,52524,0,0.00,2018-01-03 11:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K15,qv,1h,52526,0,0.00,2018-01-03 09:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K16,P,1h,44677,0,0.00,2018-11-26 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K16,Tdiff,1h,44677,0,0.00,2018-11-26 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K16,Trl,1h,44677,0,0.00,2018-11-26 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K16,Tvl,1h,44677,0,0.00,2018-11-26 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K16,V,1h,44676,0,0.00,2018-11-26 11:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K16,W,1h,44676,0,0.00,2018-11-26 11:00:00+00:00,2023-12-31 22:00:00+00:00
H1.K16,qv,1h,44677,0,0.00,2018-11-26 10:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W11,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W11,Tdiff,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W11,Trl,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W11,Tvl,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W11,V,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W11,W,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W11,qv,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W12,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W12,Tdiff,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W12,Trl,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W12,Tvl,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W12,V,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W12,W,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.W12,qv,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,I3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,P3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,PF3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,Q,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,W,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z10,WQ,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z10,WQ_in,1h,52380,0,0.00,2018-01-09 11:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,WQ_out,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,W_in,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,W_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z10,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,I3,1h,52523,0,0.00,2018-01-03 12:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,P3,1h,52523,0,0.00,2018-01-03 12:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,PF3,1h,52523,0,0.00,2018-01-03 12:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,Q,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,W,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z11,WQ,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z11,WQ_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,WQ_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,W_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,W_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z11,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,I3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,P3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,PF3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,Q,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,W,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z12,WQ,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z12,WQ_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,WQ_out,1h,52159,0,0.00,2018-01-18 16:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,W_in,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,W_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z12,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,I3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,P3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,PF3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,Q,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
