meter_urn,processing_level,resolution_code,source_files,measurements,csv_rows,inserted_rows,conflict_rows,null_value_rows,non_finite_rows,invalid_value_rows,invalid_ts_rows,non_loaded_files
H1.Z24,corrected_resampled,1h,22,22,1154758,1154758,0,0,0,0,0,0
H1.Z25,corrected_resampled,15min,22,22,4623191,4623191,0,0,0,0,0,0
H1.Z25,corrected_resampled,1h,22,22,1155799,1155799,0,0,0,0,0,0
H1.Z26,corrected_resampled,15min,21,21,4415988,4415988,0,0,0,0,0,0
H1.Z26,corrected_resampled,1h,21,21,1104006,1104006,0,0,0,0,0,0
H1.Z27,corrected_resampled,15min,21,21,4400797,4400797,0,0,0,0,0,0
H1.Z27,corrected_resampled,1h,21,21,1100196,1100196,0,0,0,0,0,0
H1.Z28,corrected_resampled,15min,21,21,4417015,4417015,0,0,0,0,0,0
H1.Z28,corrected_resampled,1h,21,21,1104250,1104250,0,0,0,0,0,0
H1.Z29,corrected_resampled,15min,21,21,4417016,4417016,0,0,0,0,0,0
H1.Z29,corrected_resampled,1h,21,21,1104250,1104250,0,0,0,0,0,0
H1.Z310,corrected_resampled,15min,21,21,2588478,2588478,0,0,0,0,0,0
H1.Z310,corrected_resampled,1h,21,21,647118,647118,0,0,0,0,0,0
H1.ZE20,corrected_resampled,15min,21,21,799535,799535,0,0,0,0,0,0
H1.ZE20,corrected_resampled,1h,21,21,199885,199885,0,0,0,0,0,0
H2.K21,corrected_resampled,15min,7,7,1470904,1470904,0,0,0,0,0,0
H2.K21,corrected_resampled,1h,7,7,367729,367729,0,0,0,0,0,0
H2.T.Z30,corrected_resampled,15min,22,22,4566788,4566788,0,0,0,0,0,0
H2.T.Z30,corrected_resampled,1h,22,22,1141698,1141698,0,0,0,0,0,0
H2.T.Z31,corrected_resampled,15min,22,22,4566871,4566871,0,0,0,0,0,0
H2.T.Z31,corrected_resampled,1h,22,22,1141716,1141716,0,0,0,0,0,0
H2.T.Z32,corrected_resampled,15min,22,22,4566682,4566682,0,0,0,0,0,0
H2.T.Z32,corrected_resampled,1h,22,22,1141670,1141670,0,0,0,0,0,0
H2.T.Z33,corrected_resampled,15min,22,22,4559753,4559753,0,0,0,0,0,0
H2.T.Z33,corrected_resampled,1h,22,22,1139941,1139941,0,0,0,0,0,0
H2.T.Z34,corrected_resampled,15min,22,22,4567226,4567226,0,0,0,0,0,0
H2.T.Z34,corrected_resampled,1h,22,22,1141806,1141806,0,0,0,0,0,0
H2.Z311,corrected_resampled,15min,21,21,2590557,2590557,0,0,0,0,0,0
H2.Z311,corrected_resampled,1h,21,21,647637,647637,0,0,0,0,0,0
H2.Z35,corrected_resampled,15min,22,22,2277051,2277051,0,0,0,0,0,0
H2.Z35,corrected_resampled,1h,22,22,569269,569269,0,0,0,0,0,0
H2.Z351,corrected_resampled,15min,21,21,2420811,2420811,0,0,0,0,0,0
H2.Z351,corrected_resampled,1h,21,21,605199,605199,0,0,0,0,0,0
H2.Z36,corrected_resampled,15min,22,22,2291751,2291751,0,0,0,0,0,0
H2.Z36,corrected_resampled,1h,22,22,572944,572944,0,0,0,0,0,0
H2.Z361,corrected_resampled,15min,21,21,2420811,2420811,0,0,0,0,0,0
H2.Z361,corrected_resampled,1h,21,21,605199,605199,0,0,0,0,0,0
H2.Z61,corrected_resampled,15min,22,22,4567232,4567232,0,0,0,0,0,0
H2.Z61,corrected_resampled,1h,22,22,1141810,1141810,0,0,0,0,0,0
H2.Z62,corrected_resampled,15min,22,22,4595152,4595152,0,0,0,0,0,0
H2.Z62,corrected_resampled,1h,22,22,1148788,1148788,0,0,0,0,0,0
H2.Z63,corrected_resampled,15min,22,22,4627208,4627208,0,0,0,0,0,0
H2.Z63,corrected_resampled,1h,22,22,1156804,1156804,0,0,0,0,0,0
H2.Z64,corrected_resampled,15min,22,22,4588153,4588153,0,0,0,0,0,0
H2.Z64,corrected_resampled,1h,22,22,1147040,1147040,0,0,0,0,0,0
H2.Z65,corrected_resampled,15min,22,22,4626306,4626306,0,0,0,0,0,0
H2.Z65,corrected_resampled,1h,22,22,1156578,1156578,0,0,0,0,0,0
H2.Z66,corrected_resampled,15min,22,22,4567230,4567230,0,0,0,0,0,0
H2.Z66,corrected_resampled,1h,22,22,1141808,1141808,0,0,0,0,0,0
H2.Z67,corrected_resampled,15min,22,22,4566783,4566783,0,0,0,0,0,0
H2.Z67,corrected_resampled,1h,22,22,1141697,1141697,0,0,0,0,0,0
H2.Z68,corrected_resampled,15min,22,22,4567232,4567232,0,0,0,0,0,0
H2.Z68,corrected_resampled,1h,22,22,1141810,1141810,0,0,0,0,0,0
H2.Z69,corrected_resampled,15min,22,22,4567232,4567232,0,0,0,0,0,0
H2.Z69,corrected_resampled,1h,22,22,1141810,1141810,0,0,0,0,0,0
H2.Z70,corrected_resampled,15min,22,22,4596750,4596750,0,0,0,0,0,0
H2.Z70,corrected_resampled,1h,22,22,1149189,1149189,0,0,0,0,0,0
H2.ZE64,corrected_resampled,15min,21,21,1292922,1292922,0,0,0,0,0,0
H2.ZE64,corrected_resampled,1h,21,21,323242,323242,0,0,0,0,0,0
H2.ZE65,corrected_resampled,15min,21,21,1250542,1250542,0,0,0,0,0,0
H2.ZE65,corrected_resampled,1h,21,21,312662,312662,0,0,0,0,0,0
H2.ZE66,corrected_resampled,15min,21,21,1304239,1304239,0,0,0,0,0,0
H2.ZE66,corrected_resampled,1h,21,21,326071,326071,0,0,0,0,0,0
H2.ZE67,corrected_resampled,15min,21,21,1303737,1303737,0,0,0,0,0,0
H2.ZE67,corrected_resampled,1h,21,21,325946,325946,0,0,0,0,0,0
H2.ZE74,corrected_resampled,15min,21,21,1283936,1283936,0,0,0,0,0,0
H2.ZE74,corrected_resampled,1h,21,21,320980,320980,0,0,0,0,0,0
H3.Z312,corrected_resampled,15min,21,21,2588513,2588513,0,0,0,0,0,0
H3.Z312,corrected_resampled,1h,21,21,647130,647130,0,0,0,0,0,0
H3.Z40,corrected_resampled,15min,22,22,4558970,4558970,0,0,0,0,0,0
H3.Z40,corrected_resampled,1h,22,22,1139744,1139744,0,0,0,0,0,0
H3.Z41,corrected_resampled,15min,22,22,4552240,4552240,0,0,0,0,0,0
H3.Z41,corrected_resampled,1h,22,22,1138062,1138062,0,0,0,0,0,0
H3.Z42,corrected_resampled,15min,22,22,4546233,4546233,0,0,0,0,0,0
H3.Z42,corrected_resampled,1h,22,22,1136557,1136557,0,0,0,0,0,0
H3.Z43,corrected_resampled,15min,22,22,4552239,4552239,0,0,0,0,0,0
H3.Z43,corrected_resampled,1h,22,22,1138061,1138061,0,0,0,0,0,0
H3.Z44,corrected_resampled,15min,22,22,4552238,4552238,0,0,0,0,0,0
H3.Z44,corrected_resampled,1h,22,22,1138060,1138060,0,0,0,0,0,0
H3.Z45,corrected_resampled,15min,22,22,4552222,4552222,0,0,0,0,0,0
H3.Z45,corrected_resampled,1h,22,22,1138058,1138058,0,0,0,0,0,0
H3.Z46,corrected_resampled,15min,22,22,4567284,4567284,0,0,0,0,0,0
H3.Z46,corrected_resampled,1h,22,22,1141823,1141823,0,0,0,0,0,0
H3.Z47,corrected_resampled,15min,22,22,2855946,2855946,0,0,0,0,0,0
H3.Z47,corrected_resampled,1h,22,22,713988,713988,0,0,0,0,0,0
H3.Z48,corrected_resampled,15min,22,22,2876428,2876428,0,0,0,0,0,0
H3.Z48,corrected_resampled,1h,22,22,719110,719110,0,0,0,0,0,0
H3.Z49,corrected_resampled,15min,22,22,2855946,2855946,0,0,0,0,0,0
H3.Z49,corrected_resampled,1h,22,22,713988,713988,0,0,0,0,0,0
H3.Z71,corrected_resampled,15min,22,22,4627158,4627158,0,0,0,0,0,0
H3.Z71,corrected_resampled,1h,22,22,1156790,1156790,0,0,0,0,0,0
H3.ZE40,corrected_resampled,15min,21,21,1296867,1296867,0,0,0,0,0,0
H3.ZE40,corrected_resampled,1h,21,21,324218,324218,0,0,0,0,0,0
H3.ZE41,corrected_resampled,15min,21,21,1256863,1256863,0,0,0,0,0,0
H3.ZE41,corrected_resampled,1h,21,21,314217,314217,0,0,0,0,0,0
H3.ZE43,corrected_resampled,15min,21,21,1256863,1256863,0,0,0,0,0,0
H3.ZE43,corrected_resampled,1h,21,21,314217,314217,0,0,0,0,0,0
H3.ZE44,corrected_resampled,15min,21,21,1316929,1316929,0,0,0,0,0,0
H3.ZE44,corrected_resampled,1h,21,21,329233,329233,0,0,0,0,0,0
H4.Z50,corrected_resampled,15min,22,22,4229851,4229851,0,0,0,0,0,0
H4.Z50,corrected_resampled,1h,22,22,1057469,1057469,0,0,0,0,0,0
H4.Z51,corrected_resampled,15min,22,22,4199772,4199772,0,0,0,0,0,0
H4.Z51,corrected_resampled,1h,22,22,1049950,1049950,0,0,0,0,0,0
H4.ZE50,corrected_resampled,15min,21,21,1246995,1246995,0,0,0,0,0,0
H4.ZE50,corrected_resampled,1h,21,21,311755,311755,0,0,0,0,0,0
H4.ZE51,corrected_resampled,15min,21,21,1246996,1246996,0,0,0,0,0,0
H4.ZE51,corrected_resampled,1h,21,21,311756,311756,0,0,0,0,0,0
V.K21,corrected_resampled,15min,7,7,1471790,1471790,0,0,0,0,0,0
V.K21,corrected_resampled,1h,7,7,367947,367947,0,0,0,0,0,0
V.Z81,corrected_resampled,15min,21,21,4417016,4417016,0,0,0,0,0,0
V.Z81,corrected_resampled,1h,21,21,1104250,1104250,0,0,0,0,0,0
V.Z82,corrected_resampled,15min,21,21,4415433,4415433,0,0,0,0,0,0
V.Z82,corrected_resampled,1h,21,21,1103855,1103855,0,0,0,0,0,0
V.Z84,corrected_resampled,15min,16,16,2529851,2529851,0,0,0,0,0,0
V.Z84,corrected_resampled,1h,16,16,632461,632461,0,0,0,0,0,0
V.ZE84,corrected_resampled,15min,21,21,810087,810087,0,0,0,0,0,0
V.ZE84,corrected_resampled,1h,21,21,202536,202536,0,0,0,0,0,0
WeatherStation.Weather,corrected_resampled,15min,10,10,2104316,2104316,0,50044,0,0,0,0
WeatherStation.Weather,corrected_resampled,1h,10,10,526080,526080,0,12340,0,0,0,0
