meter_urn,status,error,message
H1.Z16,error,KeyError,'meter_P'
H1.Z11,error,KeyError,'meter_P'
H1.Z12,error,KeyError,'meter_P'
H1.Z24,error,KeyError,'meter_P'
H1.Z25,error,KeyError,'meter_P'
V.Z84,error,KeyError,'meter_P'
H1.Z310,error,KeyError,'meter_P'
H2.Z311,error,KeyError,'meter_P'
H3.Z312,error,KeyError,'meter_P'
H1.Z20,error,KeyError,'meter_P'
V.Z81,error,KeyError,'meter_P'
V.Z82,error,KeyError,'meter_P'
H2.Z351,error,KeyError,'meter_P'
H2.Z361,error,KeyError,'meter_P'
H3.Z43,error,KeyError,'meter_P'
H3.Z44,error,KeyError,'meter_P'
H2.Z64,error,KeyError,'meter_P'
H2.Z65,error,KeyError,'meter_P'
