dataset,rows,null_ratio,mean,std,min,max
1h,168,0.0,445.88349754752267,45.54346817489934,427.9772882018479,792.0440285592498
15m,672,0.0,445.88349754752267,92.06482546921139,426.8782608695652,1838.380666666667
